Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-06-22 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-22 14:10:02,Other,TURN 10 INCIDENT INVOLVING CARS 2 (SAR) AND 18 (STR) NOTED - IMPEDING,,,,,,
2024-06-22 14:12:58,Other,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 2 (SAR) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2024-06-22 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-22 14:18:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-06-22 14:21:24,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 63 (RUS), 18 (STR), 2 (SAR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-22 14:21:34,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 63 (RUS), 18 (STR), 2 (SAR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-22 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-22 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-22 14:40:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,,
2024-06-22 14:48:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-22 14:51:13,Other,CAR 55 (SAI) TIME 16:05.442 DELETED - TRACK LIMITS AT TURN 11 LAP 8 16:50:42,,,,,,
2024-06-22 14:52:38,Other,CAR 81 (PIA) TIME 1:12.542 DELETED - TRACK LIMITS AT TURN 10 LAP 14 16:52:03,,,,,,
2024-06-22 14:59:16,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2024-06-22 14:59:19,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2024-06-22 14:59:44,Other,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 12 LAP 17 16:59:12,,,,,,
2024-06-22 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-22 15:00:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
2024-06-22 15:03:02,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 63 (RUS), 18 (STR), 2 (SAR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
