Driver,LapNumber,GapTime
NOR,0.6666666666666666,1.479
VER,0.6666666666666666,0.715
HAM,0.6666666666666666,1.814
RUS,0.6666666666666666,0.0
LEC,0.6666666666666666,2.292
SAI,0.6666666666666666,2.833
GAS,0.6666666666666666,3.243
OCO,0.6666666666666666,4.197
PIA,0.6666666666666666,3.723
ALO,0.6666666666666666,5.377
PER,0.6666666666666666,5.084
BOT,0.6666666666666666,5.657
HUL,0.6666666666666666,4.615
STR,0.6666666666666666,5.899
ZHO,0.6666666666666666,7.115
MAG,0.6666666666666666,6.775
TSU,0.6666666666666666,6.197
RIC,0.6666666666666666,7.75
SAR,0.6666666666666666,7.524
ALB,0.6666666666666666,10.168
NOR,1.0,1.369
VER,1.0,0.613
HAM,1.0,1.851
RUS,1.0,0.0
LEC,1.0,2.811
SAI,1.0,3.483
GAS,1.0,4.018
OCO,1.0,4.818
PIA,1.0,4.534
ALO,1.0,6.636
PER,1.0,6.103
BOT,1.0,7.299
HUL,1.0,5.3629999999999995
STR,1.0,6.916
ZHO,1.0,8.443
MAG,1.0,7.95
TSU,1.0,7.522
RIC,1.0,9.184
SAR,1.0,8.821
ALB,1.0,11.397
NOR,1.3333333333333333,1.5270000000000001
VER,1.3333333333333333,0.608
HAM,1.3333333333333333,1.9140000000000001
RUS,1.3333333333333333,0.0
LEC,1.3333333333333333,3.085
SAI,1.3333333333333333,3.83
GAS,1.3333333333333333,4.388
OCO,1.3333333333333333,5.535
PIA,1.3333333333333333,5.182
ALO,1.3333333333333333,7.306
PER,1.3333333333333333,6.584
BOT,1.3333333333333333,7.882
HUL,1.3333333333333333,5.931
STR,1.3333333333333333,7.631
ZHO,1.3333333333333333,8.966
MAG,1.3333333333333333,8.669
TSU,1.3333333333333333,8.222
RIC,1.3333333333333333,9.434
SAR,1.3333333333333333,10.16
ALB,1.3333333333333333,11.805
NOR,1.6666666666666665,1.471
VER,1.6666666666666665,0.438
HAM,1.6666666666666665,2.12
RUS,1.6666666666666665,0.0
LEC,1.6666666666666665,3.382
SAI,1.6666666666666665,4.03
GAS,1.6666666666666665,4.8149999999999995
OCO,1.6666666666666665,6.184
PIA,1.6666666666666665,5.586
ALO,1.6666666666666665,8.367
PER,1.6666666666666665,7.543
BOT,1.6666666666666665,9.177
HUL,1.6666666666666665,6.805
STR,1.6666666666666665,8.834
ZHO,1.6666666666666665,10.378
MAG,1.6666666666666665,10.019
TSU,1.6666666666666665,9.598
RIC,1.6666666666666665,10.806000000000001
SAR,1.6666666666666665,11.379
ALB,1.6666666666666665,12.617
NOR,2.0,1.767
VER,2.0,0.613
HAM,2.0,2.5949999999999998
RUS,2.0,0.0
LEC,2.0,3.85
SAI,2.0,4.322
GAS,2.0,5.328
OCO,2.0,7.051
PIA,2.0,6.292
ALO,2.0,9.267
PER,2.0,8.406
BOT,2.0,10.261
HUL,2.0,7.641
STR,2.0,9.773
ZHO,2.0,11.596
MAG,2.0,11.281
TSU,2.0,10.79
RIC,2.0,12.037
SAR,2.0,12.678
ALB,2.0,13.7
NOR,2.3333333333333335,1.8050000000000002
VER,2.3333333333333335,0.0
HAM,2.3333333333333335,2.352
RUS,2.3333333333333335,0.685
LEC,2.3333333333333335,4.166
SAI,2.3333333333333335,3.734
GAS,2.3333333333333335,5.172
OCO,2.3333333333333335,7.087
PIA,2.3333333333333335,6.201
ALO,2.3333333333333335,9.544
PER,2.3333333333333335,8.663
BOT,2.3333333333333335,10.466
HUL,2.3333333333333335,7.856
STR,2.3333333333333335,10.048
ZHO,2.3333333333333335,11.735
MAG,2.3333333333333335,11.303
TSU,2.3333333333333335,10.97
RIC,2.3333333333333335,12.266
SAR,2.3333333333333335,13.011
ALB,2.3333333333333335,14.182
NOR,2.6666666666666665,1.901
VER,2.6666666666666665,0.0
HAM,2.6666666666666665,2.811
RUS,2.6666666666666665,1.035
LEC,2.6666666666666665,4.872
SAI,2.6666666666666665,4.248
GAS,2.6666666666666665,5.681
OCO,2.6666666666666665,7.516
PIA,2.6666666666666665,6.553
ALO,2.6666666666666665,10.591
PER,2.6666666666666665,9.689
BOT,2.6666666666666665,11.656
HUL,2.6666666666666665,8.504
STR,2.6666666666666665,11.103
ZHO,2.6666666666666665,13.136
MAG,2.6666666666666665,12.598
TSU,2.6666666666666665,12.138
RIC,2.6666666666666665,13.637
SAR,2.6666666666666665,14.277
