Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-06-29 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-29 14:11:14,Other,CAR 22 (TSU) TIME 1:05.725 DELETED - TRACK LIMITS AT TURN 6 LAP 6 16:10:48,,,,,,
2024-06-29 14:15:16,Other,PIT LANE INCIDENT INVOLVING CAR 27 (HUL) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2024-06-29 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-29 14:18:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2024-06-29 14:20:53,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 20 (MAG), 3 (RIC), 11 (PER), 2 (SAR), 31 (OCO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-29 14:21:12,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 20 (MAG), 3 (RIC), 11 (PER), 2 (SAR), 31 (OCO) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-29 14:21:59,Other,PIT LANE INCIDENT INVOLVING CAR 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2024-06-29 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-29 14:32:17,Other,Q2 PIT LANE INCIDENT INVOLVING CAR 27 (HUL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2024-06-29 14:36:09,Other,FIA STEWARDS: Q2 PIT LANE INCIDENT INVOLVING CAR 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2024-06-29 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-29 14:40:19,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-06-29 14:40:50,Other,CAR 10 (GAS) TIME 1:05.335 DELETED - TRACK LIMITS AT TURN 6 LAP 18 16:40:08,,,,,,
2024-06-29 14:42:10,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 20 (MAG), 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-29 14:47:48,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 20 (MAG), 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-29 14:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-29 14:52:45,Other,INCIDENT INVOLVING CAR 44 (HAM) NOTED - UNSAFE RELEASE,,,,,,
2024-06-29 14:54:03,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE,,,,,,
2024-06-29 14:59:45,Other,PIT EXIT INCIDENT INVOLVING CAR 1 (VER) NOTED - DRIVING UNNECESSARILY SLOWLY,,,,,,
2024-06-29 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-29 15:00:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 4 (NOR),,,,,,
2024-06-29 15:01:10,Other,CAR 81 (PIA) TIME 1:04.786 DELETED - TRACK LIMITS AT TURN 6 LAP 17 16:59:33,,,,,,
2024-06-29 15:01:36,Other,CAR 16 (LEC) TIME 1:10.750 DELETED - TRACK LIMITS AT TURN 6 LAP 22 17:00:19,,,,,,
2024-06-29 15:01:37,Other,CAR 16 (LEC) TIME 1:10.750 DELETED - TRACK LIMITS AT TURN 9 LAP 22 17:00:33,,,,,,
2024-06-29 15:02:28,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 20 (MAG), 3 (RIC), 11 (PER), 2 (SAR), 31 (OCO) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-29 15:02:57,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 20 (MAG), 44 (HAM) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-29 15:03:04,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CAR 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-06-29 15:03:28,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-06-29 15:08:46,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CAR 63 (RUS) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-06-29 15:09:29,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 1 (VER) WILL BE INVESTIGATED AFTER THE SESSION - DRIVING UNNECESSARILY SLOWLY,,,,,,
