Driver,LapNumber,LapTime,Compound
VER,2.0,65.69,MEDIUM
VER,3.0,93.773,MEDIUM
VER,4.0,89.217,MEDIUM
VER,5.0,106.861,MEDIUM
VER,7.0,65.186,MEDIUM
VER,8.0,91.096,MEDIUM
VER,10.0,64.686,SOFT
VER,11.0,92.847,SOFT
PIA,2.0,66.289,MEDIUM
PIA,3.0,92.759,MEDIUM
PIA,4.0,89.898,MEDIUM
PIA,5.0,66.081,MEDIUM
PIA,6.0,91.575,MEDIUM
PIA,7.0,66.427,MEDIUM
PIA,8.0,90.29,MEDIUM
PIA,10.0,65.379,MEDIUM
PIA,11.0,90.345,MEDIUM
PIA,13.0,64.987,SOFT
PIA,14.0,94.513,SOFT
LEC,2.0,66.149,MEDIUM
LEC,3.0,95.169,MEDIUM
LEC,5.0,67.043,MEDIUM
LEC,6.0,81.025,MEDIUM
LEC,8.0,65.526,MEDIUM
LEC,9.0,90.501,MEDIUM
SAI,2.0,65.781,MEDIUM
SAI,3.0,94.793,MEDIUM
SAI,5.0,66.317,MEDIUM
SAI,6.0,89.527,MEDIUM
SAI,8.0,65.435,MEDIUM
SAI,9.0,86.958,MEDIUM
SAI,11.0,65.126,SOFT
HAM,2.0,66.416,MEDIUM
HAM,3.0,91.857,MEDIUM
HAM,5.0,66.504,MEDIUM
HAM,6.0,90.236,MEDIUM
HAM,8.0,65.539,MEDIUM
HAM,9.0,110.627,MEDIUM
HAM,12.0,65.27,SOFT
OCO,2.0,66.343,MEDIUM
OCO,3.0,87.778,MEDIUM
OCO,5.0,66.451,MEDIUM
OCO,6.0,89.061,MEDIUM
OCO,8.0,65.686,MEDIUM
OCO,9.0,93.187,MEDIUM
OCO,11.0,66.101,SOFT
STR,2.0,66.037,MEDIUM
STR,3.0,90.442,MEDIUM
STR,4.0,116.202,MEDIUM
STR,5.0,80.626,MEDIUM
STR,7.0,65.847,MEDIUM
STR,8.0,107.076,MEDIUM
RUS,2.0,65.764,MEDIUM
RUS,3.0,98.898,MEDIUM
RUS,5.0,65.325,MEDIUM
RUS,6.0,94.39,MEDIUM
RUS,8.0,65.054,SOFT
TSU,2.0,66.557,MEDIUM
TSU,3.0,95.916,MEDIUM
TSU,5.0,74.828,MEDIUM
TSU,6.0,92.484,MEDIUM
TSU,8.0,65.96,MEDIUM
TSU,9.0,89.993,MEDIUM
ALO,2.0,66.822,MEDIUM
ALO,3.0,92.914,MEDIUM
ALO,4.0,93.465,MEDIUM
ALO,5.0,66.487,MEDIUM
ALO,6.0,95.568,MEDIUM
ALO,8.0,65.878,MEDIUM
GAS,2.0,66.76,MEDIUM
GAS,3.0,90.027,MEDIUM
GAS,5.0,66.465,MEDIUM
GAS,6.0,89.222,MEDIUM
GAS,8.0,65.757,MEDIUM
GAS,9.0,95.721,MEDIUM
GAS,11.0,66.624,SOFT
PER,2.0,66.256,MEDIUM
PER,3.0,89.182,MEDIUM
PER,4.0,92.084,MEDIUM
PER,5.0,66.469,MEDIUM
PER,6.0,94.066,MEDIUM
PER,8.0,65.612,MEDIUM
PER,9.0,114.193,MEDIUM
PER,11.0,79.728,MEDIUM
PER,13.0,66.008,SOFT
NOR,2.0,65.98,MEDIUM
NOR,3.0,99.164,MEDIUM
NOR,4.0,119.62,MEDIUM
NOR,5.0,65.786,MEDIUM
NOR,6.0,90.05,MEDIUM
NOR,8.0,65.561,MEDIUM
NOR,9.0,86.655,MEDIUM
NOR,12.0,64.779,SOFT
NOR,13.0,94.428,SOFT
ZHO,2.0,67.706,MEDIUM
ZHO,3.0,96.349,MEDIUM
ZHO,5.0,67.197,MEDIUM
ZHO,6.0,90.082,MEDIUM
BOT,2.0,66.725,MEDIUM
BOT,3.0,116.825,MEDIUM
BOT,4.0,117.174,MEDIUM
BOT,5.0,66.709,MEDIUM
BOT,6.0,92.706,MEDIUM
RIC,2.0,66.89,MEDIUM
RIC,3.0,93.478,MEDIUM
RIC,5.0,66.581,MEDIUM
RIC,6.0,93.522,MEDIUM
HUL,2.0,66.764,MEDIUM
HUL,3.0,88.7,MEDIUM
HUL,5.0,66.583,MEDIUM
HUL,6.0,85.297,MEDIUM
ALB,2.0,66.841,MEDIUM
ALB,3.0,90.149,MEDIUM
ALB,4.0,94.806,MEDIUM
ALB,5.0,66.754,MEDIUM
ALB,6.0,94.663,MEDIUM
MAG,2.0,66.387,MEDIUM
MAG,3.0,124.425,MEDIUM
MAG,5.0,106.939,MEDIUM
MAG,7.0,65.806,MEDIUM
MAG,8.0,81.577,MEDIUM
SAR,2.0,66.692,MEDIUM
SAR,3.0,84.923,MEDIUM
SAR,4.0,86.753,MEDIUM
SAR,5.0,66.518,MEDIUM
SAR,6.0,89.287,MEDIUM
SAR,8.0,66.013,MEDIUM
SAR,9.0,92.486,MEDIUM
