Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-06-28 14:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-28 14:35:35,Other,CAR 44 (HAM) TIME 1:06.416 DELETED - TRACK LIMITS AT TURN 6 LAP 3 16:35:08,,,,,,
2024-06-28 14:36:22,Other,CAR 24 (ZHO) TIME 1:07.706 DELETED - TRACK LIMITS AT TURN 9 LAP 3 16:35:57,,,,,,
2024-06-28 14:40:45,Other,CAR 77 (BOT) TIME 1:06.709 DELETED - TRACK LIMITS AT TURN 6 LAP 6 16:40:13,,,,,,
2024-06-28 14:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-28 14:42:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,,
2024-06-28 14:42:17,Other,CAR 77 (BOT) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 7 16:40:45,,,,,,
2024-06-28 14:42:23,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2024-06-28 14:42:31,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-06-28 14:43:18,Other,CAR 22 (TSU) TIME 1:14.828 DELETED - TRACK LIMITS AT TURN 6 LAP 6 16:42:07,,,,,,
2024-06-28 14:43:40,Other,CAR 22 (TSU) TIME 1:14.828 DELETED - TRACK LIMITS AT TURN 9 LAP 6 16:42:21,,,,,,
2024-06-28 14:43:54,Other,CAR 81 (PIA) TIME 1:06.427 DELETED - TRACK LIMITS AT TURN 6 LAP 8 16:42:38,,,,,,
2024-06-28 14:45:45,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 22 (TSU), 63 (RUS), 24 (ZHO), 81 (PIA), 20 (MAG), 44 (HAM), 11 (PER), 18 (STR), 10 (GAS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-28 14:45:52,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 22 (TSU), 63 (RUS), 24 (ZHO), 81 (PIA), 20 (MAG), 44 (HAM), 11 (PER), 18 (STR), 10 (GAS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-28 14:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-28 14:58:49,Other,CAR 2 (SAR) TIME 1:06.013 DELETED - TRACK LIMITS AT TURN 6 LAP 9 16:58:11,,,,,,
2024-06-28 14:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-28 15:00:22,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 11 (PER), 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-28 15:00:35,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 11 (PER), 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-28 15:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-06-28 15:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-06-28 15:14:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
2024-06-28 15:16:25,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 22 (TSU), 63 (RUS), 24 (ZHO), 81 (PIA), 20 (MAG), 44 (HAM), 11 (PER), 18 (STR), 10 (GAS) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-06-28 15:16:40,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 11 (PER), 18 (STR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
