Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-06-29 09:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-06-29 09:35:01,Other,PIT EXIT CLOSED,,,,,,1
2024-06-29 09:45:20,Other,RISK OF RAIN FOR F1 SPRINT IS 0%,,,,,,1
2024-06-29 09:57:04,Drs,DRS DISABLED,DISABLED,,,,,1
2024-06-29 10:02:58,Other,START ABORTED - EXTRA FORMATION LAP,,,,,,1
2024-06-29 10:06:04,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-06-29 10:07:08,Drs,DRS ENABLED,ENABLED,,,,,1
2024-06-29 10:13:09,Other,CAR 4 (NOR) TIME 1:09.310 DELETED - TRACK LIMITS AT TURN 1 LAP 6 12:12:03,,,,,,7
2024-06-29 10:14:32,Other,CAR 14 (ALO) TIME 1:10.728 DELETED - TRACK LIMITS AT TURN 1 LAP 7 12:13:25,,,,,,8
2024-06-29 10:24:48,Other,CAR 4 (NOR) TIME 1:10.028 DELETED - TRACK LIMITS AT TURN 1 LAP 16 12:23:38,,,,,,17
2024-06-29 10:31:54,Other,TURN 3 INCIDENT INVOLVING CARS 27 (HUL) AND 14 (ALO) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,23
2024-06-29 10:32:14,Other,CAR 14 (ALO) TIME 1:14.046 DELETED - TRACK LIMITS AT TURN 3 LAP 21 12:30:15,,,,,,23
2024-06-29 10:32:46,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,23
2024-06-29 10:33:32,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 27 (HUL) AND 14 (ALO) WILL BE INVESTIGATED AFTER THE SPRINT - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,23
