Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-07-06 13:48:50,Other,WET TRACK,,,,,,
2024-07-06 13:48:53,Other,LOW GRIP CONDITIONS,,,,,,
2024-07-06 13:48:56,Drs,DRS DISABLED,DISABLED,,,,,
2024-07-06 13:51:42,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 60%,,,,,,
2024-07-06 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-06 14:09:44,Other,CAR 4 (NOR) TIME 1:55.370 DELETED - TRACK LIMITS AT TURN 3 LAP 5 15:07:41,,,,,,
2024-07-06 14:10:22,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2024-07-06 14:10:31,Flag,RED FLAG,,RED,Track,,,
2024-07-06 14:10:31,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2024-07-06 14:11:29,Other,CAR 3 (RIC) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 6 15:10:24 (PIT),,,,,,
2024-07-06 14:16:29,Other,Q1 WILL RESUME AT 15:19,,,,,,
2024-07-06 14:16:37,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-07-06 14:16:39,Drs,DRS DISABLED,DISABLED,,,,,
2024-07-06 14:17:44,Other,INCIDENT INVOLVING CAR 18 (STR) NOTED - LEAVING PIT EXIT ON RED LIGHT,,,,,,
2024-07-06 14:19:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-06 14:19:14,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - LEAVING PIT EXIT ON RED LIGHT,,,,,,
2024-07-06 14:22:20,Other,PIT LANE INCIDENT INVOLVING CARS 14 (ALO) AND 18 (STR) NOTED,,,,,,
2024-07-06 14:23:47,Other,CAR 63 (RUS) TIME 1:36.993 DELETED - TRACK LIMITS AT TURN 9 LAP 9 15:22:59,,,,,,
2024-07-06 14:24:06,Other,CAR 1 (VER) TIME 1:49.924 DELETED - TRACK LIMITS AT TURN 9 LAP 8 15:23:04,,,,,,
2024-07-06 14:24:14,Other,CAR 24 (ZHO) TIME 1:44.377 DELETED - TRACK LIMITS AT TURN 9 LAP 10 15:23:18,,,,,,
2024-07-06 14:24:51,Other,CAR 22 (TSU) TIME 1:42.586 DELETED - TRACK LIMITS AT TURN 9 LAP 8 15:23:52,,,,,,
2024-07-06 14:25:06,Other,CAR 14 (ALO) TIME 2:08.082 DELETED - TRACK LIMITS AT TURN 4 LAP 10 15:23:11,,,,,,
2024-07-06 14:25:16,Other,CAR 55 (SAI) TIME 1:35.902 DELETED - TRACK LIMITS AT TURN 9 LAP 8 15:23:21,,,,,,
2024-07-06 14:25:32,Other,CAR 20 (MAG) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 7 15:23:23,,,,,,
2024-07-06 14:26:00,Other,CAR 23 (ALB) TIME 1:42.051 DELETED - TRACK LIMITS AT TURN 9 LAP 8 15:23:47,,,,,,
2024-07-06 14:26:30,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-07-06 14:26:42,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-07-06 14:27:20,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8,,,,,,
2024-07-06 14:27:23,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2024-07-06 14:27:27,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8,,,,,,
2024-07-06 14:27:36,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2024-07-06 14:29:44,Other,Q2 WILL START AT 15:34,,,,,,
2024-07-06 14:30:39,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 14 (ALO) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2024-07-06 14:33:43,Drs,DRS ENABLED,ENABLED,,,,,
2024-07-06 14:34:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-06 14:34:26,Other,NORMAL GRIP CONDITIONS,,,,,,
2024-07-06 14:49:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-07-06 14:49:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,,
2024-07-06 14:52:26,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 23 (ALB), 18 (STR), 63 (RUS), 24 (ZHO), 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-07-06 14:52:32,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 23 (ALB), 18 (STR), 63 (RUS), 24 (ZHO), 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-07-06 14:53:16,Other,Q3 WILL START AT 15:57,,,,,,
2024-07-06 14:57:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-06 15:09:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-07-06 15:09:31,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2024-07-06 15:13:50,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 23 (ALB), 18 (STR), 63 (RUS), 24 (ZHO), 44 (HAM) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-07-06 15:16:12,Other,CAR 14 (ALO) LAP DELETED - TRACK LIMITS AT TURN 6 LAP 25 16:09:29,,,,,,
