Driver,LapNumber,GapTime
RUS,0.6666666666666666,0.0
HAM,0.6666666666666666,0.584
NOR,0.6666666666666666,1.708
VER,0.6666666666666666,1.068
PIA,0.6666666666666666,2.248
HUL,0.6666666666666666,4.154
SAI,0.6666666666666666,2.824
STR,0.6666666666666666,3.351
ALB,0.6666666666666666,5.594
ALO,0.6666666666666666,4.54
LEC,0.6666666666666666,3.708
SAR,0.6666666666666666,5.259
TSU,0.6666666666666666,4.98
ZHO,0.6666666666666666,6.4879999999999995
RIC,0.6666666666666666,6.2620000000000005
BOT,0.6666666666666666,7.82
MAG,0.6666666666666666,7.239
OCO,0.6666666666666666,6.884
GAS,0.6666666666666666,
PER,0.6666666666666666,13.359
RUS,1.0,0.0
HAM,1.0,0.842
NOR,1.0,2.161
VER,1.0,1.651
PIA,1.0,2.799
HUL,1.0,4.973
SAI,1.0,3.516
STR,1.0,3.908
ALB,1.0,6.261
ALO,1.0,5.423
LEC,1.0,4.423
SAR,1.0,6.632
TSU,1.0,5.878
ZHO,1.0,7.022
RIC,1.0,7.548
BOT,1.0,9.184
MAG,1.0,8.558
OCO,1.0,8.0
GAS,1.0,
PER,1.0,14.319
RUS,1.3333333333333333,0.0
HAM,1.3333333333333333,0.591
NOR,1.3333333333333333,1.913
VER,1.3333333333333333,1.658
PIA,1.3333333333333333,2.859
HUL,1.3333333333333333,4.944
SAI,1.3333333333333333,3.454
STR,1.3333333333333333,4.092
ALB,1.3333333333333333,6.4879999999999995
ALO,1.3333333333333333,5.393
LEC,1.3333333333333333,4.571
SAR,1.3333333333333333,7.017
TSU,1.3333333333333333,5.812
ZHO,1.3333333333333333,7.415
RIC,1.3333333333333333,8.055
BOT,1.3333333333333333,9.685
MAG,1.3333333333333333,8.706
OCO,1.3333333333333333,8.146
PER,1.3333333333333333,14.284
RUS,1.6666666666666665,0.0
HAM,1.6666666666666665,0.951
NOR,1.6666666666666665,2.877
VER,1.6666666666666665,1.9260000000000002
PIA,1.6666666666666665,3.547
HUL,1.6666666666666665,6.013
SAI,1.6666666666666665,4.236
STR,1.6666666666666665,5.021
