Driver,LapNumber,LapTime,Compound
RUS,2.0,91.418,MEDIUM
RUS,3.0,91.298,MEDIUM
RUS,4.0,91.799,MEDIUM
RUS,5.0,91.628,MEDIUM
RUS,6.0,91.625,MEDIUM
RUS,7.0,91.663,MEDIUM
RUS,8.0,91.731,MEDIUM
RUS,9.0,91.621,MEDIUM
RUS,10.0,91.639,MEDIUM
RUS,11.0,91.586,MEDIUM
RUS,12.0,91.619,MEDIUM
RUS,13.0,91.716,MEDIUM
RUS,14.0,91.478,MEDIUM
RUS,15.0,91.566,MEDIUM
RUS,16.0,91.626,MEDIUM
RUS,17.0,94.793,MEDIUM
RUS,18.0,96.365,MEDIUM
RUS,19.0,104.151,MEDIUM
RUS,20.0,99.962,MEDIUM
RUS,21.0,92.753,MEDIUM
RUS,22.0,91.344,MEDIUM
RUS,23.0,91.497,MEDIUM
RUS,24.0,91.968,MEDIUM
RUS,25.0,94.781,MEDIUM
RUS,26.0,99.949,MEDIUM
RUS,27.0,107.698,MEDIUM
RUS,28.0,124.342,INTERMEDIATE
RUS,29.0,100.405,INTERMEDIATE
RUS,30.0,101.237,INTERMEDIATE
RUS,31.0,101.902,INTERMEDIATE
RUS,32.0,103.085,INTERMEDIATE
RUS,33.0,106.221,INTERMEDIATE
HAM,2.0,91.42,MEDIUM
HAM,3.0,91.716,MEDIUM
HAM,4.0,91.988,MEDIUM
HAM,5.0,91.677,MEDIUM
HAM,6.0,91.746,MEDIUM
HAM,7.0,91.675,MEDIUM
HAM,8.0,91.76,MEDIUM
HAM,9.0,91.564,MEDIUM
HAM,10.0,91.515,MEDIUM
HAM,11.0,91.487,MEDIUM
HAM,12.0,91.563,MEDIUM
HAM,13.0,91.881,MEDIUM
HAM,14.0,91.609,MEDIUM
HAM,15.0,91.563,MEDIUM
HAM,16.0,91.931,MEDIUM
HAM,17.0,93.721,MEDIUM
HAM,18.0,95.071,MEDIUM
HAM,19.0,103.711,MEDIUM
HAM,20.0,100.021,MEDIUM
HAM,21.0,92.156,MEDIUM
HAM,22.0,91.095,MEDIUM
HAM,23.0,91.107,MEDIUM
HAM,24.0,91.635,MEDIUM
HAM,25.0,94.988,MEDIUM
HAM,26.0,100.792,MEDIUM
HAM,27.0,105.183,MEDIUM
HAM,28.0,120.866,INTERMEDIATE
HAM,29.0,100.42,INTERMEDIATE
HAM,30.0,100.467,INTERMEDIATE
HAM,31.0,101.538,INTERMEDIATE
HAM,32.0,102.475,INTERMEDIATE
HAM,33.0,102.435,INTERMEDIATE
HAM,34.0,102.757,INTERMEDIATE
HAM,35.0,102.271,INTERMEDIATE
HAM,36.0,101.924,INTERMEDIATE
HAM,37.0,99.711,INTERMEDIATE
HAM,38.0,97.22,INTERMEDIATE
HAM,39.0,117.389,SOFT
HAM,40.0,90.318,SOFT
HAM,41.0,90.118,SOFT
HAM,42.0,89.617,SOFT
HAM,43.0,89.793,SOFT
HAM,44.0,89.697,SOFT
HAM,45.0,89.438,SOFT
HAM,46.0,89.641,SOFT
HAM,47.0,89.538,SOFT
HAM,48.0,89.579,SOFT
HAM,49.0,89.667,SOFT
HAM,50.0,89.682,SOFT
HAM,51.0,89.743,SOFT
HAM,52.0,90.146,SOFT
NOR,2.0,92.188,MEDIUM
NOR,3.0,91.991,MEDIUM
NOR,4.0,91.976,MEDIUM
NOR,5.0,91.716,MEDIUM
NOR,6.0,91.896,MEDIUM
NOR,7.0,92.071,MEDIUM
NOR,8.0,92.018,MEDIUM
NOR,9.0,91.976,MEDIUM
NOR,10.0,91.83,MEDIUM
NOR,11.0,91.748,MEDIUM
NOR,12.0,91.718,MEDIUM
NOR,13.0,91.472,MEDIUM
NOR,14.0,91.407,MEDIUM
NOR,15.0,90.946,MEDIUM
NOR,16.0,91.69,MEDIUM
NOR,17.0,94.304,MEDIUM
NOR,18.0,94.125,MEDIUM
NOR,19.0,101.436,MEDIUM
NOR,20.0,97.704,MEDIUM
NOR,21.0,91.513,MEDIUM
NOR,22.0,90.86,MEDIUM
NOR,23.0,91.176,MEDIUM
NOR,24.0,91.629,MEDIUM
NOR,25.0,94.307,MEDIUM
NOR,26.0,101.515,MEDIUM
NOR,27.0,104.806,MEDIUM
NOR,28.0,120.915,INTERMEDIATE
NOR,29.0,100.266,INTERMEDIATE
NOR,30.0,100.717,INTERMEDIATE
NOR,31.0,101.313,INTERMEDIATE
NOR,32.0,102.216,INTERMEDIATE
NOR,33.0,102.607,INTERMEDIATE
NOR,34.0,103.078,INTERMEDIATE
NOR,35.0,102.935,INTERMEDIATE
NOR,36.0,102.34,INTERMEDIATE
NOR,37.0,99.786,INTERMEDIATE
NOR,38.0,97.999,INTERMEDIATE
NOR,39.0,96.746,INTERMEDIATE
NOR,40.0,114.84,SOFT
NOR,41.0,89.733,SOFT
NOR,42.0,90.006,SOFT
NOR,43.0,89.262,SOFT
NOR,44.0,89.752,SOFT
NOR,45.0,89.635,SOFT
NOR,46.0,89.96,SOFT
NOR,47.0,89.838,SOFT
NOR,48.0,90.556,SOFT
NOR,49.0,90.515,SOFT
NOR,50.0,90.544,SOFT
NOR,51.0,90.769,SOFT
NOR,52.0,90.913,SOFT
VER,2.0,91.773,MEDIUM
VER,3.0,92.2,MEDIUM
VER,4.0,91.933,MEDIUM
VER,5.0,91.778,MEDIUM
VER,6.0,91.711,MEDIUM
VER,7.0,91.935,MEDIUM
VER,8.0,92.038,MEDIUM
VER,9.0,91.883,MEDIUM
VER,10.0,91.661,MEDIUM
VER,11.0,91.81,MEDIUM
VER,12.0,91.894,MEDIUM
VER,13.0,91.759,MEDIUM
VER,14.0,91.7,MEDIUM
VER,15.0,92.249,MEDIUM
VER,16.0,92.504,MEDIUM
VER,17.0,95.359,MEDIUM
VER,18.0,96.172,MEDIUM
VER,19.0,102.485,MEDIUM
VER,20.0,97.108,MEDIUM
VER,21.0,93.488,MEDIUM
VER,22.0,91.904,MEDIUM
VER,23.0,92.143,MEDIUM
VER,24.0,93.02,MEDIUM
VER,25.0,96.063,MEDIUM
VER,26.0,101.491,MEDIUM
