Driver,LapNumber,LapTime,Compound
VER,2.0,80.715,SOFT
VER,3.0,143.137,SOFT
VER,5.0,79.831,SOFT
VER,8.0,79.844,SOFT
VER,9.0,100.108,SOFT
VER,11.0,125.198,SOFT
VER,13.0,78.989,SOFT
VER,14.0,144.436,SOFT
VER,16.0,79.202,SOFT
VER,17.0,90.89,SOFT
VER,19.0,101.928,SOFT
VER,20.0,123.886,SOFT
SAR,4.0,81.169,MEDIUM
SAR,5.0,121.984,MEDIUM
SAR,6.0,119.504,MEDIUM
SAR,7.0,81.544,MEDIUM
SAR,8.0,97.833,MEDIUM
SAR,10.0,124.515,SOFT
SAR,11.0,79.885,SOFT
SAR,12.0,135.918,SOFT
SAR,13.0,142.323,SOFT
SAR,14.0,80.285,SOFT
SAR,15.0,109.315,SOFT
SAR,17.0,84.995,SOFT
SAR,18.0,85.741,SOFT
SAR,19.0,90.774,SOFT
SAR,20.0,86.624,SOFT
SAR,21.0,86.795,SOFT
SAR,22.0,87.738,SOFT
SAR,23.0,86.099,SOFT
SAR,24.0,86.791,SOFT
SAR,25.0,145.301,SOFT
SAR,26.0,114.693,SOFT
RIC,2.0,81.301,MEDIUM
RIC,3.0,146.895,MEDIUM
RIC,4.0,122.684,MEDIUM
RIC,5.0,80.884,MEDIUM
RIC,6.0,124.404,MEDIUM
RIC,8.0,80.771,MEDIUM
RIC,9.0,147.517,MEDIUM
RIC,10.0,131.414,MEDIUM
RIC,11.0,80.498,MEDIUM
RIC,12.0,92.71,MEDIUM
RIC,14.0,79.578,SOFT
RIC,15.0,127.435,SOFT
RIC,17.0,79.879,SOFT
RIC,18.0,94.516,SOFT
RIC,20.0,85.208,MEDIUM
RIC,21.0,85.356,MEDIUM
RIC,22.0,85.544,MEDIUM
RIC,23.0,85.869,MEDIUM
RIC,24.0,86.421,MEDIUM
RIC,25.0,86.779,MEDIUM
RIC,26.0,130.839,MEDIUM
RIC,27.0,103.355,MEDIUM
NOR,2.0,80.75,MEDIUM
NOR,3.0,120.596,MEDIUM
NOR,4.0,86.956,MEDIUM
NOR,5.0,121.641,MEDIUM
NOR,6.0,116.173,MEDIUM
NOR,7.0,80.288,MEDIUM
NOR,8.0,100.825,MEDIUM
NOR,9.0,109.265,MEDIUM
NOR,10.0,111.8,MEDIUM
NOR,12.0,79.211,SOFT
NOR,13.0,125.974,SOFT
NOR,15.0,82.423,SOFT
NOR,16.0,90.63,SOFT
NOR,18.0,84.903,MEDIUM
NOR,19.0,85.456,MEDIUM
NOR,20.0,85.536,MEDIUM
NOR,21.0,86.021,MEDIUM
NOR,22.0,85.798,MEDIUM
NOR,23.0,89.24,MEDIUM
NOR,24.0,84.944,MEDIUM
NOR,25.0,137.646,MEDIUM
NOR,26.0,99.432,MEDIUM
GAS,2.0,82.088,MEDIUM
GAS,3.0,133.872,MEDIUM
GAS,4.0,81.157,MEDIUM
GAS,5.0,143.83,MEDIUM
GAS,6.0,113.355,MEDIUM
GAS,7.0,80.859,MEDIUM
GAS,8.0,136.153,MEDIUM
GAS,9.0,121.674,MEDIUM
GAS,10.0,94.262,MEDIUM
GAS,12.0,79.976,SOFT
