Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-07-20 13:47:11,Other,WET TRACK,,,,,,
2024-07-20 13:47:19,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,,
2024-07-20 13:47:24,Other,LOW GRIP CONDITIONS,,,,,,
2024-07-20 13:59:13,Other,NORMAL GRIP CONDITIONS,,,,,,
2024-07-20 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-20 14:05:54,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2024-07-20 14:05:56,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-07-20 14:05:56,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-07-20 14:06:12,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-07-20 14:06:12,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-07-20 14:06:12,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2024-07-20 14:08:20,Other,CAR 2 (SAR) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 5 16:06:16 (PIT),,,,,,
2024-07-20 14:11:08,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
2024-07-20 14:11:16,Flag,RED FLAG,,RED,Track,,,
2024-07-20 14:11:16,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2024-07-20 14:11:30,Other,MEDICAL CAR DEPLOYED,,,,,,
2024-07-20 14:12:04,Other,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 6 16:09:26,,,,,,
2024-07-20 14:14:38,Other,LOW GRIP CONDITIONS,,,,,,
2024-07-20 14:14:51,Drs,DRS DISABLED,DISABLED,,,,,
2024-07-20 14:18:38,Other,Q1 WILL RESUME AT 16:22,,,,,,
2024-07-20 14:18:52,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-07-20 14:22:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-20 14:28:45,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-07-20 14:28:57,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-07-20 14:31:28,Other,Q2 WILL START AT 16:36,,,,,,
2024-07-20 14:31:50,Other,NORMAL GRIP CONDITIONS,,,,,,
2024-07-20 14:31:52,Drs,DRS ENABLED,ENABLED,,,,,
2024-07-20 14:36:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-20 14:42:01,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,,
2024-07-20 14:42:02,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2024-07-20 14:51:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-07-20 14:51:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-07-20 14:51:50,Other,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 12 LAP 16 16:51:21,,,,,,
2024-07-20 14:53:35,Other,Q3 WILL START AT 16:59,,,,,,
2024-07-20 14:54:02,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-07-20 14:54:16,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-07-20 14:59:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-20 15:08:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
2024-07-20 15:08:37,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
2024-07-20 15:08:40,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2024-07-20 15:08:48,Flag,RED FLAG,,RED,Track,,,
2024-07-20 15:08:48,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2024-07-20 15:08:48,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2024-07-20 15:09:07,Other,MEDICAL CAR DEPLOYED,,,,,,
2024-07-20 15:17:50,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-07-20 15:18:07,Other,Q3 WILL RESUME AT 17:21,,,,,,
2024-07-20 15:18:11,Drs,DRS ENABLED,ENABLED,,,,,
2024-07-20 15:21:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-20 15:23:13,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-07-20 15:24:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM),,,,,,
2024-07-20 15:26:51,Other,"FIA STEWARDS: Q3 INCIDENT INVOLVING CARS 18 (STR), 3 (RIC) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-07-20 15:27:01,Other,"FIA STEWARDS: Q3 INCIDENT INVOLVING CARS 18 (STR), 3 (RIC) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-07-20 15:27:13,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 23 (ALB) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-07-20 15:27:25,Other,"FIA STEWARDS: Q3 INCIDENT INVOLVING CARS 18 (STR), 3 (RIC) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
