Driver,LapNumber,LapTime,Compound
NOR,2.0,84.24,MEDIUM
NOR,3.0,84.393,MEDIUM
NOR,4.0,83.627,MEDIUM
NOR,5.0,83.804,MEDIUM
NOR,6.0,84.045,MEDIUM
NOR,7.0,84.085,MEDIUM
NOR,8.0,84.027,MEDIUM
NOR,9.0,84.225,MEDIUM
NOR,10.0,84.508,MEDIUM
NOR,11.0,84.245,MEDIUM
NOR,12.0,84.042,MEDIUM
NOR,13.0,84.343,MEDIUM
NOR,14.0,84.367,MEDIUM
NOR,15.0,84.334,MEDIUM
NOR,16.0,84.296,MEDIUM
NOR,17.0,86.485,MEDIUM
NOR,18.0,101.807,HARD
NOR,19.0,83.779,HARD
NOR,20.0,83.455,HARD
NOR,21.0,83.663,HARD
NOR,22.0,83.514,HARD
NOR,23.0,83.419,HARD
NOR,24.0,83.354,HARD
NOR,25.0,83.064,HARD
NOR,26.0,83.013,HARD
NOR,27.0,82.872,HARD
NOR,28.0,82.861,HARD
NOR,29.0,82.82,HARD
NOR,30.0,83.323,HARD
NOR,31.0,83.247,HARD
NOR,32.0,83.456,HARD
NOR,33.0,83.992,HARD
NOR,34.0,84.154,HARD
NOR,35.0,84.2,HARD
NOR,36.0,84.096,HARD
NOR,37.0,84.254,HARD
NOR,38.0,84.154,HARD
NOR,39.0,84.186,HARD
NOR,40.0,84.08,HARD
NOR,41.0,84.189,HARD
NOR,42.0,84.001,HARD
NOR,43.0,84.063,HARD
NOR,44.0,84.43,HARD
NOR,45.0,86.328,HARD
NOR,46.0,98.951,MEDIUM
NOR,47.0,83.29,MEDIUM
NOR,48.0,81.954,MEDIUM
NOR,49.0,82.109,MEDIUM
NOR,50.0,81.712,MEDIUM
NOR,51.0,81.976,MEDIUM
NOR,52.0,82.429,MEDIUM
NOR,53.0,81.89,MEDIUM
NOR,54.0,81.819,MEDIUM
NOR,55.0,82.171,MEDIUM
NOR,56.0,82.171,MEDIUM
NOR,57.0,82.222,MEDIUM
NOR,58.0,81.931,MEDIUM
NOR,59.0,82.219,MEDIUM
NOR,60.0,81.798,MEDIUM
NOR,61.0,81.886,MEDIUM
NOR,62.0,81.883,MEDIUM
NOR,63.0,82.602,MEDIUM
NOR,64.0,82.469,MEDIUM
NOR,65.0,82.481,MEDIUM
NOR,66.0,82.62,MEDIUM
NOR,67.0,85.666,MEDIUM
NOR,68.0,86.787,MEDIUM
NOR,69.0,82.862,MEDIUM
NOR,70.0,84.003,MEDIUM
PIA,2.0,84.038,MEDIUM
PIA,3.0,84.401,MEDIUM
PIA,4.0,84.115,MEDIUM
PIA,5.0,83.796,MEDIUM
PIA,6.0,83.846,MEDIUM
PIA,7.0,84.11,MEDIUM
PIA,8.0,83.892,MEDIUM
PIA,9.0,84.206,MEDIUM
PIA,10.0,84.257,MEDIUM
PIA,11.0,84.062,MEDIUM
PIA,12.0,83.893,MEDIUM
PIA,13.0,83.887,MEDIUM
PIA,14.0,84.683,MEDIUM
PIA,15.0,84.299,MEDIUM
PIA,16.0,84.237,MEDIUM
PIA,17.0,84.248,MEDIUM
PIA,18.0,86.496,MEDIUM
PIA,19.0,102.479,HARD
PIA,20.0,83.603,HARD
PIA,21.0,83.474,HARD
PIA,22.0,83.267,HARD
PIA,23.0,83.102,HARD
PIA,24.0,83.095,HARD
PIA,25.0,82.962,HARD
PIA,26.0,82.654,HARD
PIA,27.0,82.747,HARD
PIA,28.0,82.79,HARD
PIA,29.0,82.704,HARD
PIA,30.0,83.041,HARD
PIA,31.0,83.172,HARD
PIA,32.0,83.397,HARD
PIA,33.0,85.863,HARD
PIA,34.0,84.729,HARD
PIA,35.0,84.557,HARD
PIA,36.0,84.193,HARD
PIA,37.0,84.384,HARD
PIA,38.0,84.171,HARD
PIA,39.0,84.24,HARD
PIA,40.0,83.76,HARD
PIA,41.0,83.95,HARD
PIA,42.0,84.071,HARD
PIA,43.0,84.2,HARD
PIA,44.0,84.033,HARD
PIA,45.0,84.104,HARD
PIA,46.0,84.211,HARD
PIA,47.0,86.252,HARD
PIA,48.0,101.384,MEDIUM
PIA,49.0,82.39,MEDIUM
PIA,50.0,81.863,MEDIUM
PIA,51.0,81.716,MEDIUM
PIA,52.0,81.861,MEDIUM
PIA,53.0,82.367,MEDIUM
PIA,54.0,82.161,MEDIUM
PIA,55.0,81.858,MEDIUM
PIA,56.0,82.191,MEDIUM
PIA,57.0,82.505,MEDIUM
PIA,58.0,82.431,MEDIUM
PIA,59.0,82.008,MEDIUM
PIA,60.0,82.542,MEDIUM
PIA,61.0,82.06,MEDIUM
PIA,62.0,82.157,MEDIUM
PIA,63.0,82.459,MEDIUM
PIA,64.0,83.06,MEDIUM
PIA,65.0,82.771,MEDIUM
PIA,66.0,82.645,MEDIUM
PIA,67.0,82.62,MEDIUM
PIA,68.0,82.999,MEDIUM
PIA,69.0,82.597,MEDIUM
PIA,70.0,82.927,MEDIUM
VER,2.0,84.026,MEDIUM
VER,3.0,84.075,MEDIUM
VER,4.0,86.075,MEDIUM
VER,5.0,83.979,MEDIUM
VER,6.0,84.255,MEDIUM
VER,7.0,84.38,MEDIUM
VER,8.0,84.292,MEDIUM
VER,9.0,84.444,MEDIUM
VER,10.0,84.514,MEDIUM
VER,11.0,84.374,MEDIUM
VER,12.0,84.422,MEDIUM
VER,13.0,84.769,MEDIUM
VER,14.0,84.752,MEDIUM
VER,15.0,84.538,MEDIUM
VER,16.0,84.778,MEDIUM
VER,17.0,84.69,MEDIUM
VER,18.0,84.691,MEDIUM
VER,19.0,84.523,MEDIUM
VER,20.0,84.501,MEDIUM
VER,21.0,87.027,MEDIUM
VER,22.0,101.788,HARD
VER,23.0,82.769,HARD
VER,24.0,82.791,HARD
VER,25.0,82.782,HARD
VER,26.0,82.716,HARD
VER,27.0,82.655,HARD
VER,28.0,82.763,HARD
VER,29.0,82.807,HARD
VER,30.0,83.15,HARD
VER,31.0,83.416,HARD
VER,32.0,83.134,HARD
VER,33.0,83.585,HARD
VER,34.0,84.275,HARD
VER,35.0,85.757,HARD
VER,36.0,84.08,HARD
VER,37.0,84.491,HARD
VER,38.0,85.536,HARD
VER,39.0,84.675,HARD
VER,40.0,85.005,HARD
VER,41.0,83.221,HARD
VER,42.0,83.392,HARD
VER,43.0,83.393,HARD
VER,44.0,83.717,HARD
VER,45.0,83.827,HARD
VER,46.0,84.003,HARD
VER,47.0,84.228,HARD
VER,48.0,84.253,HARD
VER,49.0,86.468,HARD
VER,50.0,99.29,MEDIUM
VER,51.0,80.908,MEDIUM
VER,52.0,81.171,MEDIUM
VER,53.0,82.092,MEDIUM
VER,54.0,82.292,MEDIUM
VER,55.0,82.987,MEDIUM
VER,56.0,82.774,MEDIUM
VER,57.0,82.626,MEDIUM
VER,58.0,82.195,MEDIUM
VER,59.0,81.868,MEDIUM
VER,60.0,82.483,MEDIUM
VER,61.0,82.761,MEDIUM
VER,62.0,83.09,MEDIUM
VER,63.0,88.648,MEDIUM
VER,64.0,83.764,MEDIUM
VER,65.0,82.803,MEDIUM
VER,66.0,83.001,MEDIUM
VER,67.0,82.83,MEDIUM
VER,68.0,83.201,MEDIUM
VER,69.0,83.183,MEDIUM
VER,70.0,83.253,MEDIUM
SAI,2.0,86.038,MEDIUM
SAI,3.0,84.871,MEDIUM
SAI,4.0,85.043,MEDIUM
SAI,5.0,84.52,MEDIUM
SAI,6.0,84.526,MEDIUM
SAI,7.0,84.049,MEDIUM
SAI,8.0,84.408,MEDIUM
SAI,9.0,84.29,MEDIUM
SAI,10.0,84.606,MEDIUM
SAI,11.0,84.663,MEDIUM
SAI,12.0,84.555,MEDIUM
SAI,13.0,84.989,MEDIUM
SAI,14.0,84.927,MEDIUM
SAI,15.0,84.819,MEDIUM
SAI,16.0,84.879,MEDIUM
SAI,17.0,85.02,MEDIUM
SAI,18.0,84.851,MEDIUM
SAI,19.0,84.773,MEDIUM
SAI,20.0,84.787,MEDIUM
SAI,21.0,87.324,MEDIUM
SAI,22.0,102.164,HARD
SAI,23.0,84.004,HARD
SAI,24.0,83.713,HARD
SAI,25.0,84.612,HARD
SAI,26.0,83.925,HARD
SAI,27.0,83.226,HARD
SAI,28.0,82.908,HARD
SAI,29.0,82.918,HARD
SAI,30.0,83.017,HARD
SAI,31.0,82.93,HARD
SAI,32.0,83.048,HARD
SAI,33.0,83.269,HARD
SAI,34.0,83.489,HARD
SAI,35.0,83.769,HARD
SAI,36.0,83.779,HARD
SAI,37.0,83.981,HARD
SAI,38.0,83.695,HARD
SAI,39.0,83.557,HARD
SAI,40.0,84.07,HARD
SAI,41.0,83.876,HARD
SAI,42.0,83.654,HARD
SAI,43.0,83.874,HARD
SAI,44.0,84.093,HARD
SAI,45.0,84.116,HARD
SAI,46.0,84.078,HARD
SAI,47.0,87.215,HARD
SAI,48.0,100.364,MEDIUM
SAI,49.0,82.097,MEDIUM
SAI,50.0,81.557,MEDIUM
SAI,51.0,81.87,MEDIUM
SAI,52.0,82.187,MEDIUM
SAI,53.0,81.441,MEDIUM
SAI,54.0,81.491,MEDIUM
SAI,55.0,81.748,MEDIUM
SAI,56.0,82.234,MEDIUM
SAI,57.0,82.457,MEDIUM
SAI,58.0,83.61,MEDIUM
SAI,59.0,82.281,MEDIUM
SAI,60.0,82.495,MEDIUM
SAI,61.0,82.724,MEDIUM
SAI,62.0,82.869,MEDIUM
SAI,63.0,83.407,MEDIUM
SAI,64.0,83.679,MEDIUM
SAI,65.0,83.392,MEDIUM
SAI,66.0,83.265,MEDIUM
SAI,67.0,83.095,MEDIUM
SAI,68.0,83.102,MEDIUM
SAI,69.0,83.076,MEDIUM
SAI,70.0,83.336,MEDIUM
HAM,2.0,84.832,MEDIUM
HAM,3.0,84.679,MEDIUM
HAM,4.0,84.279,MEDIUM
HAM,5.0,84.001,MEDIUM
HAM,6.0,84.154,MEDIUM
HAM,7.0,84.193,MEDIUM
HAM,8.0,84.235,MEDIUM
HAM,9.0,84.366,MEDIUM
HAM,10.0,84.632,MEDIUM
HAM,11.0,84.379,MEDIUM
HAM,12.0,84.388,MEDIUM
HAM,13.0,84.7,MEDIUM
HAM,14.0,84.742,MEDIUM
HAM,15.0,84.562,MEDIUM
HAM,16.0,87.246,MEDIUM
HAM,17.0,100.316,HARD
HAM,18.0,83.35,HARD
HAM,19.0,83.201,HARD
HAM,20.0,83.332,HARD
HAM,21.0,83.47,HARD
HAM,22.0,83.18,HARD
HAM,23.0,83.622,HARD
HAM,24.0,83.698,HARD
HAM,25.0,83.145,HARD
HAM,26.0,83.334,HARD
HAM,27.0,83.481,HARD
HAM,28.0,83.306,HARD
HAM,29.0,83.342,HARD
HAM,30.0,83.485,HARD
HAM,31.0,83.585,HARD
HAM,32.0,83.532,HARD
HAM,33.0,84.117,HARD
HAM,34.0,84.355,HARD
HAM,35.0,85.12,HARD
HAM,36.0,84.527,HARD
HAM,37.0,84.655,HARD
HAM,38.0,85.372,HARD
HAM,39.0,84.801,HARD
HAM,40.0,87.733,HARD
HAM,41.0,101.018,HARD
HAM,42.0,82.518,HARD
HAM,43.0,83.074,HARD
HAM,44.0,83.133,HARD
HAM,45.0,82.969,HARD
HAM,46.0,82.937,HARD
HAM,47.0,83.097,HARD
HAM,48.0,83.09,HARD
HAM,49.0,82.906,HARD
HAM,50.0,82.67,HARD
HAM,51.0,82.991,HARD
HAM,52.0,83.021,HARD
