Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-07-27 10:16:35,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-07-27 10:18:03,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-07-27 10:18:24,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-07-27 10:19:08,Other,WET TRACK,,,,,,
2024-07-27 10:19:12,Other,LOW GRIP CONDITIONS,,,,,,
2024-07-27 10:19:34,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-07-27 10:19:41,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-07-27 10:21:02,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-07-27 10:21:21,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-07-27 10:22:14,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-07-27 10:25:12,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-07-27 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-27 10:32:01,Drs,DRS DISABLED,DISABLED,,,,,
2024-07-27 10:37:21,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2024-07-27 10:37:22,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2024-07-27 10:37:29,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2024-07-27 10:37:32,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2024-07-27 10:38:32,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2024-07-27 10:38:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2024-07-27 10:38:38,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2024-07-27 10:41:20,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2024-07-27 10:41:20,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2024-07-27 10:41:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2024-07-27 10:41:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2024-07-27 10:41:28,Flag,RED FLAG,,RED,Track,,,
2024-07-27 10:41:28,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2024-07-27 10:41:28,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2024-07-27 10:41:47,Other,MEDICAL CAR DEPLOYED,,,,,,
2024-07-27 10:48:49,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-07-27 10:49:06,Other,SESSION WILL RESUME AT 12:50,,,,,,
2024-07-27 10:50:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-27 11:04:44,Flag,RED FLAG,,RED,Track,,,
2024-07-27 11:26:49,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-07-27 11:26:56,Other,SESSION WILL RESUME AT 13:28,,,,,,
2024-07-27 11:28:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-07-27 11:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-07-27 11:30:24,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,,
