Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-08-24 12:45:04,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 40 %,,,,,,
2024-08-24 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-08-24 13:10:39,Other,TURN 9 INCIDENT INVOLVING CARS 44 (HAM) AND 11 (PER) NOTED - IMPEDING,,,,,,
2024-08-24 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-08-24 13:18:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-08-24 13:21:00,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 55 (SAI), 11 (PER), 63 (RUS), 44 (HAM), 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-08-24 13:21:20,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 55 (SAI), 11 (PER), 63 (RUS), 44 (HAM), 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-08-24 13:22:48,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CARS 44 (HAM) AND 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2024-08-24 13:23:13,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-08-24 13:23:49,Other,PIT EXIT CLOSED,,,,,,
2024-08-24 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-08-24 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-08-24 13:40:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-08-24 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-08-24 14:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-08-24 14:00:16,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,,
2024-08-24 14:02:32,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 55 (SAI), 11 (PER), 63 (RUS), 44 (HAM), 18 (STR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
