Driver,LapNumber,LapTime,Compound
NOR,2.0,76.134,MEDIUM
NOR,3.0,76.496,MEDIUM
NOR,4.0,76.304,MEDIUM
NOR,5.0,76.271,MEDIUM
NOR,6.0,76.225,MEDIUM
NOR,7.0,76.395,MEDIUM
NOR,8.0,76.169,MEDIUM
NOR,9.0,76.477,MEDIUM
NOR,10.0,76.292,MEDIUM
NOR,11.0,76.303,MEDIUM
NOR,12.0,76.2,MEDIUM
NOR,13.0,76.242,MEDIUM
NOR,14.0,76.47,MEDIUM
NOR,15.0,76.227,MEDIUM
NOR,16.0,75.689,MEDIUM
NOR,17.0,76.085,MEDIUM
NOR,18.0,76.066,MEDIUM
NOR,19.0,75.899,MEDIUM
NOR,20.0,76.043,MEDIUM
NOR,21.0,75.729,MEDIUM
NOR,22.0,75.796,MEDIUM
NOR,23.0,75.784,MEDIUM
NOR,24.0,75.692,MEDIUM
NOR,25.0,75.709,MEDIUM
NOR,26.0,75.873,MEDIUM
NOR,27.0,75.744,MEDIUM
NOR,28.0,79.241,MEDIUM
NOR,29.0,95.15,HARD
NOR,30.0,74.571,HARD
NOR,31.0,74.391,HARD
NOR,32.0,74.476,HARD
NOR,33.0,74.489,HARD
NOR,34.0,74.491,HARD
NOR,35.0,74.474,HARD
NOR,36.0,74.312,HARD
NOR,37.0,74.724,HARD
NOR,38.0,74.557,HARD
NOR,39.0,74.707,HARD
NOR,40.0,74.639,HARD
NOR,41.0,75.01,HARD
NOR,42.0,75.205,HARD
NOR,43.0,74.791,HARD
NOR,44.0,74.577,HARD
NOR,45.0,74.831,HARD
NOR,46.0,74.603,HARD
NOR,47.0,74.892,HARD
NOR,48.0,74.776,HARD
NOR,49.0,74.911,HARD
NOR,50.0,74.575,HARD
NOR,51.0,74.832,HARD
NOR,52.0,74.687,HARD
NOR,53.0,74.738,HARD
NOR,54.0,74.468,HARD
NOR,55.0,74.599,HARD
NOR,56.0,74.816,HARD
NOR,57.0,74.867,HARD
NOR,58.0,75.098,HARD
NOR,59.0,74.979,HARD
NOR,60.0,74.518,HARD
NOR,61.0,75.046,HARD
NOR,62.0,75.008,HARD
