Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-08-30 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-08-30 11:39:55,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2024-08-30 11:39:56,Other,TURN 7 INCIDENT INVOLVING CARS 20 (MAG) AND 55 (SAI) NOTED - IMPEDING,,,,,,
2024-08-30 11:40:00,Flag,RED FLAG,,RED,Track,,,
2024-08-30 11:40:00,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-08-30 11:40:16,Other,MEDICAL CAR DEPLOYED,,,,,,
2024-08-30 11:44:20,Other,FIA STEWARDS: TURN 7 INCIDENT INVOLVING CARS 20 (MAG) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2024-08-30 11:49:35,Other,ESTIMATED TIME OF SESSION RESUMPTION - 13:53,,,,,,
2024-08-30 11:50:27,Other,SESSION WILL RESUME AT 13:53,,,,,,
2024-08-30 11:50:40,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-08-30 11:50:43,Drs,DRS ENABLED,ENABLED,,,,,
2024-08-30 11:53:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-08-30 12:25:33,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,,
2024-08-30 12:29:49,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2024-08-30 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-08-30 12:30:18,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,,
2024-08-30 12:30:28,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2024-08-30 12:36:07,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2024-08-30 12:45:24,Other,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 0 %,,,,,,
