Driver,LapNumber,GapTime
NOR,0.6666666666666666,1.086
PIA,0.6666666666666666,0.0
RUS,0.6666666666666666,2.706
LEC,0.6666666666666666,0.537
SAI,0.6666666666666666,1.327
HAM,0.6666666666666666,1.6720000000000002
VER,0.6666666666666666,2.255
PER,0.6666666666666666,3.178
ALB,0.6666666666666666,3.509
HUL,0.6666666666666666,4.415
ALO,0.6666666666666666,3.977
RIC,0.6666666666666666,4.339
MAG,0.6666666666666666,4.549
GAS,0.6666666666666666,5.191
OCO,0.6666666666666666,5.191
TSU,0.6666666666666666,5.604
STR,0.6666666666666666,5.86
COL,0.6666666666666666,6.331
BOT,0.6666666666666666,6.745
ZHO,0.6666666666666666,6.943
NOR,1.0,1.276
PIA,1.0,0.0
RUS,1.0,3.858
LEC,1.0,0.442
SAI,1.0,1.702
HAM,1.0,2.033
VER,1.0,2.576
PER,1.0,4.048
ALB,1.0,4.321
HUL,1.0,7.779
ALO,1.0,4.683
RIC,1.0,5.303
MAG,1.0,6.085
GAS,1.0,7.033
OCO,1.0,7.655
TSU,1.0,7.465
STR,1.0,8.076
COL,1.0,8.161
BOT,1.0,8.635
ZHO,1.0,8.993
NOR,1.3333333333333333,1.283
PIA,1.3333333333333333,0.0
RUS,1.3333333333333333,3.875
LEC,1.3333333333333333,0.501
SAI,1.3333333333333333,1.512
HAM,1.3333333333333333,1.968
VER,1.3333333333333333,3.011
PER,1.3333333333333333,4.234
ALB,1.3333333333333333,4.67
HUL,1.3333333333333333,8.717
ALO,1.3333333333333333,5.253
RIC,1.3333333333333333,5.587
MAG,1.3333333333333333,6.573
GAS,1.3333333333333333,7.557
OCO,1.3333333333333333,7.963
TSU,1.3333333333333333,8.281
STR,1.3333333333333333,9.059
COL,1.3333333333333333,8.847
BOT,1.3333333333333333,9.48
ZHO,1.3333333333333333,9.776
NOR,1.6666666666666665,1.38
PIA,1.6666666666666665,0.0
RUS,1.6666666666666665,4.138
LEC,1.6666666666666665,0.455
SAI,1.6666666666666665,1.976
HAM,1.6666666666666665,2.411
VER,1.6666666666666665,3.174
PER,1.6666666666666665,4.537
ALB,1.6666666666666665,5.161
HUL,1.6666666666666665,9.477
ALO,1.6666666666666665,5.874
RIC,1.6666666666666665,6.405
MAG,1.6666666666666665,7.2780000000000005
GAS,1.6666666666666665,7.906
OCO,1.6666666666666665,8.363
TSU,1.6666666666666665,9.064
STR,1.6666666666666665,10.398
COL,1.6666666666666665,10.134
BOT,1.6666666666666665,11.015
ZHO,1.6666666666666665,11.372
NOR,2.0,1.7
PIA,2.0,0.0
RUS,2.0,4.805
LEC,2.0,0.825
SAI,2.0,2.325
HAM,2.0,2.945
