Driver,LapNumber,LapTime,Compound
VER,2.0,139.955,MEDIUM
VER,3.0,108.664,MEDIUM
VER,5.0,107.214,MEDIUM
VER,8.0,106.858,MEDIUM
VER,10.0,106.638,MEDIUM
VER,13.0,107.936,MEDIUM
VER,16.0,105.895,SOFT
VER,19.0,105.546,SOFT
VER,21.0,149.592,SOFT
GAS,2.0,114.851,HARD
GAS,3.0,111.52,HARD
GAS,4.0,131.421,HARD
GAS,5.0,109.897,HARD
GAS,8.0,117.798,HARD
GAS,9.0,116.705,HARD
GAS,10.0,124.308,HARD
GAS,12.0,109.477,MEDIUM
GAS,15.0,109.055,MEDIUM
GAS,16.0,131.157,MEDIUM
GAS,17.0,108.712,MEDIUM
GAS,18.0,113.504,MEDIUM
GAS,19.0,113.551,MEDIUM
GAS,20.0,147.233,MEDIUM
PER,2.0,110.065,MEDIUM
PER,3.0,139.663,MEDIUM
PER,4.0,109.077,MEDIUM
PER,10.0,106.586,SOFT
PER,13.0,106.272,SOFT
PER,15.0,105.922,SOFT
PER,17.0,143.538,SOFT
ALO,2.0,111.835,MEDIUM
ALO,3.0,109.068,MEDIUM
ALO,4.0,139.099,MEDIUM
ALO,5.0,140.545,MEDIUM
ALO,10.0,107.928,MEDIUM
ALO,11.0,129.916,MEDIUM
ALO,13.0,106.452,SOFT
ALO,14.0,145.207,SOFT
ALO,16.0,107.058,SOFT
ALO,17.0,120.595,SOFT
ALO,19.0,149.3,SOFT
LEC,2.0,109.74,MEDIUM
LEC,3.0,108.34,MEDIUM
LEC,5.0,107.501,MEDIUM
LEC,8.0,123.633,MEDIUM
LEC,9.0,106.608,MEDIUM
LEC,10.0,143.102,MEDIUM
STR,2.0,113.487,MEDIUM
STR,3.0,111.343,MEDIUM
STR,4.0,138.912,MEDIUM
STR,5.0,110.025,MEDIUM
STR,8.0,125.074,MEDIUM
STR,9.0,109.339,MEDIUM
STR,12.0,107.184,SOFT
STR,15.0,134.058,SOFT
TSU,2.0,112.595,MEDIUM
TSU,3.0,110.634,MEDIUM
TSU,5.0,108.787,MEDIUM
TSU,8.0,137.255,MEDIUM
TSU,9.0,107.716,MEDIUM
TSU,12.0,107.708,SOFT
TSU,15.0,136.521,SOFT
TSU,16.0,114.428,SOFT
TSU,17.0,112.336,SOFT
TSU,18.0,112.255,SOFT
TSU,19.0,114.773,SOFT
ALB,5.0,110.348,MEDIUM
ALB,6.0,134.819,MEDIUM
ALB,7.0,108.931,MEDIUM
ALB,10.0,107.955,SOFT
ALB,14.0,145.733,SOFT
ALB,15.0,108.234,SOFT
ALB,17.0,126.189,SOFT
ZHO,2.0,114.293,MEDIUM
ZHO,4.0,149.653,MEDIUM
ZHO,5.0,111.28,MEDIUM
ZHO,8.0,110.496,MEDIUM
ZHO,11.0,109.052,SOFT
ZHO,14.0,109.34,SOFT
ZHO,16.0,142.845,SOFT
ZHO,17.0,118.1,SOFT
ZHO,18.0,146.457,SOFT
HUL,2.0,111.742,MEDIUM
HUL,3.0,144.999,MEDIUM
HUL,4.0,108.319,MEDIUM
HUL,7.0,108.449,MEDIUM
HUL,8.0,137.845,MEDIUM
HUL,10.0,107.135,SOFT
HUL,14.0,111.245,MEDIUM
HUL,15.0,111.979,MEDIUM
HUL,16.0,114.297,MEDIUM
HUL,17.0,118.36,MEDIUM
HUL,18.0,137.463,MEDIUM
HUL,20.0,127.11,MEDIUM
RIC,2.0,111.798,MEDIUM
RIC,3.0,109.847,MEDIUM
RIC,4.0,140.301,MEDIUM
RIC,5.0,109.086,MEDIUM
RIC,8.0,107.739,MEDIUM
RIC,10.0,129.072,MEDIUM
RIC,13.0,106.687,SOFT
RIC,14.0,143.778,SOFT
RIC,17.0,111.853,MEDIUM
RIC,18.0,112.894,MEDIUM
RIC,19.0,113.455,MEDIUM
RIC,20.0,114.832,MEDIUM
RIC,21.0,123.487,MEDIUM
NOR,3.0,108.558,MEDIUM
NOR,6.0,107.246,MEDIUM
NOR,9.0,106.027,SOFT
NOR,12.0,110.106,MEDIUM
NOR,13.0,110.867,MEDIUM
NOR,14.0,110.34,MEDIUM
NOR,15.0,110.95,MEDIUM
NOR,16.0,112.972,MEDIUM
NOR,17.0,146.851,MEDIUM
COL,2.0,111.651,MEDIUM
COL,3.0,109.786,MEDIUM
COL,6.0,119.435,MEDIUM
COL,7.0,108.602,MEDIUM
COL,10.0,107.901,SOFT
HAM,2.0,112.602,MEDIUM
HAM,3.0,107.618,MEDIUM
HAM,7.0,125.706,MEDIUM
HAM,8.0,111.696,MEDIUM
HAM,11.0,105.859,SOFT
HAM,14.0,142.144,SOFT
HAM,15.0,140.161,SOFT
HAM,16.0,126.595,SOFT
HAM,17.0,126.111,SOFT
BEA,2.0,111.767,MEDIUM
BEA,3.0,110.886,MEDIUM
BEA,5.0,109.724,MEDIUM
BEA,8.0,109.017,MEDIUM
BEA,10.0,108.511,MEDIUM
BEA,13.0,106.973,SOFT
BEA,17.0,112.152,MEDIUM
BEA,18.0,113.459,MEDIUM
BEA,19.0,115.012,MEDIUM
BEA,20.0,116.322,MEDIUM
BEA,21.0,116.737,MEDIUM
SAI,2.0,111.834,MEDIUM
SAI,3.0,110.038,MEDIUM
SAI,4.0,147.377,MEDIUM
SAI,5.0,108.368,MEDIUM
SAI,8.0,126.329,MEDIUM
SAI,10.0,107.748,MEDIUM
SAI,13.0,107.204,MEDIUM
SAI,16.0,106.173,SOFT
SAI,18.0,136.09,SOFT
SAI,19.0,106.189,SOFT
RUS,2.0,116.832,MEDIUM
RUS,3.0,110.503,MEDIUM
RUS,5.0,108.356,MEDIUM
RUS,8.0,129.536,MEDIUM
RUS,9.0,124.426,MEDIUM
RUS,10.0,107.48,MEDIUM
RUS,13.0,106.516,SOFT
RUS,16.0,106.835,SOFT
RUS,17.0,138.947,SOFT
BOT,2.0,111.092,MEDIUM
