Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-09-14 08:15:40,Other,TRACK TEST COMPLETED,,,,,,
2024-09-14 08:15:10,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 30 %,,,,,,
2024-09-14 08:19:07,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-09-14 08:29:22,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2024-09-14 08:29:29,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2024-09-14 08:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-09-14 08:44:28,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2024-09-14 08:44:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2024-09-14 08:44:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
2024-09-14 08:44:51,Flag,RED FLAG,,RED,Track,,,
2024-09-14 08:44:51,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2024-09-14 08:44:51,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2024-09-14 08:52:26,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-09-14 08:52:30,Other,SESSION WILL RESUME AT 12:54,,,,,,
2024-09-14 08:53:00,Drs,DRS ENABLED,ENABLED,,,,,
2024-09-14 08:54:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-09-14 09:02:09,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2024-09-14 09:02:10,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-09-14 09:02:43,Flag,RED FLAG,,RED,Track,,,
2024-09-14 09:02:44,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2024-09-14 09:06:42,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-09-14 09:06:44,Other,SESSION WILL RESUME AT 13:08,,,,,,
2024-09-14 09:07:00,Drs,DRS ENABLED,ENABLED,,,,,
2024-09-14 09:08:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-09-14 09:11:15,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2024-09-14 09:11:16,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-09-14 09:11:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2024-09-14 09:11:22,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-09-14 09:11:22,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2024-09-14 09:12:44,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2024-09-14 09:12:47,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2024-09-14 09:19:22,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2024-09-14 09:19:23,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-09-14 09:19:27,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-09-14 09:19:27,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2024-09-14 09:19:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2024-09-14 09:19:30,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-09-14 09:19:33,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-09-14 09:19:33,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2024-09-14 09:20:55,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2024-09-14 09:20:56,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-09-14 09:21:23,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2024-09-14 09:21:24,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2024-09-14 09:21:24,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-09-14 09:21:29,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,,
2024-09-14 09:21:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2024-09-14 09:21:30,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2024-09-14 09:21:30,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-09-14 09:21:33,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2024-09-14 09:21:33,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-09-14 09:25:52,Other,TURN 15 INCIDENT INVOLVING CARS 11 (PER) AND 55 (SAI) NOTED - IMPEDING,,,,,,
2024-09-14 09:28:38,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2024-09-14 09:28:39,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-09-14 09:28:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2024-09-14 09:29:01,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-09-14 09:29:01,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2024-09-14 09:29:25,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 11 (PER) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2024-09-14 09:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-09-14 09:30:24,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,,
