Driver,LapNumber,LapTime,Compound
VER,2.0,103.644,SOFT
VER,3.0,138.827,SOFT
VER,4.0,104.725,SOFT
VER,5.0,121.955,SOFT
VER,7.0,103.097,SOFT
VER,8.0,119.856,SOFT
VER,10.0,102.042,SOFT
VER,11.0,137.51,SOFT
VER,13.0,102.082,SOFT
VER,14.0,118.374,SOFT
VER,16.0,102.268,SOFT
VER,17.0,120.203,SOFT
VER,19.0,102.023,SOFT
RIC,2.0,104.881,SOFT
RIC,3.0,139.936,SOFT
RIC,4.0,104.965,SOFT
RIC,5.0,136.417,SOFT
RIC,7.0,103.547,SOFT
RIC,8.0,138.732,SOFT
RIC,9.0,111.003,SOFT
NOR,2.0,103.906,SOFT
NOR,3.0,141.32,SOFT
NOR,4.0,103.609,SOFT
NOR,5.0,132.153,SOFT
NOR,7.0,116.222,SOFT
GAS,2.0,105.012,SOFT
GAS,3.0,131.575,SOFT
GAS,5.0,104.1,SOFT
GAS,6.0,126.505,SOFT
GAS,8.0,103.088,SOFT
GAS,9.0,139.782,SOFT
GAS,11.0,103.64,SOFT
GAS,12.0,122.087,SOFT
GAS,14.0,103.179,SOFT
GAS,15.0,137.034,SOFT
PER,2.0,103.436,SOFT
PER,3.0,142.951,SOFT
PER,4.0,122.289,SOFT
PER,5.0,103.213,SOFT
PER,6.0,128.321,SOFT
PER,8.0,102.263,SOFT
PER,9.0,136.809,SOFT
PER,11.0,102.045,SOFT
PER,12.0,127.853,SOFT
PER,14.0,101.813,SOFT
ALO,2.0,121.4,SOFT
ALO,3.0,104.132,SOFT
ALO,4.0,128.289,SOFT
ALO,6.0,103.472,SOFT
ALO,7.0,147.62,SOFT
ALO,9.0,103.587,SOFT
ALO,10.0,131.82,SOFT
ALO,12.0,102.426,SOFT
ALO,13.0,140.16,SOFT
ALO,15.0,103.014,SOFT
ALO,16.0,124.196,SOFT
ALO,18.0,102.369,SOFT
LEC,2.0,103.595,SOFT
LEC,3.0,134.567,SOFT
LEC,4.0,129.422,SOFT
LEC,5.0,102.775,SOFT
LEC,6.0,140.352,SOFT
LEC,8.0,103.422,SOFT
LEC,9.0,122.98,SOFT
LEC,11.0,102.056,SOFT
LEC,12.0,127.633,SOFT
LEC,13.0,131.629,SOFT
LEC,14.0,129.139,SOFT
LEC,16.0,101.61,SOFT
LEC,17.0,126.855,SOFT
LEC,19.0,101.365,SOFT
STR,2.0,104.4,SOFT
STR,3.0,138.098,SOFT
STR,4.0,104.355,SOFT
STR,5.0,130.619,SOFT
STR,7.0,103.37,SOFT
STR,8.0,144.882,SOFT
STR,10.0,103.816,SOFT
STR,11.0,125.983,SOFT
STR,13.0,103.404,SOFT
STR,14.0,134.579,SOFT
TSU,2.0,104.531,SOFT
TSU,3.0,138.981,SOFT
TSU,4.0,104.313,SOFT
TSU,5.0,136.576,SOFT
TSU,7.0,103.337,SOFT
TSU,8.0,142.841,SOFT
TSU,9.0,103.771,SOFT
TSU,10.0,142.632,SOFT
TSU,12.0,103.777,SOFT
TSU,13.0,129.672,SOFT
TSU,15.0,103.035,SOFT
TSU,16.0,142.16,SOFT
ALB,2.0,104.207,SOFT
ALB,3.0,138.829,SOFT
ALB,4.0,103.956,SOFT
ALB,5.0,127.464,SOFT
ALB,7.0,102.899,SOFT
ALB,8.0,138.379,SOFT
ALB,10.0,103.233,SOFT
ALB,11.0,121.333,SOFT
ALB,13.0,102.84,SOFT
ALB,14.0,143.28,SOFT
ALB,16.0,102.859,SOFT
ALB,17.0,117.748,SOFT
ZHO,2.0,105.864,SOFT
ZHO,3.0,138.389,SOFT
ZHO,4.0,105.266,SOFT
ZHO,5.0,132.141,SOFT
ZHO,7.0,112.818,SOFT
ZHO,8.0,131.646,SOFT
ZHO,9.0,104.246,SOFT
ZHO,10.0,147.296,SOFT
HUL,2.0,105.473,SOFT
HUL,3.0,140.673,SOFT
HUL,4.0,104.083,SOFT
HUL,5.0,130.232,SOFT
HUL,7.0,103.101,SOFT
HUL,8.0,135.131,SOFT
HUL,10.0,103.479,SOFT
HUL,11.0,124.219,SOFT
HUL,13.0,103.191,SOFT
HUL,14.0,131.033,SOFT
OCO,2.0,105.665,SOFT
OCO,3.0,128.739,SOFT
OCO,4.0,139.676,SOFT
OCO,5.0,104.504,SOFT
OCO,6.0,130.482,SOFT
COL,2.0,104.204,SOFT
COL,3.0,136.108,SOFT
COL,4.0,103.545,SOFT
COL,5.0,127.844,SOFT
COL,7.0,103.138,SOFT
COL,8.0,137.772,SOFT
COL,10.0,103.572,SOFT
COL,11.0,120.91,SOFT
COL,13.0,102.473,SOFT
COL,14.0,128.752,SOFT
COL,16.0,102.89,SOFT
COL,17.0,120.546,SOFT
COL,19.0,102.53,SOFT
HAM,2.0,125.207,MEDIUM
HAM,3.0,104.341,MEDIUM
HAM,4.0,126.063,MEDIUM
HAM,5.0,137.757,SOFT
HAM,6.0,103.436,SOFT
HAM,7.0,139.299,SOFT
HAM,8.0,138.229,SOFT
HAM,9.0,103.089,SOFT
HAM,10.0,136.089,SOFT
HAM,12.0,103.37,SOFT
HAM,13.0,133.797,SOFT
HAM,15.0,102.765,SOFT
HAM,16.0,139.76,SOFT
HAM,18.0,102.499,SOFT
HAM,19.0,125.796,SOFT
HAM,21.0,102.289,SOFT
BEA,2.0,104.45,SOFT
BEA,3.0,139.183,SOFT
BEA,4.0,104.159,SOFT
BEA,5.0,121.101,SOFT
BEA,7.0,103.471,SOFT
BEA,8.0,130.198,SOFT
BEA,10.0,103.18,SOFT
BEA,11.0,120.775,SOFT
BEA,13.0,102.968,SOFT
BEA,14.0,131.707,SOFT
SAI,2.0,126.108,SOFT
SAI,3.0,103.517,SOFT
SAI,6.0,143.818,SOFT
SAI,7.0,132.752,SOFT
SAI,8.0,103.357,SOFT
SAI,9.0,145.699,SOFT
SAI,11.0,103.225,SOFT
SAI,12.0,125.71,SOFT
SAI,13.0,139.737,SOFT
SAI,14.0,102.503,SOFT
SAI,15.0,142.259,SOFT
SAI,16.0,146.482,SOFT
SAI,17.0,111.47,SOFT
SAI,19.0,101.815,SOFT
SAI,20.0,129.197,SOFT
SAI,22.0,101.805,SOFT
RUS,2.0,124.564,MEDIUM
RUS,3.0,104.548,MEDIUM
RUS,4.0,126.021,MEDIUM
RUS,5.0,136.115,SOFT
RUS,6.0,103.139,SOFT
RUS,7.0,145.979,SOFT
RUS,10.0,102.785,SOFT
RUS,11.0,120.557,SOFT
RUS,13.0,102.329,SOFT
RUS,14.0,135.882,SOFT
RUS,16.0,101.962,SOFT
RUS,17.0,128.996,SOFT
RUS,19.0,101.874,SOFT
BOT,2.0,104.876,SOFT
BOT,3.0,139.975,SOFT
BOT,4.0,120.629,SOFT
BOT,6.0,103.618,SOFT
BOT,7.0,144.663,SOFT
PIA,2.0,103.845,SOFT
PIA,3.0,140.534,SOFT
PIA,4.0,103.623,SOFT
PIA,5.0,140.488,SOFT
PIA,7.0,103.033,SOFT
PIA,8.0,133.727,SOFT
PIA,10.0,102.598,SOFT
PIA,11.0,136.079,SOFT
PIA,13.0,131.026,SOFT
PIA,15.0,101.827,SOFT
PIA,16.0,129.967,SOFT
PIA,18.0,101.686,SOFT
