Driver,LapNumber,LapTime,Compound
VER,2.0,96.65,MEDIUM
VER,4.0,94.417,MEDIUM
VER,6.0,144.746,MEDIUM
VER,7.0,116.478,MEDIUM
VER,9.0,92.381,SOFT
VER,12.0,92.097,SOFT
VER,13.0,109.673,SOFT
VER,15.0,97.697,MEDIUM
VER,16.0,105.446,MEDIUM
VER,17.0,97.615,MEDIUM
VER,18.0,97.993,MEDIUM
VER,19.0,99.359,MEDIUM
VER,20.0,98.129,MEDIUM
VER,21.0,144.898,MEDIUM
RIC,2.0,111.721,HARD
RIC,4.0,95.805,HARD
RIC,5.0,94.775,HARD
RIC,7.0,93.576,HARD
RIC,9.0,108.978,HARD
RIC,11.0,92.375,SOFT
RIC,13.0,132.18,SOFT
RIC,14.0,102.383,SOFT
RIC,16.0,98.15,SOFT
RIC,17.0,98.379,SOFT
RIC,18.0,98.268,SOFT
RIC,19.0,97.689,SOFT
RIC,20.0,142.467,SOFT
NOR,2.0,95.522,MEDIUM
NOR,4.0,93.903,MEDIUM
NOR,6.0,93.199,MEDIUM
NOR,7.0,124.308,MEDIUM
NOR,9.0,92.165,SOFT
NOR,12.0,91.839,SOFT
NOR,13.0,116.478,SOFT
NOR,15.0,98.758,MEDIUM
NOR,16.0,104.583,MEDIUM
NOR,17.0,97.532,MEDIUM
NOR,18.0,97.214,MEDIUM
NOR,19.0,97.694,MEDIUM
NOR,20.0,98.033,MEDIUM
NOR,21.0,97.824,MEDIUM
NOR,22.0,97.028,MEDIUM
NOR,23.0,102.881,MEDIUM
NOR,24.0,128.448,MEDIUM
NOR,25.0,142.828,MEDIUM
GAS,2.0,97.27,HARD
GAS,4.0,95.934,HARD
GAS,6.0,95.026,HARD
GAS,8.0,94.486,HARD
GAS,10.0,95.302,HARD
GAS,11.0,132.839,HARD
GAS,13.0,92.873,SOFT
GAS,16.0,121.191,SOFT
GAS,17.0,92.694,SOFT
GAS,19.0,93.299,SOFT
GAS,20.0,97.312,SOFT
GAS,21.0,98.443,SOFT
GAS,22.0,97.606,SOFT
GAS,23.0,98.273,SOFT
GAS,24.0,97.962,SOFT
GAS,25.0,98.148,SOFT
GAS,26.0,144.543,SOFT
GAS,27.0,146.262,SOFT
PER,2.0,98.347,MEDIUM
PER,4.0,95.59,MEDIUM
PER,5.0,144.928,MEDIUM
PER,6.0,145.22,MEDIUM
PER,7.0,113.096,MEDIUM
PER,8.0,122.511,MEDIUM
PER,10.0,92.767,SOFT
PER,11.0,144.821,SOFT
PER,13.0,130.815,SOFT
PER,14.0,105.685,SOFT
PER,16.0,98.177,SOFT
PER,17.0,98.688,SOFT
PER,18.0,99.85,SOFT
PER,19.0,99.296,SOFT
PER,20.0,102.342,SOFT
PER,21.0,141.052,SOFT
PER,22.0,148.418,SOFT
ALO,2.0,100.366,HARD
ALO,3.0,96.506,HARD
ALO,4.0,128.099,HARD
ALO,5.0,95.352,HARD
ALO,7.0,94.552,HARD
ALO,9.0,94.092,HARD
ALO,10.0,117.104,HARD
ALO,12.0,93.006,SOFT
ALO,15.0,130.753,SOFT
ALO,16.0,92.61,SOFT
ALO,17.0,112.385,SOFT
ALO,19.0,98.809,HARD
ALO,20.0,109.073,HARD
ALO,21.0,98.414,HARD
ALO,22.0,98.472,HARD
ALO,23.0,98.629,HARD
ALO,24.0,98.494,HARD
ALO,25.0,131.818,HARD
ALO,26.0,143.3,HARD
