Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-09-21 09:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-09-21 09:32:33,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16,,,,,,
2024-09-21 09:35:03,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2024-09-21 09:36:42,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16,,,,,,
2024-09-21 09:38:51,Flag,RED FLAG,,RED,Track,,,
2024-09-21 09:38:51,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2024-09-21 09:41:34,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-09-21 09:41:36,Other,SESSION WILL RESUME AT 17:42,,,,,,
2024-09-21 09:41:41,Drs,DRS ENABLED,ENABLED,,,,,
2024-09-21 09:42:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-09-21 10:18:13,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2024-09-21 10:18:14,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-09-21 10:18:22,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2024-09-21 10:18:22,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-09-21 10:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-09-21 10:30:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-09-21 10:33:57,Other,INCIDENT INVOLVING CARS 11 (PER) AND 4 (NOR) NOTED - IMPEDING,,,,,,
2024-09-21 10:37:40,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 11 (PER) AND 4 (NOR) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
