Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-10-18 17:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-18 17:40:53,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2024-10-18 17:40:54,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-10-18 17:41:03,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-10-18 17:41:03,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2024-10-18 17:47:01,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2024-10-18 17:47:02,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-10-18 17:47:04,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-10-18 17:47:04,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2024-10-18 17:47:07,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2024-10-18 17:47:19,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2024-10-18 18:23:54,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2024-10-18 18:23:56,Other,PIT LANE ENTRY CLOSED,,,,,,
2024-10-18 18:24:11,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,
2024-10-18 18:24:13,Other,PIT LANE ENTRY OPEN,,,,,,
2024-10-18 18:24:25,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-10-18 18:24:26,Drs,DRS ENABLED,ENABLED,,,,,
2024-10-18 18:27:46,Flag,BLACK AND WHITE FLAG FOR CAR 81 (PIA) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – KEEPING TO CORRECT SIDE OF THE BOLLARD AT PIT ENTRY,,BLACK AND WHITE,Driver,,81,
2024-10-18 18:29:08,Other,TURN 9 INCIDENT INVOLVING CARS 18 (STR) AND 31 (OCO) NOTED - VIRTUAL SAFETY CAR INFRINGEMENT,,,,,,
2024-10-18 18:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-10-18 18:30:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,,
2024-10-18 18:32:16,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2024-10-18 18:32:17,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-10-18 18:32:24,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2024-10-18 18:32:24,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-10-18 18:34:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2024-10-18 18:34:11,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2024-10-18 18:34:12,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2024-10-18 18:34:13,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2024-10-18 18:34:14,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-10-18 18:34:15,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2024-10-18 18:34:15,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-10-18 18:34:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2024-10-18 18:34:21,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2024-10-18 18:34:24,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
