Driver,LapNumber,LapTime,Compound
SAI,2.0,94.104,SOFT
SAI,3.0,119.226,SOFT
SAI,5.0,93.556,SOFT
SAI,6.0,131.357,SOFT
SAI,7.0,145.419,SOFT
SAI,8.0,105.581,SOFT
SAI,10.0,93.433,SOFT
SAI,11.0,129.249,SOFT
SAI,13.0,92.836,SOFT
SAI,14.0,128.841,SOFT
SAI,16.0,92.652,SOFT
SAI,17.0,120.196,SOFT
SAI,19.0,100.175,SOFT
LEC,2.0,94.913,SOFT
LEC,3.0,110.299,SOFT
LEC,5.0,93.241,SOFT
LEC,6.0,130.546,SOFT
LEC,7.0,146.603,SOFT
LEC,8.0,93.696,SOFT
LEC,9.0,127.153,SOFT
LEC,11.0,94.046,SOFT
LEC,12.0,116.366,SOFT
LEC,14.0,92.962,SOFT
LEC,15.0,123.216,SOFT
LEC,17.0,92.74,SOFT
LEC,18.0,113.955,SOFT
LEC,20.0,104.8,SOFT
VER,2.0,93.69,SOFT
VER,3.0,113.762,SOFT
VER,5.0,93.046,SOFT
VER,6.0,127.654,SOFT
VER,8.0,93.052,SOFT
VER,9.0,106.674,SOFT
VER,11.0,92.584,SOFT
VER,12.0,128.475,SOFT
VER,14.0,92.361,SOFT
VER,15.0,108.928,SOFT
VER,17.0,108.46,SOFT
NOR,2.0,94.029,SOFT
NOR,3.0,117.234,SOFT
NOR,5.0,93.616,SOFT
NOR,6.0,127.18,SOFT
NOR,7.0,142.963,SOFT
NOR,8.0,98.948,SOFT
NOR,10.0,92.851,SOFT
NOR,11.0,115.909,SOFT
NOR,13.0,92.33,SOFT
NOR,14.0,119.008,SOFT
NOR,16.0,105.15,SOFT
PIA,2.0,94.243,SOFT
PIA,3.0,110.912,SOFT
PIA,5.0,93.982,SOFT
PIA,6.0,128.467,SOFT
PIA,7.0,147.21,SOFT
PIA,8.0,93.864,SOFT
PIA,9.0,120.447,SOFT
PIA,11.0,93.057,SOFT
PIA,12.0,122.469,SOFT
PIA,14.0,105.144,SOFT
PIA,16.0,92.95,SOFT
PIA,17.0,119.134,SOFT
PIA,19.0,114.628,SOFT
HAM,2.0,95.178,SOFT
HAM,3.0,112.624,SOFT
HAM,5.0,94.154,SOFT
HAM,6.0,148.645,SOFT
RUS,2.0,94.268,SOFT
RUS,3.0,112.723,SOFT
RUS,5.0,93.536,SOFT
RUS,6.0,143.186,SOFT
RUS,8.0,93.142,SOFT
RUS,9.0,125.839,SOFT
RUS,12.0,92.974,SOFT
RUS,13.0,122.27,SOFT
MAG,2.0,94.151,SOFT
MAG,3.0,117.083,SOFT
MAG,5.0,93.564,SOFT
MAG,6.0,113.328,SOFT
MAG,8.0,93.606,SOFT
MAG,9.0,117.707,SOFT
MAG,11.0,93.474,SOFT
MAG,12.0,117.449,SOFT
MAG,14.0,93.481,SOFT
MAG,15.0,110.606,SOFT
MAG,17.0,98.954,SOFT
ALO,2.0,94.496,SOFT
ALO,3.0,106.292,SOFT
ALO,5.0,94.194,SOFT
ALO,6.0,108.488,SOFT
ALO,8.0,93.973,SOFT
ALO,9.0,124.227,SOFT
ALO,11.0,93.731,SOFT
ALO,12.0,112.317,SOFT
ALO,14.0,93.429,SOFT
ALO,15.0,128.161,SOFT
ALO,17.0,93.309,SOFT
ALO,18.0,123.13,SOFT
TSU,2.0,97.573,SOFT
TSU,4.0,93.974,SOFT
TSU,5.0,113.327,SOFT
TSU,7.0,93.795,SOFT
TSU,8.0,120.647,SOFT
TSU,10.0,93.654,SOFT
TSU,11.0,117.005,SOFT
TSU,13.0,93.506,SOFT
TSU,14.0,125.249,SOFT
HUL,2.0,93.87,SOFT
HUL,3.0,120.914,SOFT
HUL,5.0,93.601,SOFT
HUL,6.0,123.885,SOFT
HUL,8.0,93.544,SOFT
HUL,9.0,124.322,SOFT
HUL,11.0,93.652,SOFT
HUL,12.0,120.753,SOFT
GAS,2.0,95.95,SOFT
GAS,3.0,107.345,SOFT
GAS,5.0,93.55,SOFT
GAS,6.0,120.04,SOFT
GAS,8.0,94.005,SOFT
GAS,9.0,126.445,SOFT
GAS,11.0,93.429,SOFT
GAS,12.0,127.606,SOFT
GAS,14.0,93.162,SOFT
GAS,15.0,128.941,SOFT
GAS,17.0,93.018,SOFT
GAS,18.0,117.287,SOFT
GAS,20.0,106.674,SOFT
LAW,2.0,98.989,SOFT
LAW,4.0,93.909,SOFT
LAW,5.0,114.914,SOFT
LAW,7.0,93.339,SOFT
LAW,8.0,127.24,SOFT
ALB,2.0,102.594,SOFT
ALB,4.0,94.102,SOFT
ALB,5.0,120.302,SOFT
ALB,7.0,94.051,SOFT
ALB,8.0,143.141,SOFT
STR,2.0,103.847,SOFT
STR,4.0,94.114,SOFT
STR,5.0,106.304,SOFT
STR,7.0,94.033,SOFT
STR,8.0,118.516,SOFT
STR,10.0,93.759,SOFT
STR,11.0,114.439,SOFT
STR,13.0,93.895,SOFT
STR,14.0,128.247,SOFT
PER,2.0,94.029,SOFT
PER,3.0,125.002,SOFT
PER,5.0,93.611,SOFT
PER,6.0,123.641,SOFT
PER,8.0,93.487,SOFT
PER,9.0,125.246,SOFT
PER,11.0,93.02,SOFT
PER,12.0,125.641,SOFT
PER,14.0,93.26,SOFT
PER,15.0,110.737,SOFT
OCO,2.0,94.971,SOFT
OCO,3.0,107.952,SOFT
OCO,5.0,93.986,SOFT
OCO,6.0,113.163,SOFT
OCO,8.0,94.032,SOFT
OCO,9.0,128.746,SOFT
OCO,11.0,93.686,SOFT
OCO,12.0,119.575,SOFT
OCO,14.0,93.597,SOFT
OCO,15.0,117.754,SOFT
BOT,2.0,94.714,SOFT
BOT,3.0,113.505,SOFT
BOT,5.0,94.258,SOFT
BOT,6.0,119.637,SOFT
BOT,8.0,94.152,SOFT
BOT,9.0,128.04,SOFT
COL,3.0,94.062,SOFT
COL,4.0,119.785,SOFT
COL,6.0,135.289,SOFT
ZHO,2.0,95.479,SOFT
ZHO,3.0,114.567,SOFT
ZHO,4.0,148.483,SOFT
ZHO,5.0,95.112,SOFT
ZHO,6.0,112.613,SOFT
ZHO,8.0,94.228,SOFT
ZHO,9.0,129.591,SOFT
