Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-10-19 22:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-19 22:04:59,Other,CAR 10 (GAS) TIME 1:35.950 DELETED - TRACK LIMITS AT TURN 12 LAP 3 17:03:24,,,,,,
2024-10-19 22:05:06,Other,CAR 22 (TSU) LAP DELETED - TRACK LIMITS AT TURN 12 LAP 3 17:03:53,,,,,,
2024-10-19 22:05:09,Other,CAR 16 (LEC) TIME 1:34.913 DELETED - TRACK LIMITS AT TURN 9 LAP 3 17:03:56,,,,,,
2024-10-19 22:09:51,Other,CAR 24 (ZHO) TIME 1:35.112 DELETED - TRACK LIMITS AT TURN 12 LAP 6 17:09:13,,,,,,
2024-10-19 22:10:21,Other,CAR 22 (TSU) TIME 1:33.974 DELETED - TRACK LIMITS AT TURN 12 LAP 5 17:09:43,,,,,,
2024-10-19 22:12:35,Other,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 12 LAP 4 17:10:47,,,,,,
2024-10-19 22:13:36,Other,TURN 14 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) NOTED - IMPEDING,,,,,,
2024-10-19 22:16:26,Other,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2024-10-19 22:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-10-19 22:18:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),,,,,,
2024-10-19 22:19:51,Other,CORRECTION: FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-10-19 22:19:53,Other,CAR 31 (OCO) TIME 1:34.032 DELETED - TRACK LIMITS AT TURN 9 LAP 9 17:16:04,,,,,,
2024-10-19 22:20:08,Other,CAR 10 (GAS) TIME 1:34.005 DELETED - TRACK LIMITS AT TURN 19 LAP 9 17:18:50,,,,,,
2024-10-19 22:22:08,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR), 55 (SAI), 27 (HUL), 81 (PIA), 10 (GAS), 4 (NOR), 77 (BOT), 43 (COL), 63 (RUS), 44 (HAM), 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-10-19 22:23:22,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR), 55 (SAI), 27 (HUL), 81 (PIA), 10 (GAS), 4 (NOR), 77 (BOT), 43 (COL), 63 (RUS), 44 (HAM), 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-10-19 22:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-19 22:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-10-19 22:40:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,,
2024-10-19 22:43:30,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 18 (STR), 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-10-19 22:44:35,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 18 (STR), 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-10-19 22:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-19 22:53:52,Other,CAR 11 (PER) TIME 1:33.260 DELETED - TRACK LIMITS AT TURN 9 LAP 15 17:52:11,,,,,,
2024-10-19 22:57:50,Other,PIT LANE INCIDENT INVOLVING CAR 10 (GAS) NOTED - UNSAFE RELEASE,,,,,,
2024-10-19 22:59:20,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 10 (GAS) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE,,,,,,
2024-10-19 22:59:57,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2024-10-19 23:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-10-19 23:00:08,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2024-10-19 23:00:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2024-10-19 23:00:19,Other,MEDICAL CAR DEPLOYED,,,,,,
2024-10-19 23:03:12,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR), 55 (SAI), 27 (HUL), 81 (PIA), 10 (GAS), 4 (NOR), 77 (BOT), 43 (COL), 63 (RUS), 44 (HAM), 23 (ALB) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-10-19 23:03:33,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 18 (STR), 63 (RUS) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-10-19 23:08:47,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2024-10-19 23:08:47,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
