Driver,LapNumber,LapTime,Compound
VER,2.0,99.991,MEDIUM
VER,3.0,122.849,MEDIUM
VER,6.0,99.779,MEDIUM
VER,7.0,99.731,MEDIUM
VER,8.0,100.082,MEDIUM
VER,9.0,100.032,MEDIUM
VER,10.0,99.97,MEDIUM
VER,11.0,100.246,MEDIUM
VER,12.0,100.182,MEDIUM
VER,13.0,99.936,MEDIUM
VER,14.0,99.846,MEDIUM
VER,15.0,100.192,MEDIUM
VER,16.0,100.033,MEDIUM
VER,17.0,100.16,MEDIUM
VER,18.0,99.921,MEDIUM
VER,19.0,99.981,MEDIUM
VER,20.0,99.986,MEDIUM
VER,21.0,99.803,MEDIUM
VER,22.0,100.099,MEDIUM
VER,23.0,100.42,MEDIUM
VER,24.0,100.318,MEDIUM
VER,25.0,100.718,MEDIUM
VER,26.0,119.619,HARD
VER,27.0,99.046,HARD
VER,28.0,98.784,HARD
VER,29.0,99.067,HARD
VER,30.0,98.75,HARD
VER,31.0,99.058,HARD
VER,32.0,99.106,HARD
VER,33.0,98.827,HARD
VER,34.0,99.063,HARD
VER,35.0,99.004,HARD
VER,36.0,98.715,HARD
VER,37.0,98.963,HARD
VER,38.0,98.641,HARD
VER,39.0,98.358,HARD
VER,40.0,98.624,HARD
VER,41.0,98.463,HARD
VER,42.0,98.117,HARD
VER,43.0,98.526,HARD
VER,44.0,98.453,HARD
VER,45.0,98.269,HARD
VER,46.0,98.255,HARD
VER,47.0,99.191,HARD
VER,48.0,98.572,HARD
VER,49.0,98.598,HARD
VER,50.0,98.692,HARD
VER,51.0,99.105,HARD
VER,52.0,100.819,HARD
VER,53.0,99.384,HARD
VER,54.0,98.661,HARD
VER,55.0,98.252,HARD
VER,56.0,99.018,HARD
GAS,2.0,102.067,MEDIUM
GAS,3.0,128.872,MEDIUM
GAS,4.0,149.84,MEDIUM
GAS,6.0,102.096,MEDIUM
GAS,7.0,101.487,MEDIUM
GAS,8.0,101.037,MEDIUM
GAS,9.0,100.712,MEDIUM
GAS,10.0,100.571,MEDIUM
