Driver,LapNumber,LapTime,Compound
VER,2.0,98.688,MEDIUM
VER,3.0,97.906,MEDIUM
VER,4.0,98.15,MEDIUM
VER,5.0,98.426,MEDIUM
VER,6.0,98.287,MEDIUM
VER,7.0,98.391,MEDIUM
VER,8.0,98.712,MEDIUM
VER,9.0,98.219,MEDIUM
VER,10.0,98.189,MEDIUM
VER,11.0,97.917,MEDIUM
VER,12.0,98.043,MEDIUM
VER,13.0,98.375,MEDIUM
VER,14.0,98.357,MEDIUM
VER,15.0,98.168,MEDIUM
VER,16.0,98.167,MEDIUM
VER,17.0,97.831,MEDIUM
VER,18.0,98.048,MEDIUM
VER,19.0,97.463,MEDIUM
SAI,2.0,98.506,MEDIUM
SAI,3.0,98.3,MEDIUM
SAI,4.0,98.825,MEDIUM
SAI,5.0,98.329,MEDIUM
SAI,6.0,98.292,MEDIUM
SAI,7.0,98.41,MEDIUM
SAI,8.0,98.748,MEDIUM
SAI,9.0,98.112,MEDIUM
SAI,10.0,98.31,MEDIUM
SAI,11.0,98.02,MEDIUM
SAI,12.0,98.097,MEDIUM
SAI,13.0,98.102,MEDIUM
SAI,14.0,98.177,MEDIUM
SAI,15.0,98.297,MEDIUM
SAI,16.0,98.329,MEDIUM
SAI,17.0,97.79,MEDIUM
SAI,18.0,98.048,MEDIUM
SAI,19.0,97.552,MEDIUM
NOR,2.0,98.583,MEDIUM
NOR,3.0,98.048,MEDIUM
NOR,4.0,98.44,MEDIUM
NOR,5.0,98.576,MEDIUM
NOR,6.0,99.015,MEDIUM
NOR,7.0,98.154,MEDIUM
NOR,8.0,98.356,MEDIUM
NOR,9.0,98.119,MEDIUM
NOR,10.0,98.282,MEDIUM
NOR,11.0,98.449,MEDIUM
NOR,12.0,98.335,MEDIUM
NOR,13.0,98.315,MEDIUM
NOR,14.0,98.348,MEDIUM
NOR,15.0,98.187,MEDIUM
NOR,16.0,98.533,MEDIUM
NOR,17.0,98.045,MEDIUM
NOR,18.0,98.43,MEDIUM
NOR,19.0,100.406,MEDIUM
LEC,2.0,98.655,MEDIUM
LEC,3.0,98.034,MEDIUM
LEC,4.0,98.66,MEDIUM
LEC,5.0,99.7,MEDIUM
LEC,6.0,98.216,MEDIUM
LEC,7.0,98.418,MEDIUM
LEC,8.0,98.583,MEDIUM
LEC,9.0,98.809,MEDIUM
LEC,10.0,98.447,MEDIUM
LEC,11.0,97.748,MEDIUM
LEC,12.0,97.835,MEDIUM
LEC,13.0,97.995,MEDIUM
