Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-10-26 17:15:44,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-10-26 17:17:18,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,
2024-10-26 17:15:06,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0 %,,,,,,
2024-10-26 17:15:44,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-10-26 17:17:18,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,
2024-10-26 17:19:01,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-10-26 17:21:24,Other,TRACK TEST COMPLETED,,,,,,
2024-10-26 17:22:02,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-10-26 17:24:54,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2024-10-26 17:24:57,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2024-10-26 17:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-26 17:39:06,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,,,
2024-10-26 17:39:10,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2024-10-26 18:01:36,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,,,
2024-10-26 18:01:38,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2024-10-26 18:27:35,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2024-10-26 18:27:36,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-10-26 18:27:38,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-10-26 18:27:38,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2024-10-26 18:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-10-26 18:30:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
