Driver,LapNumber,LapTime,Compound
PIA,2.0,78.302,MEDIUM
PIA,3.0,97.294,MEDIUM
PIA,5.0,77.631,SOFT
PIA,6.0,100.519,SOFT
PIA,7.0,77.597,SOFT
PIA,8.0,98.414,SOFT
NOR,2.0,77.203,MEDIUM
NOR,3.0,108.041,MEDIUM
NOR,5.0,76.505,SOFT
NOR,6.0,99.304,SOFT
NOR,8.0,76.301,SOFT
NOR,9.0,96.388,SOFT
NOR,11.0,76.937,SOFT
NOR,12.0,94.29,SOFT
NOR,14.0,76.26,SOFT
NOR,15.0,101.095,SOFT
SAI,2.0,77.444,MEDIUM
SAI,3.0,111.421,MEDIUM
SAI,4.0,126.891,MEDIUM
SAI,5.0,77.241,MEDIUM
SAI,6.0,102.568,MEDIUM
SAI,8.0,76.778,SOFT
SAI,9.0,104.562,SOFT
SAI,11.0,77.027,SOFT
SAI,12.0,100.144,SOFT
SAI,14.0,76.515,SOFT
SAI,17.0,76.055,SOFT
SAI,18.0,94.206,SOFT
SAI,20.0,75.946,SOFT
SAI,21.0,107.548,SOFT
VER,2.0,76.998,SOFT
VER,3.0,105.265,SOFT
VER,5.0,76.803,SOFT
VER,6.0,100.519,SOFT
VER,8.0,76.629,SOFT
VER,9.0,102.827,SOFT
VER,11.0,76.514,SOFT
VER,12.0,97.71,SOFT
VER,14.0,76.368,SOFT
VER,15.0,96.128,SOFT
VER,17.0,76.171,SOFT
VER,18.0,104.33,SOFT
HAM,2.0,77.848,MEDIUM
HAM,3.0,102.114,MEDIUM
HAM,5.0,77.306,MEDIUM
HAM,6.0,100.459,MEDIUM
HAM,8.0,95.227,SOFT
HAM,10.0,76.973,SOFT
HAM,11.0,102.731,SOFT
HAM,15.0,76.651,SOFT
HAM,16.0,99.967,SOFT
HAM,18.0,76.712,SOFT
LEC,2.0,77.887,MEDIUM
LEC,3.0,108.948,MEDIUM
LEC,4.0,130.252,MEDIUM
LEC,5.0,77.688,MEDIUM
LEC,6.0,93.632,MEDIUM
LEC,8.0,76.972,SOFT
LEC,9.0,110.652,SOFT
LEC,11.0,77.631,SOFT
LEC,12.0,90.552,SOFT
LEC,14.0,76.641,SOFT
LEC,15.0,96.94,SOFT
LEC,17.0,76.415,SOFT
LEC,18.0,93.78,SOFT
LEC,20.0,76.265,SOFT
TSU,2.0,77.239,SOFT
TSU,3.0,101.21,SOFT
TSU,5.0,77.182,SOFT
TSU,6.0,111.644,SOFT
TSU,8.0,77.129,SOFT
TSU,9.0,102.881,SOFT
RUS,2.0,77.9,MEDIUM
RUS,3.0,95.942,MEDIUM
RUS,5.0,77.194,MEDIUM
RUS,6.0,110.526,MEDIUM
RUS,8.0,97.356,SOFT
RUS,10.0,76.937,SOFT
RUS,11.0,104.036,SOFT
RUS,15.0,76.509,SOFT
RUS,16.0,98.985,SOFT
RUS,18.0,76.356,SOFT
MAG,2.0,77.693,SOFT
MAG,3.0,92.181,SOFT
MAG,5.0,77.125,SOFT
MAG,6.0,109.868,SOFT
MAG,8.0,77.181,SOFT
MAG,9.0,100.748,SOFT
MAG,11.0,77.003,SOFT
MAG,14.0,78.104,SOFT
MAG,15.0,110.856,SOFT
MAG,17.0,76.886,SOFT
LAW,2.0,77.512,SOFT
LAW,3.0,91.762,SOFT
LAW,5.0,77.38,SOFT
LAW,6.0,110.142,SOFT
LAW,8.0,77.162,SOFT
LAW,9.0,94.342,SOFT
ALB,2.0,77.563,SOFT
ALB,3.0,96.21,SOFT
ALB,5.0,77.189,SOFT
ALB,6.0,104.496,SOFT
ALB,8.0,77.09,SOFT
ALB,9.0,92.707,SOFT
ALB,11.0,76.988,SOFT
ALB,12.0,96.094,SOFT
ALB,14.0,77.338,SOFT
ALB,15.0,92.121,SOFT
ALB,17.0,77.065,SOFT
BOT,2.0,78.507,SOFT
BOT,3.0,95.164,SOFT
BOT,5.0,77.65,SOFT
BOT,6.0,94.14,SOFT
BOT,8.0,77.393,SOFT
BOT,9.0,100.5,SOFT
BOT,11.0,77.817,SOFT
BOT,12.0,100.76,SOFT
COL,2.0,77.834,SOFT
COL,3.0,97.366,SOFT
COL,5.0,77.558,SOFT
COL,6.0,98.133,SOFT
PER,2.0,78.53,SOFT
PER,3.0,102.117,SOFT
PER,4.0,101.859,SOFT
PER,5.0,78.538,SOFT
PER,6.0,96.416,SOFT
