Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-10-26 20:45:13,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 10 %,,,,,,
2024-10-26 20:46:44,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-10-26 21:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-26 21:11:09,Other,CAR 44 (HAM) TIME 3:37.864 DELETED - TRACK LIMITS AT TURN 1 LAP 5 15:09:46,,,,,,
2024-10-26 21:13:34,Other,CAR 81 (PIA) TIME 1:17.631 DELETED - TRACK LIMITS AT TURN 12 LAP 6 15:13:09,,,,,,
2024-10-26 21:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-10-26 21:18:23,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,,
2024-10-26 21:20:45,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR) AND 14 (ALO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-10-26 21:21:15,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR) AND 14 (ALO) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-10-26 21:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-26 21:29:33,Other,CAR 16 (LEC) TIME 1:17.631 DELETED - TRACK LIMITS AT TURN 2 LAP 12 15:28:04,,,,,,
2024-10-26 21:39:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2024-10-26 21:39:47,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-10-26 21:39:50,Flag,RED FLAG,,RED,Track,,,
2024-10-26 21:39:50,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2024-10-26 21:40:19,Other,Q2 WILL NOT BE RESUMED,,,,,,
2024-10-26 21:42:29,Other,START OF Q3 WILL BE DELAYED,,,,,,
2024-10-26 21:49:08,Other,Q3 WILL START AT 15:53,,,,,,
2024-10-26 21:49:30,Flag,TRACK CLEAR,,CLEAR,Track,,,
2024-10-26 21:50:00,Drs,DRS ENABLED,ENABLED,,,,,
2024-10-26 21:53:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-10-26 21:57:39,Other,CAR 1 (VER) TIME 1:16.368 DELETED - TRACK LIMITS AT TURN 2 LAP 15 15:55:36,,,,,,
2024-10-26 22:05:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-10-26 22:05:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
2024-10-26 22:08:40,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR) AND 14 (ALO) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
