Driver,LapNumber,LapTime,Compound
VER,2.0,73.815,MEDIUM
VER,3.0,120.24,MEDIUM
VER,4.0,72.749,MEDIUM
VER,5.0,121.505,MEDIUM
VER,6.0,130.049,MEDIUM
VER,7.0,90.512,MEDIUM
VER,8.0,71.712,MEDIUM
VER,9.0,95.885,MEDIUM
VER,11.0,75.806,MEDIUM
VER,12.0,75.774,MEDIUM
VER,13.0,75.825,MEDIUM
VER,14.0,75.803,MEDIUM
VER,15.0,75.924,MEDIUM
VER,16.0,75.965,MEDIUM
VER,17.0,76.072,MEDIUM
VER,18.0,75.509,MEDIUM
VER,19.0,75.158,MEDIUM
VER,20.0,75.749,MEDIUM
VER,21.0,74.877,MEDIUM
VER,22.0,74.533,MEDIUM
VER,23.0,74.43,MEDIUM
VER,24.0,74.635,MEDIUM
VER,25.0,79.438,MEDIUM
VER,27.0,78.221,SOFT
VER,28.0,135.277,MEDIUM
VER,29.0,102.482,MEDIUM
VER,30.0,112.083,MEDIUM
NOR,2.0,74.537,MEDIUM
NOR,3.0,110.875,MEDIUM
NOR,4.0,72.641,MEDIUM
NOR,5.0,105.959,MEDIUM
NOR,6.0,72.752,MEDIUM
NOR,7.0,113.495,MEDIUM
NOR,8.0,82.524,MEDIUM
NOR,10.0,88.58,MEDIUM
NOR,11.0,81.92,MEDIUM
NOR,12.0,116.571,MEDIUM
NOR,13.0,115.589,MEDIUM
NOR,14.0,80.064,MEDIUM
NOR,15.0,73.995,MEDIUM
NOR,16.0,73.997,MEDIUM
NOR,17.0,74.456,MEDIUM
NOR,18.0,82.628,MEDIUM
NOR,19.0,100.179,MEDIUM
NOR,20.0,74.749,MEDIUM
NOR,21.0,78.161,MEDIUM
NOR,22.0,81.515,MEDIUM
NOR,24.0,70.831,SOFT
NOR,25.0,120.54,SOFT
NOR,26.0,141.83,SOFT
NOR,27.0,70.61,SOFT
NOR,28.0,110.012,SOFT
NOR,29.0,116.333,SOFT
GAS,2.0,98.706,MEDIUM
GAS,3.0,73.496,MEDIUM
GAS,4.0,133.051,MEDIUM
GAS,5.0,117.582,MEDIUM
GAS,6.0,101.788,MEDIUM
GAS,7.0,83.621,MEDIUM
GAS,9.0,103.095,MEDIUM
GAS,10.0,72.487,MEDIUM
GAS,11.0,114.505,MEDIUM
GAS,12.0,100.504,MEDIUM
GAS,13.0,72.05,MEDIUM
GAS,14.0,77.63,MEDIUM
GAS,15.0,73.886,MEDIUM
GAS,16.0,74.174,MEDIUM
GAS,17.0,73.853,MEDIUM
GAS,18.0,73.476,MEDIUM
GAS,19.0,73.565,MEDIUM
GAS,20.0,86.391,MEDIUM
GAS,22.0,71.367,SOFT
GAS,23.0,128.742,SOFT
GAS,24.0,139.721,SOFT
GAS,25.0,71.216,SOFT
GAS,26.0,115.494,SOFT
GAS,27.0,113.891,SOFT
PER,2.0,73.545,MEDIUM
PER,3.0,107.104,MEDIUM
PER,4.0,122.71,MEDIUM
PER,5.0,72.099,MEDIUM
PER,6.0,112.523,MEDIUM
PER,7.0,140.629,MEDIUM
PER,8.0,77.413,MEDIUM
PER,9.0,115.147,MEDIUM
PER,10.0,119.523,MEDIUM
PER,11.0,79.223,MEDIUM
PER,13.0,75.11,MEDIUM
PER,14.0,75.3,MEDIUM
PER,15.0,75.646,MEDIUM
PER,16.0,75.789,MEDIUM
PER,17.0,75.198,MEDIUM
PER,18.0,75.568,MEDIUM
PER,19.0,78.669,MEDIUM
PER,20.0,75.016,MEDIUM
PER,21.0,74.994,MEDIUM
PER,22.0,84.478,MEDIUM
PER,24.0,71.845,SOFT
PER,25.0,117.629,SOFT
PER,26.0,133.873,MEDIUM
PER,27.0,133.945,MEDIUM
PER,28.0,90.324,MEDIUM
ALO,2.0,117.79,MEDIUM
ALO,3.0,73.926,MEDIUM
ALO,4.0,105.09,MEDIUM
ALO,5.0,125.217,MEDIUM
ALO,6.0,72.34,MEDIUM
ALO,7.0,123.987,MEDIUM
ALO,8.0,85.363,MEDIUM
ALO,10.0,71.984,MEDIUM
ALO,11.0,119.841,MEDIUM
ALO,12.0,111.444,MEDIUM
ALO,13.0,72.131,MEDIUM
ALO,14.0,92.892,MEDIUM
ALO,15.0,74.666,MEDIUM
ALO,16.0,74.661,MEDIUM
ALO,17.0,74.357,MEDIUM
ALO,18.0,74.104,MEDIUM
ALO,19.0,73.792,MEDIUM
ALO,20.0,92.959,MEDIUM
ALO,22.0,71.215,SOFT
ALO,23.0,115.894,SOFT
ALO,25.0,127.879,MEDIUM
ALO,26.0,92.097,MEDIUM
LEC,2.0,96.731,MEDIUM
