Driver,LapNumber,LapTime,Compound
NOR,2.0,91.608,WET
NOR,3.0,97.946,WET
NOR,4.0,106.347,WET
NOR,5.0,91.632,WET
NOR,8.0,91.282,WET
NOR,9.0,99.833,WET
NOR,10.0,107.298,WET
NOR,11.0,91.333,WET
NOR,12.0,90.944,WET
NOR,13.0,115.7,WET
NOR,15.0,89.583,WET
NOR,16.0,96.12,WET
NOR,17.0,132.491,INTERMEDIATE
NOR,20.0,86.406,INTERMEDIATE
NOR,21.0,84.844,INTERMEDIATE
NOR,24.0,85.631,INTERMEDIATE
NOR,25.0,84.158,INTERMEDIATE
NOR,28.0,85.104,INTERMEDIATE
NOR,31.0,84.092,INTERMEDIATE
NOR,32.0,83.405,INTERMEDIATE
NOR,33.0,112.723,INTERMEDIATE
RUS,2.0,92.632,WET
RUS,3.0,98.008,WET
RUS,4.0,98.9,WET
RUS,7.0,99.353,WET
RUS,8.0,89.745,WET
RUS,9.0,114.565,WET
RUS,10.0,89.121,WET
RUS,11.0,111.059,WET
RUS,13.0,89.372,WET
RUS,14.0,97.858,WET
RUS,15.0,131.718,INTERMEDIATE
RUS,16.0,86.307,INTERMEDIATE
RUS,19.0,90.062,INTERMEDIATE
RUS,22.0,85.685,INTERMEDIATE
RUS,25.0,88.891,INTERMEDIATE
RUS,28.0,83.578,INTERMEDIATE
RUS,29.0,109.716,INTERMEDIATE
TSU,2.0,95.403,WET
TSU,3.0,90.288,WET
TSU,4.0,102.487,WET
TSU,5.0,89.172,WET
TSU,8.0,96.418,WET
TSU,9.0,97.579,WET
TSU,10.0,104.054,WET
TSU,11.0,89.689,WET
TSU,12.0,109.362,WET
TSU,14.0,96.693,WET
TSU,15.0,94.028,WET
TSU,16.0,112.934,INTERMEDIATE
TSU,17.0,92.194,INTERMEDIATE
TSU,20.0,86.464,INTERMEDIATE
TSU,21.0,97.766,INTERMEDIATE
TSU,24.0,86.036,INTERMEDIATE
TSU,29.0,84.111,INTERMEDIATE
TSU,30.0,130.866,INTERMEDIATE
OCO,2.0,90.096,WET
OCO,3.0,94.512,WET
OCO,4.0,89.916,WET
OCO,5.0,101.121,WET
OCO,8.0,90.511,WET
OCO,9.0,104.692,WET
OCO,10.0,89.554,WET
OCO,11.0,104.602,WET
OCO,12.0,89.171,WET
OCO,13.0,107.959,WET
OCO,15.0,92.01,WET
OCO,16.0,96.757,WET
OCO,17.0,123.152,INTERMEDIATE
OCO,20.0,86.206,INTERMEDIATE
OCO,23.0,86.267,INTERMEDIATE
OCO,24.0,85.085,INTERMEDIATE
OCO,29.0,84.749,INTERMEDIATE
OCO,30.0,84.475,INTERMEDIATE
LAW,2.0,95.708,WET
LAW,3.0,92.06,WET
LAW,4.0,103.082,WET
LAW,7.0,95.638,WET
LAW,8.0,92.913,WET
LAW,9.0,91.718,WET
LAW,10.0,102.512,WET
LAW,11.0,90.758,WET
LAW,12.0,117.849,WET
LAW,14.0,89.807,WET
LAW,15.0,97.853,WET
LAW,16.0,116.131,INTERMEDIATE
LAW,17.0,88.13,INTERMEDIATE
LAW,20.0,88.399,INTERMEDIATE
LAW,21.0,85.654,INTERMEDIATE
LAW,24.0,88.351,INTERMEDIATE
LAW,29.0,84.484,INTERMEDIATE
LAW,30.0,117.874,INTERMEDIATE
LEC,2.0,92.986,WET
LEC,3.0,97.652,WET
LEC,4.0,98.335,WET
LEC,5.0,89.839,WET
LEC,8.0,94.48,WET
LEC,9.0,96.323,WET
LEC,10.0,91.157,WET
LEC,11.0,102.721,WET
LEC,13.0,89.332,WET
LEC,14.0,112.759,WET
LEC,15.0,94.723,WET
LEC,16.0,123.857,INTERMEDIATE
LEC,19.0,86.097,INTERMEDIATE
LEC,22.0,86.018,INTERMEDIATE
LEC,27.0,88.755,INTERMEDIATE
LEC,28.0,84.525,INTERMEDIATE
ALB,2.0,92.456,WET
ALB,3.0,95.457,WET
ALB,4.0,113.94,WET
ALB,5.0,92.546,WET
ALB,8.0,90.441,WET
ALB,9.0,91.714,WET
ALB,10.0,112.208,WET
ALB,11.0,89.072,WET
ALB,12.0,107.787,WET
ALB,14.0,89.916,WET
ALB,15.0,101.946,WET
ALB,16.0,121.162,INTERMEDIATE
ALB,19.0,86.806,INTERMEDIATE
ALB,20.0,85.889,INTERMEDIATE
ALB,23.0,98.336,INTERMEDIATE
ALB,24.0,84.657,INTERMEDIATE
ALB,27.0,84.736,INTERMEDIATE
PIA,2.0,93.249,WET
PIA,3.0,92.814,WET
PIA,4.0,91.999,WET
PIA,7.0,90.114,WET
PIA,8.0,98.181,WET
PIA,9.0,115.794,WET
PIA,10.0,113.215,WET
PIA,12.0,88.925,INTERMEDIATE
PIA,13.0,87.141,INTERMEDIATE
PIA,14.0,85.179,INTERMEDIATE
PIA,17.0,89.217,INTERMEDIATE
PIA,18.0,87.163,INTERMEDIATE
PIA,21.0,86.099,INTERMEDIATE
PIA,22.0,84.686,INTERMEDIATE
PIA,27.0,86.107,INTERMEDIATE
PIA,28.0,112.198,INTERMEDIATE
ALO,2.0,90.207,WET
ALO,3.0,100.201,WET
ALO,4.0,97.411,WET
ALO,7.0,102.302,WET
ALO,8.0,95.628,WET
ALO,9.0,90.315,WET
ALO,10.0,113.171,WET
ALO,12.0,88.707,WET
ALO,13.0,105.785,WET
ALO,14.0,118.091,INTERMEDIATE
ALO,17.0,85.035,INTERMEDIATE
ALO,20.0,88.998,INTERMEDIATE
STR,2.0,98.172,WET
STR,3.0,97.47,WET
STR,4.0,90.58,WET
STR,7.0,105.622,WET
STR,8.0,94.876,WET
STR,9.0,90.709,WET
STR,10.0,111.874,WET
STR,12.0,89.308,WET
STR,13.0,101.528,WET
STR,14.0,118.774,INTERMEDIATE
STR,15.0,86.91,INTERMEDIATE
STR,18.0,86.334,INTERMEDIATE
BOT,2.0,100.713,WET
BOT,3.0,121.567,INTERMEDIATE
BOT,4.0,99.474,INTERMEDIATE
BOT,7.0,92.232,WET
BOT,8.0,92.05,WET
BOT,9.0,102.846,WET
BOT,10.0,90.725,WET
BOT,11.0,90.633,WET
BOT,12.0,107.188,WET
BOT,14.0,89.055,WET
BOT,15.0,100.704,WET
BOT,16.0,119.567,INTERMEDIATE
BOT,17.0,88.445,INTERMEDIATE
BOT,20.0,86.472,INTERMEDIATE
VER,2.0,90.994,WET
VER,3.0,98.177,WET
VER,4.0,90.615,WET
VER,7.0,94.277,WET
VER,8.0,90.003,WET
VER,9.0,127.044,WET
VER,10.0,88.522,WET
VER,11.0,108.387,WET
VER,13.0,87.771,WET
VER,14.0,95.64,WET
VER,15.0,130.027,INTERMEDIATE
VER,18.0,94.336,INTERMEDIATE
PER,2.0,90.445,WET
PER,3.0,100.927,WET
PER,4.0,90.035,WET
PER,7.0,98.483,WET
PER,8.0,93.28,WET
PER,9.0,99.735,WET
PER,10.0,101.212,WET
PER,12.0,88.158,WET
PER,13.0,106.5,WET
PER,14.0,117.529,INTERMEDIATE
PER,17.0,93.872,INTERMEDIATE
SAI,2.0,91.337,WET
SAI,3.0,91.584,WET
SAI,4.0,91.048,WET
SAI,7.0,98.172,WET
SAI,8.0,90.904,WET
SAI,9.0,90.303,WET
SAI,10.0,90.822,WET
SAI,11.0,106.87,WET
SAI,13.0,89.406,WET
SAI,14.0,89.527,WET
SAI,15.0,113.457,WET
SAI,16.0,119.825,INTERMEDIATE
GAS,2.0,93.559,WET
GAS,3.0,91.681,WET
GAS,4.0,102.859,WET
GAS,5.0,100.198,WET
GAS,8.0,91.188,WET
GAS,9.0,99.898,WET
GAS,10.0,90.442,WET
GAS,11.0,114.806,WET
GAS,12.0,89.42,WET
GAS,13.0,116.669,WET
GAS,15.0,89.614,WET
GAS,16.0,101.951,WET
GAS,17.0,120.058,INTERMEDIATE
GAS,20.0,97.356,INTERMEDIATE
HAM,2.0,92.626,WET
HAM,3.0,100.197,WET
HAM,4.0,97.78,WET
HAM,7.0,91.83,WET
HAM,8.0,96.713,WET
HAM,9.0,93.551,WET
HAM,10.0,91.15,WET
HAM,11.0,118.228,WET
BEA,2.0,93.974,WET
BEA,3.0,107.096,WET
BEA,4.0,92.157,WET
BEA,7.0,96.754,WET
BEA,8.0,96.289,WET
BEA,9.0,97.116,WET
BEA,10.0,91.229,WET
BEA,11.0,109.524,WET
COL,2.0,93.45,WET
COL,3.0,91.27,WET
COL,4.0,117.713,WET
HUL,2.0,98.286,WET
HUL,3.0,94.026,WET
HUL,4.0,91.667,WET
HUL,7.0,92.404,WET
HUL,8.0,95.217,WET
HUL,9.0,99.905,WET
HUL,10.0,91.623,WET
HUL,11.0,92.025,WET
HUL,12.0,110.633,WET
ZHO,2.0,107.595,WET
ZHO,3.0,93.037,WET
ZHO,4.0,92.492,WET
ZHO,7.0,93.535,WET
ZHO,8.0,94.995,WET
ZHO,9.0,100.021,WET
ZHO,10.0,92.641,WET
ZHO,11.0,92.263,WET
ZHO,12.0,107.247,WET
