Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-11-03 10:29:00,Drs,DRS DISABLED,DISABLED,,,,,
2024-11-03 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-03 10:31:55,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2024-11-03 10:32:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2024-11-03 10:32:02,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2024-11-03 10:32:39,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2024-11-03 10:32:40,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2024-11-03 10:33:50,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2024-11-03 10:33:52,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2024-11-03 10:33:56,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2024-11-03 10:33:59,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2024-11-03 10:34:01,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2024-11-03 10:34:02,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2024-11-03 10:34:24,Other,CAR 77 (BOT) LAP DELETED - DOUBLE YELLOW AT TURN 12,,,,,,
2024-11-03 10:34:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2024-11-03 10:34:29,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2024-11-03 10:34:32,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2024-11-03 10:34:34,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
