Driver,LapNumber,GapTime
VER,0.6666666666666666,8.366
GAS,0.6666666666666666,7.694
PER,0.6666666666666666,18.574
ALO,0.6666666666666666,6.866
LEC,0.6666666666666666,4.352
STR,0.6666666666666666,
TSU,0.6666666666666666,3.393
ZHO,0.6666666666666666,11.398
HUL,0.6666666666666666,10.648
LAW,0.6666666666666666,5.735
OCO,0.6666666666666666,3.964
NOR,0.6666666666666666,1.387
COL,0.6666666666666666,9.194
HAM,0.6666666666666666,8.023
BEA,0.6666666666666666,9.882
SAI,0.6666666666666666,12.133
RUS,0.6666666666666666,0.0
BOT,0.6666666666666666,10.46
PIA,0.6666666666666666,6.094
VER,1.0,8.679
GAS,1.0,7.563
PER,1.0,18.822
ALO,1.0,6.812
LEC,1.0,4.357
STR,1.0,
TSU,1.0,3.216
ZHO,1.0,12.105
HUL,1.0,10.888
LAW,1.0,5.382
OCO,1.0,3.922
NOR,1.0,1.2429999999999999
COL,1.0,9.337
HAM,1.0,8.339
BEA,1.0,9.929
SAI,1.0,12.757
RUS,1.0,0.0
BOT,1.0,11.098
PIA,1.0,6.118
VER,1.3333333333333333,9.019
GAS,1.3333333333333333,8.08
PER,1.3333333333333333,19.847
ALO,1.3333333333333333,7.386
LEC,1.3333333333333333,5.046
TSU,1.3333333333333333,3.661
ZHO,1.3333333333333333,13.593
HUL,1.3333333333333333,11.638
LAW,1.3333333333333333,6.031
OCO,1.3333333333333333,4.485
NOR,1.3333333333333333,1.6099999999999999
COL,1.3333333333333333,10.349
HAM,1.3333333333333333,9.679
BEA,1.3333333333333333,11.036
SAI,1.3333333333333333,14.007
RUS,1.3333333333333333,0.0
BOT,1.3333333333333333,12.25
PIA,1.3333333333333333,6.84
VER,1.6666666666666665,9.798
GAS,1.6666666666666665,8.974
PER,1.6666666666666665,20.017
ALO,1.6666666666666665,8.175
LEC,1.6666666666666665,5.365
TSU,1.6666666666666665,3.876
ZHO,1.6666666666666665,15.15
HUL,1.6666666666666665,12.826
LAW,1.6666666666666665,6.731
OCO,1.6666666666666665,4.649
NOR,1.6666666666666665,1.936
COL,1.6666666666666665,11.65
HAM,1.6666666666666665,10.548
BEA,1.6666666666666665,12.379
SAI,1.6666666666666665,16.026
RUS,1.6666666666666665,0.0
BOT,1.6666666666666665,13.792
PIA,1.6666666666666665,7.529
VER,2.0,9.96
GAS,2.0,9.055
PER,2.0,20.129
ALO,2.0,8.157
LEC,2.0,5.178
TSU,2.0,3.774
ZHO,2.0,15.445
HUL,2.0,12.827
LAW,2.0,6.514
OCO,2.0,4.58
NOR,2.0,1.685
COL,2.0,11.602
HAM,2.0,10.371
BEA,2.0,12.54
SAI,2.0,16.141
RUS,2.0,0.0
BOT,2.0,14.278
PIA,2.0,7.541
VER,2.3333333333333335,10.239
GAS,2.3333333333333335,9.492
PER,2.3333333333333335,20.52
ALO,2.3333333333333335,8.878
LEC,2.3333333333333335,5.604
TSU,2.3333333333333335,4.029
ZHO,2.3333333333333335,16.342
HUL,2.3333333333333335,13.738
LAW,2.3333333333333335,6.955
OCO,2.3333333333333335,5.041
NOR,2.3333333333333335,1.933
COL,2.3333333333333335,12.434
HAM,2.3333333333333335,11.009
BEA,2.3333333333333335,13.445
SAI,2.3333333333333335,17.032
RUS,2.3333333333333335,0.0
BOT,2.3333333333333335,15.297
PIA,2.3333333333333335,8.445
VER,2.6666666666666665,10.629
GAS,2.6666666666666665,10.11
PER,2.6666666666666665,20.384
ALO,2.6666666666666665,9.557
LEC,2.6666666666666665,5.801
TSU,2.6666666666666665,4.375
ZHO,2.6666666666666665,16.792
HUL,2.6666666666666665,14.529
LAW,2.6666666666666665,7.352
OCO,2.6666666666666665,5.33
NOR,2.6666666666666665,1.6400000000000001
