Driver,LapNumber,LapTime,Compound
VER,1.0,99.161,INTERMEDIATE
VER,2.0,87.134,INTERMEDIATE
VER,3.0,86.24,INTERMEDIATE
VER,4.0,86.702,INTERMEDIATE
VER,5.0,85.394,INTERMEDIATE
VER,6.0,84.311,INTERMEDIATE
VER,7.0,84.342,INTERMEDIATE
VER,8.0,84.657,INTERMEDIATE
VER,9.0,84.778,INTERMEDIATE
VER,10.0,84.015,INTERMEDIATE
VER,11.0,84.156,INTERMEDIATE
VER,12.0,83.43,INTERMEDIATE
VER,13.0,84.512,INTERMEDIATE
VER,14.0,84.791,INTERMEDIATE
VER,15.0,84.669,INTERMEDIATE
VER,16.0,85.131,INTERMEDIATE
VER,17.0,84.328,INTERMEDIATE
VER,18.0,84.248,INTERMEDIATE
VER,19.0,84.493,INTERMEDIATE
VER,20.0,83.915,INTERMEDIATE
VER,21.0,84.269,INTERMEDIATE
VER,22.0,85.055,INTERMEDIATE
VER,23.0,84.267,INTERMEDIATE
VER,24.0,84.53,INTERMEDIATE
VER,25.0,84.156,INTERMEDIATE
VER,26.0,85.252,INTERMEDIATE
VER,27.0,88.393,INTERMEDIATE
VER,28.0,111.717,INTERMEDIATE
VER,29.0,105.014,INTERMEDIATE
VER,30.0,119.319,INTERMEDIATE
VER,31.0,124.967,INTERMEDIATE
VER,34.0,90.36,INTERMEDIATE
VER,35.0,88.006,INTERMEDIATE
VER,36.0,86.509,INTERMEDIATE
VER,37.0,85.286,INTERMEDIATE
VER,38.0,84.391,INTERMEDIATE
VER,39.0,85.296,INTERMEDIATE
VER,40.0,129.449,INTERMEDIATE
VER,41.0,125.095,INTERMEDIATE
VER,42.0,142.964,INTERMEDIATE
VER,43.0,85.676,INTERMEDIATE
VER,44.0,83.884,INTERMEDIATE
VER,45.0,82.876,INTERMEDIATE
VER,46.0,83.106,INTERMEDIATE
VER,47.0,82.453,INTERMEDIATE
VER,48.0,82.29,INTERMEDIATE
VER,49.0,82.241,INTERMEDIATE
VER,50.0,82.043,INTERMEDIATE
VER,51.0,82.306,INTERMEDIATE
VER,52.0,82.38,INTERMEDIATE
VER,53.0,82.251,INTERMEDIATE
VER,54.0,82.246,INTERMEDIATE
VER,55.0,82.291,INTERMEDIATE
VER,56.0,82.005,INTERMEDIATE
VER,57.0,81.862,INTERMEDIATE
VER,58.0,81.782,INTERMEDIATE
VER,59.0,81.551,INTERMEDIATE
VER,60.0,81.331,INTERMEDIATE
VER,61.0,81.336,INTERMEDIATE
VER,62.0,81.069,INTERMEDIATE
VER,63.0,81.232,INTERMEDIATE
VER,64.0,81.029,INTERMEDIATE
VER,65.0,80.99,INTERMEDIATE
VER,66.0,81.111,INTERMEDIATE
VER,67.0,80.472,INTERMEDIATE
VER,68.0,81.554,INTERMEDIATE
VER,69.0,81.322,INTERMEDIATE
GAS,1.0,98.052,INTERMEDIATE
GAS,2.0,87.33,INTERMEDIATE
GAS,3.0,86.668,INTERMEDIATE
GAS,4.0,86.864,INTERMEDIATE
GAS,5.0,86.804,INTERMEDIATE
GAS,6.0,85.604,INTERMEDIATE
GAS,7.0,85.323,INTERMEDIATE
GAS,8.0,85.227,INTERMEDIATE
GAS,9.0,85.105,INTERMEDIATE
GAS,10.0,85.021,INTERMEDIATE
GAS,11.0,84.829,INTERMEDIATE
GAS,12.0,86.151,INTERMEDIATE
GAS,13.0,84.937,INTERMEDIATE
GAS,14.0,84.798,INTERMEDIATE
GAS,15.0,84.66,INTERMEDIATE
GAS,16.0,84.351,INTERMEDIATE
GAS,17.0,84.237,INTERMEDIATE
GAS,18.0,84.199,INTERMEDIATE
GAS,19.0,84.214,INTERMEDIATE
GAS,20.0,84.381,INTERMEDIATE
GAS,21.0,83.92,INTERMEDIATE
GAS,22.0,83.996,INTERMEDIATE
GAS,23.0,84.744,INTERMEDIATE
GAS,24.0,84.399,INTERMEDIATE
GAS,25.0,84.41,INTERMEDIATE
GAS,26.0,85.245,INTERMEDIATE
GAS,27.0,89.666,INTERMEDIATE
GAS,28.0,109.087,INTERMEDIATE
GAS,29.0,102.264,INTERMEDIATE
GAS,30.0,118.4,INTERMEDIATE
GAS,31.0,126.773,INTERMEDIATE
GAS,34.0,93.504,INTERMEDIATE
GAS,35.0,88.741,INTERMEDIATE
GAS,36.0,86.658,INTERMEDIATE
GAS,37.0,85.284,INTERMEDIATE
GAS,38.0,85.236,INTERMEDIATE
GAS,39.0,90.233,INTERMEDIATE
GAS,40.0,120.75,INTERMEDIATE
GAS,41.0,125.971,INTERMEDIATE
GAS,42.0,140.928,INTERMEDIATE
GAS,43.0,87.53,INTERMEDIATE
GAS,44.0,84.886,INTERMEDIATE
GAS,45.0,84.087,INTERMEDIATE
GAS,46.0,83.511,INTERMEDIATE
GAS,47.0,83.498,INTERMEDIATE
GAS,48.0,83.53,INTERMEDIATE
GAS,49.0,83.183,INTERMEDIATE
GAS,50.0,83.033,INTERMEDIATE
GAS,51.0,83.001,INTERMEDIATE
GAS,52.0,82.912,INTERMEDIATE
GAS,53.0,82.512,INTERMEDIATE
GAS,54.0,82.739,INTERMEDIATE
GAS,55.0,82.75,INTERMEDIATE
GAS,56.0,82.747,INTERMEDIATE
GAS,57.0,82.468,INTERMEDIATE
GAS,58.0,82.385,INTERMEDIATE
GAS,59.0,82.408,INTERMEDIATE
GAS,60.0,82.093,INTERMEDIATE
GAS,61.0,82.22,INTERMEDIATE
GAS,62.0,82.097,INTERMEDIATE
GAS,63.0,81.828,INTERMEDIATE
GAS,64.0,81.707,INTERMEDIATE
GAS,65.0,81.824,INTERMEDIATE
GAS,66.0,81.645,INTERMEDIATE
GAS,67.0,81.783,INTERMEDIATE
GAS,68.0,81.877,INTERMEDIATE
GAS,69.0,82.436,INTERMEDIATE
PER,1.0,109.387,INTERMEDIATE
PER,2.0,87.047,INTERMEDIATE
PER,3.0,85.891,INTERMEDIATE
