Driver,LapNumber,LapTime,Compound
NOR,2.0,70.672,MEDIUM
NOR,3.0,100.229,MEDIUM
NOR,5.0,69.477,MEDIUM
NOR,6.0,92.931,MEDIUM
NOR,8.0,69.063,MEDIUM
NOR,9.0,92.836,MEDIUM
NOR,11.0,68.928,SOFT
NOR,12.0,98.597,SOFT
NOR,13.0,142.192,SOFT
NOR,14.0,77.1,SOFT
RUS,2.0,70.87,MEDIUM
RUS,3.0,101.775,MEDIUM
RUS,5.0,70.479,MEDIUM
RUS,6.0,108.036,MEDIUM
RUS,8.0,69.683,MEDIUM
RUS,9.0,98.418,MEDIUM
RUS,11.0,69.869,MEDIUM
RUS,12.0,99.612,MEDIUM
RUS,14.0,69.443,SOFT
BEA,2.0,71.171,MEDIUM
BEA,3.0,99.065,MEDIUM
BEA,5.0,70.442,MEDIUM
BEA,6.0,94.444,MEDIUM
BEA,8.0,69.629,MEDIUM
BEA,9.0,94.533,MEDIUM
BEA,11.0,69.879,SOFT
BEA,12.0,105.747,SOFT
PIA,2.0,70.265,MEDIUM
PIA,3.0,95.295,MEDIUM
PIA,6.0,69.603,MEDIUM
PIA,7.0,98.526,MEDIUM
PIA,9.0,69.239,MEDIUM
PIA,10.0,95.175,MEDIUM
PIA,12.0,69.225,SOFT
PIA,13.0,103.389,SOFT
PIA,14.0,124.158,SOFT
PIA,15.0,68.899,SOFT
PIA,16.0,100.592,SOFT
ALB,2.0,71.015,MEDIUM
ALB,3.0,104.073,MEDIUM
ALB,5.0,70.366,MEDIUM
ALB,6.0,95.45,MEDIUM
ALB,8.0,69.844,MEDIUM
ALB,9.0,95.765,MEDIUM
ALB,11.0,70.078,SOFT
ALB,12.0,96.999,SOFT
LEC,2.0,71.654,MEDIUM
LEC,3.0,106.922,MEDIUM
LEC,4.0,99.452,MEDIUM
LEC,5.0,70.453,MEDIUM
LEC,6.0,104.83,MEDIUM
LEC,7.0,103.249,MEDIUM
LEC,8.0,70.388,MEDIUM
LEC,9.0,93.909,MEDIUM
LEC,11.0,69.719,MEDIUM
LEC,12.0,96.869,MEDIUM
LEC,14.0,69.248,MEDIUM
LEC,15.0,102.015,MEDIUM
LEC,17.0,69.153,SOFT
LEC,18.0,102.121,SOFT
SAI,2.0,72.257,MEDIUM
SAI,3.0,117.557,MEDIUM
SAI,4.0,93.706,MEDIUM
SAI,5.0,70.503,MEDIUM
SAI,6.0,100.388,MEDIUM
SAI,7.0,108.633,MEDIUM
SAI,8.0,70.57,MEDIUM
SAI,9.0,101.392,MEDIUM
SAI,11.0,69.5,MEDIUM
SAI,12.0,95.692,MEDIUM
SAI,14.0,69.257,SOFT
HUL,2.0,70.466,MEDIUM
HUL,3.0,98.624,MEDIUM
HUL,5.0,81.536,MEDIUM
HUL,7.0,69.964,MEDIUM
HUL,8.0,93.291,MEDIUM
ALO,2.0,71.742,MEDIUM
ALO,3.0,103.165,MEDIUM
ALO,5.0,70.978,MEDIUM
ALO,6.0,102.516,MEDIUM
GAS,2.0,71.63,MEDIUM
GAS,3.0,101.415,MEDIUM
GAS,5.0,70.63,MEDIUM
GAS,6.0,102.556,MEDIUM
GAS,8.0,69.787,MEDIUM
GAS,9.0,100.712,MEDIUM
GAS,11.0,69.61,MEDIUM
GAS,12.0,101.879,MEDIUM
GAS,14.0,69.622,SOFT
GAS,15.0,103.473,SOFT
LAW,2.0,70.576,MEDIUM
LAW,3.0,97.663,MEDIUM
LAW,5.0,80.732,MEDIUM
LAW,7.0,69.827,MEDIUM
LAW,8.0,97.614,MEDIUM
LAW,10.0,69.941,SOFT
LAW,11.0,109.891,SOFT
TSU,2.0,71.523,MEDIUM
TSU,3.0,100.452,MEDIUM
TSU,5.0,71.121,MEDIUM
TSU,6.0,105.664,MEDIUM
COL,2.0,74.226,MEDIUM
COL,3.0,98.881,MEDIUM
COL,5.0,70.47,MEDIUM
COL,6.0,92.536,MEDIUM
COL,8.0,70.275,MEDIUM
COL,9.0,94.974,MEDIUM
BOT,2.0,71.979,MEDIUM
BOT,3.0,101.284,MEDIUM
BOT,5.0,70.861,MEDIUM
BOT,6.0,98.201,MEDIUM
BOT,8.0,71.042,MEDIUM
BOT,9.0,90.774,MEDIUM
BOT,11.0,70.595,MEDIUM
BOT,12.0,98.862,MEDIUM
VER,2.0,70.59,MEDIUM
VER,3.0,104.209,MEDIUM
VER,4.0,107.296,MEDIUM
VER,5.0,70.409,MEDIUM
VER,6.0,102.145,MEDIUM
VER,8.0,69.489,MEDIUM
VER,9.0,101.083,MEDIUM
VER,11.0,69.219,SOFT
VER,12.0,100.564,SOFT
HAM,2.0,70.958,MEDIUM
HAM,3.0,101.743,MEDIUM
HAM,5.0,70.625,MEDIUM
HAM,6.0,99.763,MEDIUM
HAM,8.0,86.795,MEDIUM
HAM,9.0,70.234,MEDIUM
HAM,10.0,96.101,MEDIUM
HAM,12.0,69.941,MEDIUM
HAM,13.0,95.445,MEDIUM
STR,2.0,72.163,MEDIUM
STR,3.0,106.329,MEDIUM
STR,5.0,71.28,MEDIUM
STR,6.0,98.221,MEDIUM
OCO,2.0,71.52,MEDIUM
OCO,3.0,100.657,MEDIUM
OCO,5.0,71.052,MEDIUM
OCO,6.0,93.994,MEDIUM
PER,2.0,71.162,MEDIUM
PER,3.0,97.466,MEDIUM
PER,5.0,70.392,MEDIUM
PER,6.0,99.044,MEDIUM
PER,8.0,70.024,MEDIUM
PER,9.0,101.079,MEDIUM
ZHO,2.0,72.978,MEDIUM
ZHO,3.0,102.414,MEDIUM
ZHO,5.0,98.793,MEDIUM
