Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-11-01 18:15:32,Other,RISK OF RAIN FOR F1 SPRINT QUALIFYING IS 20%,,,,,,
2024-11-01 18:15:49,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-11-01 18:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-01 18:36:18,Other,CAR 43 (COL) TIME 1:14.226 DELETED - TRACK LIMITS AT TURN 4 LAP 3 15:33:38,,,,,,
2024-11-01 18:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-11-01 18:42:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2024-11-01 18:45:28,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 18 (STR), 55 (SAI), 16 (LEC), 14 (ALO), 50 (BEA), 81 (PIA), 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-11-01 18:45:42,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 18 (STR), 55 (SAI), 16 (LEC), 14 (ALO), 50 (BEA), 81 (PIA), 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-11-01 18:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-01 18:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-11-01 18:59:05,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),,,,,,
2024-11-01 19:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-01 19:12:45,Other,CAR 50 (BEA) TIME 1:09.879 DELETED - TRACK LIMITS AT TURN 2 LAP 12 16:11:40,,,,,,
2024-11-01 19:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-11-01 19:14:26,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
2024-11-01 19:16:15,Other,"FIA STEWARDS: SQ3 INCIDENT INVOLVING CARS 30 (LAW), 55 (SAI) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-11-01 19:16:46,Other,"FIA STEWARDS: SQ3 INCIDENT INVOLVING CARS 30 (LAW), 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
