Driver,LapNumber,GapTime
VER,0.6666666666666666,2.384
GAS,0.6666666666666666,4.732
PER,0.6666666666666666,6.377
ALO,0.6666666666666666,10.205
LEC,0.6666666666666666,1.841
STR,0.6666666666666666,12.191
TSU,0.6666666666666666,8.897
ALB,0.6666666666666666,6.192
ZHO,0.6666666666666666,14.33
HUL,0.6666666666666666,5.676
LAW,0.6666666666666666,5.103
OCO,0.6666666666666666,7.943
NOR,0.6666666666666666,0.835
COL,0.6666666666666666,7.03
HAM,0.6666666666666666,7.611
BEA,0.6666666666666666,5.917
SAI,0.6666666666666666,3.282
RUS,0.6666666666666666,3.966
BOT,0.6666666666666666,8.4
PIA,0.6666666666666666,0.0
VER,1.0,2.296
GAS,1.0,4.796
PER,1.0,7.037
ALO,1.0,10.472
LEC,1.0,1.8679999999999999
STR,1.0,12.323
TSU,1.0,9.279
ALB,1.0,6.401
ZHO,1.0,14.603
HUL,1.0,5.644
LAW,1.0,5.147
OCO,1.0,8.228
NOR,1.0,0.538
COL,1.0,7.413
HAM,1.0,7.879
BEA,1.0,6.156
SAI,1.0,3.309
RUS,1.0,4.056
BOT,1.0,8.705
PIA,1.0,0.0
VER,1.3333333333333333,2.2439999999999998
GAS,1.3333333333333333,4.756
PER,1.3333333333333333,7.928
ALO,1.3333333333333333,11.689
LEC,1.3333333333333333,1.798
STR,1.3333333333333333,12.991
TSU,1.3333333333333333,9.669
ALB,1.3333333333333333,6.75
ZHO,1.3333333333333333,15.083
HUL,1.3333333333333333,5.848
LAW,1.3333333333333333,5.585
OCO,1.3333333333333333,8.632
NOR,1.3333333333333333,0.476
COL,1.3333333333333333,7.882
HAM,1.3333333333333333,8.145
BEA,1.3333333333333333,6.079
SAI,1.3333333333333333,4.031
RUS,1.3333333333333333,4.369
BOT,1.3333333333333333,9.045
PIA,1.3333333333333333,0.0
VER,1.6666666666666665,2.437
GAS,1.6666666666666665,5.71
PER,1.6666666666666665,8.932
ALO,1.6666666666666665,12.843
LEC,1.6666666666666665,2.004
STR,1.6666666666666665,14.105
TSU,1.6666666666666665,12.014
ALB,1.6666666666666665,8.617
ZHO,1.6666666666666665,15.948
HUL,1.6666666666666665,7.036
LAW,1.6666666666666665,6.471
OCO,1.6666666666666665,10.791
NOR,1.6666666666666665,0.544
COL,1.6666666666666665,9.543
HAM,1.6666666666666665,10.454
BEA,1.6666666666666665,7.499
SAI,1.6666666666666665,4.118
RUS,1.6666666666666665,4.708
BOT,1.6666666666666665,11.138
PIA,1.6666666666666665,0.0
VER,2.0,2.226
GAS,2.0,5.714
PER,2.0,9.22
ALO,2.0,12.916
LEC,2.0,1.956
STR,2.0,14.338
TSU,2.0,12.235
ALB,2.0,8.748
ZHO,2.0,16.219
HUL,2.0,7.015
LAW,2.0,6.432
OCO,2.0,10.988
NOR,2.0,0.416
COL,2.0,9.672
HAM,2.0,10.521
BEA,2.0,7.446
SAI,2.0,4.221
RUS,2.0,4.689
BOT,2.0,11.36
PIA,2.0,0.0
VER,2.3333333333333335,2.109
GAS,2.3333333333333335,5.646
PER,2.3333333333333335,9.114
ALO,2.3333333333333335,13.2
LEC,2.3333333333333335,1.905
STR,2.3333333333333335,14.417
TSU,2.3333333333333335,12.233
ALB,2.3333333333333335,9.096
ZHO,2.3333333333333335,16.411
HUL,2.3333333333333335,6.933
LAW,2.3333333333333335,6.427
OCO,2.3333333333333335,10.871
NOR,2.3333333333333335,0.301
COL,2.3333333333333335,9.801
HAM,2.3333333333333335,10.217
BEA,2.3333333333333335,7.842
SAI,2.3333333333333335,4.409
RUS,2.3333333333333335,5.48
BOT,2.3333333333333335,11.518
PIA,2.3333333333333335,0.0
VER,2.6666666666666665,2.409
GAS,2.6666666666666665,6.84
PER,2.6666666666666665,9.672
ALO,2.6666666666666665,14.784
LEC,2.6666666666666665,1.722
STR,2.6666666666666665,15.422
TSU,2.6666666666666665,14.2
ALB,2.6666666666666665,10.711
ZHO,2.6666666666666665,17.17
HUL,2.6666666666666665,8.188
LAW,2.6666666666666665,7.573
OCO,2.6666666666666665,12.624
NOR,2.6666666666666665,0.619
COL,2.6666666666666665,11.333
HAM,2.6666666666666665,12.081
BEA,2.6666666666666665,8.75
SAI,2.6666666666666665,4.19
RUS,2.6666666666666665,6.059
BOT,2.6666666666666665,13.21
PIA,2.6666666666666665,0.0
VER,3.0,2.404
GAS,3.0,6.888
PER,3.0,9.873
ALO,3.0,14.968
LEC,3.0,1.5939999999999999
STR,3.0,15.622
TSU,3.0,14.41
ALB,3.0,10.764
ZHO,3.0,17.502
HUL,3.0,8.25
LAW,3.0,7.576
OCO,3.0,12.871
NOR,3.0,0.642
COL,3.0,11.512
HAM,3.0,12.257
BEA,3.0,8.716
SAI,3.0,4.398
RUS,3.0,6.239
BOT,3.0,13.497
PIA,3.0,0.0
VER,3.3333333333333335,2.056
GAS,3.3333333333333335,6.986
PER,3.3333333333333335,9.674
ALO,3.3333333333333335,14.973
LEC,3.3333333333333335,1.245
STR,3.3333333333333335,15.678
TSU,3.3333333333333335,14.469
ALB,3.3333333333333335,10.85
ZHO,3.3333333333333335,17.769
HUL,3.3333333333333335,8.089
LAW,3.3333333333333335,7.629
OCO,3.3333333333333335,12.843
NOR,3.3333333333333335,0.392
COL,3.3333333333333335,11.571
HAM,3.3333333333333335,12.2
BEA,3.3333333333333335,8.66
SAI,3.3333333333333335,4.152
RUS,3.3333333333333335,6.453
BOT,3.3333333333333335,13.577
PIA,3.3333333333333335,0.0
VER,3.6666666666666665,2.5
GAS,3.6666666666666665,7.562
PER,3.6666666666666665,10.21
ALO,3.6666666666666665,16.79
LEC,3.6666666666666665,1.504
STR,3.6666666666666665,17.351
TSU,3.6666666666666665,16.057
ALB,3.6666666666666665,12.047
ZHO,3.6666666666666665,18.839
HUL,3.6666666666666665,9.109
LAW,3.6666666666666665,8.38
OCO,3.6666666666666665,14.086
NOR,3.6666666666666665,0.536
COL,3.6666666666666665,12.733
HAM,3.6666666666666665,13.483
BEA,3.6666666666666665,9.544
SAI,3.6666666666666665,4.21
RUS,3.6666666666666665,6.6370000000000005
BOT,3.6666666666666665,15.216
PIA,3.6666666666666665,0.0
VER,4.0,2.718
GAS,4.0,7.814
PER,4.0,10.369
ALO,4.0,16.99
LEC,4.0,1.432
STR,4.0,17.617
TSU,4.0,16.287
ALB,4.0,12.148
ZHO,4.0,19.199
HUL,4.0,9.134
LAW,4.0,8.434
OCO,4.0,14.335
NOR,4.0,0.405
COL,4.0,12.878
HAM,4.0,13.618
BEA,4.0,9.443
SAI,4.0,4.547
RUS,4.0,6.699
BOT,4.0,15.69
PIA,4.0,0.0
VER,4.333333333333333,2.588
GAS,4.333333333333333,7.9879999999999995
PER,4.333333333333333,10.272
ALO,4.333333333333333,17.278
LEC,4.333333333333333,1.204
STR,4.333333333333333,17.775
TSU,4.333333333333333,16.664
ALB,4.333333333333333,12.407
ZHO,4.333333333333333,19.479
HUL,4.333333333333333,9.063
LAW,4.333333333333333,8.679
OCO,4.333333333333333,14.283
NOR,4.333333333333333,0.227
COL,4.333333333333333,12.981
HAM,4.333333333333333,13.637
BEA,4.333333333333333,9.455
SAI,4.333333333333333,5.483
RUS,4.333333333333333,6.798
BOT,4.333333333333333,16.091
PIA,4.333333333333333,0.0
VER,4.666666666666667,2.816
GAS,4.666666666666667,8.32
PER,4.666666666666667,11.312
ALO,4.666666666666667,18.91
LEC,4.666666666666667,1.7810000000000001
STR,4.666666666666667,19.596
TSU,4.666666666666667,18.301
ALB,4.666666666666667,13.597
ZHO,4.666666666666667,20.493
HUL,4.666666666666667,10.251
LAW,4.666666666666667,9.346
OCO,4.666666666666667,15.873
NOR,4.666666666666667,0.687
COL,4.666666666666667,14.451
HAM,4.666666666666667,15.181
BEA,4.666666666666667,10.984
SAI,4.666666666666667,5.661
RUS,4.666666666666667,7.506
BOT,4.666666666666667,17.353
PIA,4.666666666666667,0.0
VER,5.0,2.803
GAS,5.0,8.325
PER,5.0,11.366
ALO,5.0,19.057
LEC,5.0,1.738
STR,5.0,19.741
TSU,5.0,18.343
ALB,5.0,13.57
ZHO,5.0,20.592
HUL,5.0,10.216
LAW,5.0,9.275
OCO,5.0,15.999
NOR,5.0,0.473
COL,5.0,14.449
HAM,5.0,15.102
BEA,5.0,10.854
SAI,5.0,5.786
RUS,5.0,7.588
BOT,5.0,17.592
PIA,5.0,0.0
VER,5.333333333333333,2.474
GAS,5.333333333333333,8.338
PER,5.333333333333333,11.293
ALO,5.333333333333333,19.116
LEC,5.333333333333333,1.631
STR,5.333333333333333,19.727
TSU,5.333333333333333,18.418
ALB,5.333333333333333,13.705
ZHO,5.333333333333333,20.716
HUL,5.333333333333333,10.044
LAW,5.333333333333333,9.147
OCO,5.333333333333333,15.839
NOR,5.333333333333333,0.352
COL,5.333333333333333,14.366
HAM,5.333333333333333,14.812
BEA,5.333333333333333,10.828
SAI,5.333333333333333,5.698
RUS,5.333333333333333,7.561
BOT,5.333333333333333,17.752
PIA,5.333333333333333,0.0
VER,5.666666666666667,2.721
GAS,5.666666666666667,9.213
PER,5.666666666666667,12.62
ALO,5.666666666666667,20.894
LEC,5.666666666666667,2.035
STR,5.666666666666667,21.379
