Driver,LapNumber,LapTime,Compound
VER,2.0,72.311,MEDIUM
VER,3.0,72.454,MEDIUM
VER,4.0,72.561,MEDIUM
VER,5.0,72.304,MEDIUM
VER,6.0,71.906,MEDIUM
VER,7.0,72.13,MEDIUM
VER,8.0,72.409,MEDIUM
VER,9.0,72.589,MEDIUM
VER,10.0,72.17,MEDIUM
VER,11.0,72.304,MEDIUM
VER,12.0,72.328,MEDIUM
VER,13.0,72.785,MEDIUM
VER,14.0,72.204,MEDIUM
VER,15.0,72.256,MEDIUM
VER,16.0,72.335,MEDIUM
VER,17.0,72.046,MEDIUM
VER,18.0,71.852,MEDIUM
VER,19.0,72.679,MEDIUM
VER,20.0,72.367,MEDIUM
VER,21.0,72.523,MEDIUM
VER,22.0,82.646,MEDIUM
VER,23.0,102.677,MEDIUM
VER,24.0,76.975,MEDIUM
GAS,2.0,73.254,MEDIUM
GAS,3.0,73.45,MEDIUM
GAS,4.0,73.173,MEDIUM
GAS,5.0,72.73,MEDIUM
GAS,6.0,73.022,MEDIUM
GAS,7.0,73.123,MEDIUM
GAS,8.0,72.926,MEDIUM
GAS,9.0,73.429,MEDIUM
GAS,10.0,73.562,MEDIUM
GAS,11.0,72.721,MEDIUM
GAS,12.0,73.049,MEDIUM
GAS,13.0,72.898,MEDIUM
GAS,14.0,73.162,MEDIUM
GAS,15.0,73.262,MEDIUM
GAS,16.0,73.024,MEDIUM
GAS,17.0,72.66,MEDIUM
GAS,18.0,72.698,MEDIUM
GAS,19.0,72.4,MEDIUM
GAS,20.0,72.728,MEDIUM
GAS,21.0,73.456,MEDIUM
GAS,22.0,87.811,MEDIUM
GAS,23.0,100.661,MEDIUM
GAS,24.0,73.735,MEDIUM
PER,2.0,74.578,MEDIUM
PER,3.0,72.929,MEDIUM
PER,4.0,72.743,MEDIUM
PER,5.0,73.216,MEDIUM
PER,6.0,73.548,MEDIUM
PER,7.0,72.998,MEDIUM
PER,8.0,73.242,MEDIUM
PER,9.0,73.048,MEDIUM
PER,10.0,73.086,MEDIUM
PER,11.0,72.666,MEDIUM
PER,12.0,72.184,MEDIUM
PER,13.0,72.626,MEDIUM
PER,14.0,72.849,MEDIUM
PER,15.0,73.865,MEDIUM
PER,16.0,72.298,MEDIUM
PER,17.0,72.622,MEDIUM
PER,18.0,72.549,MEDIUM
PER,19.0,72.673,MEDIUM
PER,20.0,72.166,MEDIUM
PER,21.0,73.225,MEDIUM
PER,22.0,88.819,MEDIUM
PER,23.0,101.705,MEDIUM
PER,24.0,71.678,MEDIUM
ALO,2.0,74.737,MEDIUM
ALO,3.0,74.328,MEDIUM
ALO,4.0,74.269,MEDIUM
ALO,5.0,74.286,MEDIUM
ALO,6.0,73.978,MEDIUM
ALO,7.0,74.132,MEDIUM
