Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-11-02 13:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-11-02 13:35:01,Other,PIT EXIT CLOSED,,,,,,1
2024-11-02 13:45:38,Other,RISK OF RAIN FOR F1 SPRINT IS 10%,,,,,,1
2024-11-02 13:57:05,Drs,DRS DISABLED,DISABLED,,,,,1
2024-11-02 14:03:10,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-11-02 14:04:23,Drs,DRS ENABLED,ENABLED,,,,,1
2024-11-02 14:07:19,Other,CAR 63 (RUS) TIME 1:13.826 DELETED - TRACK LIMITS AT TURN 2 LAP 3 11:05:51,,,,,,4
2024-11-02 14:19:34,Other,CAR 50 (BEA) TIME 1:14.183 DELETED - TRACK LIMITS AT TURN 4 LAP 11 11:15:56,,,,,,14
2024-11-02 14:27:39,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,21
2024-11-02 14:28:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,21
2024-11-02 14:28:05,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,21
2024-11-02 14:29:39,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,22
2024-11-02 14:31:34,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,23
2024-11-02 14:31:36,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,23
2024-11-02 14:31:49,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,24
2024-11-02 14:32:03,Flag,TRACK CLEAR,,CLEAR,Track,,,24
2024-11-02 14:32:05,Drs,DRS ENABLED,ENABLED,,,,,24
2024-11-02 14:32:58,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,24
2024-11-02 14:35:59,Other,INCIDENT INVOLVING CAR 1 (VER) NOTED - VIRTUAL SAFETY CAR INFRINGEMENT,,,,,,24
2024-11-02 14:36:54,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 1 (VER) WILL BE INVESTIGATED AFTER THE SPRINT - VIRTUAL SAFETY CAR INFRINGEMENT,,,,,,24
