Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-11-22 02:15:16,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,,
2024-11-22 02:15:20,Other,TRACK TEST COMPLETED,,,,,,
2024-11-22 02:16:20,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2024-11-22 02:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-22 02:35:19,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2024-11-22 02:35:20,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2024-11-22 02:38:10,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2024-11-22 02:38:11,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-11-22 02:38:15,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-11-22 02:38:15,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2024-11-22 02:44:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2024-11-22 02:44:36,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2024-11-22 02:48:33,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2024-11-22 02:48:35,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-11-22 02:48:39,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2024-11-22 02:48:39,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-11-22 02:51:21,Flag,BLACK AND WHITE FLAG FOR CAR 43 (COL) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,,BLACK AND WHITE,Driver,,43,
2024-11-22 02:53:32,Flag,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,,BLACK AND WHITE,Driver,,23,
2024-11-22 03:09:39,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2024-11-22 03:09:40,Other,DRS DISABLED IN ZONE 2,,,,,,
2024-11-22 03:09:47,Other,DRS ENABLED IN ZONE 2,,,,,,
2024-11-22 03:09:47,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2024-11-22 03:12:15,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2024-11-22 03:12:25,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2024-11-22 03:27:01,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2024-11-22 03:27:05,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2024-11-22 03:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-11-22 03:30:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,,
