Driver,LapNumber,LapTime,Compound
VER,2.0,114.872,MEDIUM
VER,3.0,97.103,MEDIUM
VER,4.0,127.078,MEDIUM
VER,5.0,96.34,MEDIUM
VER,6.0,119.801,MEDIUM
VER,7.0,110.861,MEDIUM
VER,8.0,103.301,MEDIUM
VER,9.0,95.834,MEDIUM
VER,10.0,113.408,MEDIUM
VER,12.0,104.523,SOFT
VER,15.0,99.524,MEDIUM
VER,16.0,98.955,MEDIUM
VER,17.0,98.504,MEDIUM
VER,18.0,98.187,MEDIUM
VER,19.0,98.521,MEDIUM
VER,20.0,108.285,MEDIUM
VER,21.0,101.341,MEDIUM
VER,22.0,99.477,MEDIUM
VER,23.0,100.104,MEDIUM
VER,24.0,142.704,MEDIUM
VER,25.0,141.379,MEDIUM
NOR,2.0,100.005,MEDIUM
NOR,3.0,120.729,MEDIUM
NOR,4.0,98.012,MEDIUM
NOR,5.0,95.406,MEDIUM
NOR,6.0,127.687,MEDIUM
NOR,7.0,100.723,MEDIUM
NOR,9.0,100.056,MEDIUM
NOR,10.0,134.633,SOFT
NOR,11.0,93.836,SOFT
NOR,12.0,137.905,SOFT
NOR,15.0,98.834,MEDIUM
NOR,16.0,98.208,MEDIUM
NOR,17.0,103.879,MEDIUM
NOR,18.0,98.773,MEDIUM
NOR,19.0,101.144,MEDIUM
NOR,20.0,100.794,MEDIUM
NOR,21.0,106.449,MEDIUM
NOR,22.0,105.187,MEDIUM
NOR,23.0,115.136,SOFT
NOR,24.0,135.441,SOFT
GAS,2.0,106.195,MEDIUM
GAS,3.0,112.037,MEDIUM
GAS,4.0,108.608,MEDIUM
GAS,5.0,98.641,MEDIUM
GAS,6.0,119.343,MEDIUM
GAS,7.0,96.914,MEDIUM
GAS,8.0,119.731,MEDIUM
GAS,9.0,95.891,MEDIUM
GAS,10.0,118.807,MEDIUM
GAS,12.0,103.929,SOFT
GAS,13.0,117.527,SOFT
GAS,14.0,94.929,SOFT
GAS,15.0,120.607,SOFT
GAS,16.0,94.651,SOFT
GAS,17.0,126.61,SOFT
GAS,19.0,99.987,MEDIUM
GAS,20.0,99.204,MEDIUM
GAS,21.0,106.32,MEDIUM
GAS,22.0,99.272,MEDIUM
GAS,23.0,99.072,MEDIUM
GAS,24.0,99.045,MEDIUM
GAS,25.0,99.595,MEDIUM
GAS,26.0,99.911,MEDIUM
GAS,27.0,104.743,MEDIUM
GAS,28.0,101.559,MEDIUM
GAS,29.0,131.482,MEDIUM
GAS,30.0,144.845,MEDIUM
PER,2.0,97.74,MEDIUM
PER,3.0,123.865,MEDIUM
PER,4.0,96.242,MEDIUM
PER,5.0,128.25,MEDIUM
PER,6.0,107.041,MEDIUM
PER,7.0,96.055,MEDIUM
PER,8.0,112.06,MEDIUM
PER,10.0,114.512,SOFT
PER,11.0,128.585,SOFT
PER,12.0,127.337,SOFT
PER,15.0,100.605,MEDIUM
PER,16.0,99.2,MEDIUM
PER,17.0,98.863,MEDIUM
PER,18.0,98.84,MEDIUM
PER,19.0,98.56,MEDIUM
PER,20.0,98.635,MEDIUM
PER,21.0,98.393,MEDIUM
PER,22.0,100.889,MEDIUM
PER,23.0,99.028,MEDIUM
PER,25.0,117.625,MEDIUM
ALO,2.0,109.042,MEDIUM
ALO,3.0,97.318,MEDIUM
ALO,4.0,116.538,MEDIUM
ALO,5.0,96.685,MEDIUM
ALO,6.0,121.923,MEDIUM
ALO,8.0,110.272,SOFT
ALO,9.0,95.44,SOFT
ALO,10.0,126.754,SOFT
ALO,11.0,112.253,SOFT
ALO,12.0,114.878,SOFT
ALO,13.0,121.315,SOFT
ALO,14.0,95.626,SOFT
ALO,17.0,102.928,MEDIUM
ALO,18.0,102.001,MEDIUM
ALO,19.0,102.2,MEDIUM
ALO,20.0,101.63,MEDIUM
ALO,21.0,101.844,MEDIUM
ALO,22.0,100.999,MEDIUM
ALO,23.0,101.346,MEDIUM
ALO,24.0,125.359,MEDIUM
ALO,25.0,140.618,MEDIUM
LEC,2.0,111.897,MEDIUM
LEC,3.0,103.68,MEDIUM
LEC,4.0,96.587,MEDIUM
LEC,5.0,110.459,MEDIUM
LEC,6.0,95.531,MEDIUM
LEC,7.0,108.497,MEDIUM
LEC,8.0,94.605,MEDIUM
LEC,9.0,106.175,MEDIUM
LEC,10.0,94.476,MEDIUM
LEC,11.0,123.818,MEDIUM
LEC,13.0,104.302,SOFT
LEC,14.0,102.262,SOFT
LEC,15.0,94.313,SOFT
LEC,16.0,105.259,SOFT
LEC,17.0,130.766,SOFT
LEC,20.0,98.41,MEDIUM
LEC,21.0,98.363,MEDIUM
LEC,22.0,97.967,MEDIUM
LEC,23.0,99.488,MEDIUM
LEC,24.0,99.466,MEDIUM
LEC,25.0,107.425,MEDIUM
LEC,26.0,98.607,MEDIUM
LEC,27.0,101.037,MEDIUM
LEC,28.0,145.42,MEDIUM
LEC,29.0,139.025,MEDIUM
STR,2.0,100.683,MEDIUM
STR,3.0,97.648,MEDIUM
STR,4.0,121.634,MEDIUM
STR,5.0,96.889,MEDIUM
STR,6.0,96.497,MEDIUM
STR,7.0,111.706,MEDIUM
STR,9.0,107.171,SOFT
STR,10.0,107.242,SOFT
STR,11.0,95.625,SOFT
STR,12.0,122.361,SOFT
STR,13.0,95.251,SOFT
STR,14.0,117.185,SOFT
STR,16.0,100.579,MEDIUM
STR,17.0,108.196,MEDIUM
STR,18.0,100.372,MEDIUM
STR,19.0,99.561,MEDIUM
STR,20.0,99.971,MEDIUM
STR,21.0,101.396,MEDIUM
STR,22.0,101.418,MEDIUM
STR,23.0,108.378,MEDIUM
STR,24.0,125.248,SOFT
STR,25.0,98.991,SOFT
STR,26.0,132.784,SOFT
STR,27.0,141.986,SOFT
MAG,2.0,97.711,MEDIUM
MAG,3.0,135.941,MEDIUM
MAG,4.0,117.777,MEDIUM
MAG,6.0,101.984,SOFT
MAG,7.0,94.927,SOFT
MAG,8.0,144.796,SOFT
MAG,11.0,103.537,SOFT
MAG,12.0,94.686,SOFT
MAG,13.0,114.371,SOFT
MAG,15.0,100.007,SOFT
MAG,16.0,100.324,SOFT
MAG,17.0,103.831,SOFT
MAG,18.0,99.372,SOFT
MAG,19.0,124.499,SOFT
MAG,20.0,131.856,SOFT
TSU,2.0,98.32,MEDIUM
TSU,3.0,120.925,MEDIUM
TSU,4.0,96.379,MEDIUM
TSU,5.0,136.531,MEDIUM
TSU,6.0,141.268,MEDIUM
TSU,7.0,95.922,MEDIUM
TSU,8.0,125.766,MEDIUM
TSU,10.0,94.997,SOFT
TSU,11.0,137.354,SOFT
TSU,14.0,100.35,MEDIUM
TSU,15.0,100.047,MEDIUM
TSU,16.0,99.831,MEDIUM
TSU,17.0,99.011,MEDIUM
TSU,18.0,99.019,MEDIUM
TSU,19.0,100.198,MEDIUM
TSU,20.0,100.444,MEDIUM
TSU,21.0,100.233,MEDIUM
TSU,22.0,129.877,MEDIUM
TSU,23.0,148.849,MEDIUM
ALB,2.0,99.629,MEDIUM
ALB,3.0,109.787,MEDIUM
ZHO,2.0,102.753,MEDIUM
ZHO,3.0,130.24,MEDIUM
ZHO,4.0,98.761,MEDIUM
ZHO,5.0,128.333,MEDIUM
ZHO,6.0,97.639,MEDIUM
ZHO,7.0,136.069,MEDIUM
ZHO,8.0,110.635,MEDIUM
ZHO,9.0,119.454,MEDIUM
ZHO,11.0,108.595,SOFT
ZHO,12.0,96.066,SOFT
ZHO,13.0,129.472,SOFT
ZHO,14.0,95.765,SOFT
ZHO,15.0,119.996,SOFT
ZHO,16.0,130.312,SOFT
ZHO,18.0,132.11,MEDIUM
ZHO,19.0,102.0,MEDIUM
ZHO,20.0,100.731,MEDIUM
ZHO,21.0,100.503,MEDIUM
ZHO,22.0,100.698,MEDIUM
ZHO,23.0,100.509,MEDIUM
ZHO,24.0,101.082,MEDIUM
ZHO,25.0,99.591,MEDIUM
ZHO,26.0,100.632,MEDIUM
ZHO,27.0,128.071,MEDIUM
ZHO,28.0,133.333,MEDIUM
HUL,2.0,103.038,MEDIUM
HUL,3.0,96.402,MEDIUM
HUL,4.0,130.566,MEDIUM
HUL,5.0,96.28,MEDIUM
HUL,6.0,123.991,MEDIUM
HUL,8.0,94.818,SOFT
HUL,10.0,111.937,SOFT
HUL,11.0,121.69,SOFT
HUL,14.0,99.964,MEDIUM
HUL,15.0,98.806,MEDIUM
HUL,16.0,99.163,MEDIUM
HUL,17.0,99.006,MEDIUM
HUL,18.0,99.13,MEDIUM
HUL,19.0,100.066,MEDIUM
HUL,20.0,99.505,MEDIUM
HUL,21.0,99.82,MEDIUM
HUL,22.0,100.282,MEDIUM
HUL,23.0,130.555,MEDIUM
HUL,24.0,142.093,MEDIUM
LAW,2.0,120.888,MEDIUM
LAW,3.0,104.737,MEDIUM
LAW,4.0,119.015,MEDIUM
LAW,5.0,97.008,MEDIUM
LAW,6.0,122.431,MEDIUM
LAW,7.0,96.719,MEDIUM
LAW,8.0,117.818,MEDIUM
LAW,10.0,95.852,SOFT
LAW,11.0,125.372,SOFT
LAW,12.0,95.671,SOFT
LAW,15.0,100.38,MEDIUM
LAW,16.0,100.182,MEDIUM
LAW,17.0,100.025,MEDIUM
LAW,18.0,100.478,MEDIUM
LAW,19.0,99.693,MEDIUM
LAW,20.0,101.544,MEDIUM
LAW,21.0,101.984,MEDIUM
LAW,22.0,102.547,MEDIUM
LAW,23.0,145.835,MEDIUM
LAW,24.0,148.103,MEDIUM
OCO,2.0,106.201,MEDIUM
