Driver,LapNumber,LapTime,Compound
RUS,2.0,99.077,MEDIUM
RUS,3.0,98.864,MEDIUM
RUS,4.0,98.748,MEDIUM
RUS,5.0,98.136,MEDIUM
RUS,6.0,98.33,MEDIUM
RUS,7.0,98.498,MEDIUM
RUS,8.0,98.353,MEDIUM
RUS,9.0,98.751,MEDIUM
RUS,10.0,98.681,MEDIUM
RUS,11.0,98.689,MEDIUM
RUS,12.0,103.522,MEDIUM
RUS,13.0,114.754,HARD
RUS,14.0,98.296,HARD
RUS,15.0,98.331,HARD
RUS,16.0,97.913,HARD
RUS,17.0,97.869,HARD
RUS,18.0,97.964,HARD
RUS,19.0,98.003,HARD
RUS,20.0,97.733,HARD
RUS,21.0,97.359,HARD
RUS,22.0,97.556,HARD
RUS,23.0,97.73,HARD
RUS,24.0,97.576,HARD
RUS,25.0,97.724,HARD
RUS,26.0,97.467,HARD
RUS,27.0,97.609,HARD
RUS,28.0,97.896,HARD
RUS,29.0,97.556,HARD
RUS,30.0,97.544,HARD
RUS,31.0,97.801,HARD
RUS,32.0,102.229,HARD
RUS,33.0,113.703,HARD
RUS,34.0,97.621,HARD
RUS,35.0,97.246,HARD
RUS,36.0,97.021,HARD
RUS,37.0,96.844,HARD
RUS,38.0,96.407,HARD
RUS,39.0,96.275,HARD
RUS,40.0,96.358,HARD
RUS,41.0,96.559,HARD
RUS,42.0,96.344,HARD
RUS,43.0,95.951,HARD
RUS,44.0,95.946,HARD
RUS,45.0,96.057,HARD
RUS,46.0,95.717,HARD
RUS,47.0,96.36,HARD
RUS,48.0,96.663,HARD
RUS,49.0,97.204,HARD
RUS,50.0,97.867,HARD
SAI,2.0,99.466,MEDIUM
SAI,3.0,98.581,MEDIUM
SAI,4.0,98.537,MEDIUM
SAI,5.0,98.394,MEDIUM
SAI,6.0,98.708,MEDIUM
SAI,7.0,99.042,MEDIUM
SAI,8.0,99.584,MEDIUM
SAI,9.0,100.512,MEDIUM
SAI,10.0,106.562,MEDIUM
SAI,11.0,114.659,HARD
SAI,12.0,100.794,HARD
SAI,13.0,99.627,HARD
SAI,14.0,97.921,HARD
SAI,15.0,98.22,HARD
SAI,16.0,98.868,HARD
SAI,17.0,97.967,HARD
SAI,18.0,98.076,HARD
SAI,19.0,97.763,HARD
SAI,20.0,97.774,HARD
SAI,21.0,97.546,HARD
SAI,22.0,97.514,HARD
SAI,23.0,97.477,HARD
SAI,24.0,97.919,HARD
SAI,25.0,97.944,HARD
SAI,26.0,98.321,HARD
SAI,27.0,101.611,HARD
SAI,28.0,103.655,HARD
SAI,29.0,113.088,HARD
SAI,30.0,97.353,HARD
SAI,31.0,96.973,HARD
SAI,32.0,97.397,HARD
SAI,33.0,97.524,HARD
SAI,34.0,97.146,HARD
SAI,35.0,96.641,HARD
SAI,36.0,96.519,HARD
SAI,37.0,96.509,HARD
SAI,38.0,96.125,HARD
SAI,39.0,96.196,HARD
SAI,40.0,96.043,HARD
SAI,41.0,96.507,HARD
SAI,42.0,96.223,HARD
SAI,43.0,96.302,HARD
SAI,44.0,95.875,HARD
SAI,45.0,96.34,HARD
SAI,46.0,96.139,HARD
SAI,47.0,95.88,HARD
SAI,48.0,96.015,HARD
SAI,49.0,96.467,HARD
SAI,50.0,96.759,HARD
GAS,2.0,99.956,MEDIUM
GAS,3.0,99.234,MEDIUM
GAS,4.0,99.635,MEDIUM
GAS,5.0,99.24,MEDIUM
GAS,6.0,99.408,MEDIUM
GAS,7.0,99.668,MEDIUM
GAS,8.0,101.258,MEDIUM
GAS,9.0,101.862,MEDIUM
GAS,10.0,106.263,MEDIUM
GAS,11.0,116.714,HARD
GAS,12.0,98.621,HARD
GAS,13.0,98.314,HARD
GAS,14.0,100.248,HARD
GAS,15.0,111.222,HARD
LEC,2.0,99.333,MEDIUM
LEC,3.0,98.329,MEDIUM
LEC,4.0,98.501,MEDIUM
LEC,5.0,99.177,MEDIUM
LEC,6.0,98.652,MEDIUM
LEC,7.0,100.006,MEDIUM
LEC,8.0,101.841,MEDIUM
LEC,9.0,107.546,MEDIUM
LEC,10.0,114.299,HARD
LEC,11.0,98.818,HARD
LEC,12.0,99.962,HARD
LEC,13.0,99.948,HARD
LEC,14.0,98.893,HARD
LEC,15.0,98.237,HARD
LEC,16.0,98.316,HARD
LEC,17.0,99.487,HARD
LEC,18.0,98.251,HARD
LEC,19.0,97.978,HARD
LEC,20.0,97.295,HARD
LEC,21.0,97.448,HARD
