Driver,LapNumber,LapTime,Compound
VER,2.0,86.338,MEDIUM
VER,3.0,146.883,MEDIUM
VER,4.0,85.612,MEDIUM
VER,5.0,122.462,MEDIUM
VER,6.0,130.433,MEDIUM
VER,7.0,83.885,MEDIUM
VER,8.0,105.643,MEDIUM
VER,10.0,89.484,MEDIUM
VER,11.0,89.442,MEDIUM
VER,12.0,88.867,MEDIUM
VER,13.0,88.64,MEDIUM
VER,14.0,88.158,MEDIUM
VER,15.0,88.14,MEDIUM
VER,16.0,87.948,MEDIUM
VER,17.0,87.52,MEDIUM
VER,18.0,86.984,MEDIUM
VER,19.0,87.033,MEDIUM
VER,20.0,100.208,MEDIUM
VER,22.0,83.213,SOFT
VER,23.0,133.123,SOFT
VER,25.0,114.828,MEDIUM
VER,26.0,123.43,MEDIUM
NOR,2.0,86.791,MEDIUM
NOR,3.0,137.436,MEDIUM
NOR,4.0,84.977,MEDIUM
NOR,5.0,144.085,MEDIUM
NOR,6.0,84.063,MEDIUM
NOR,7.0,122.344,MEDIUM
NOR,9.0,97.035,MEDIUM
NOR,10.0,103.003,MEDIUM
NOR,11.0,83.726,MEDIUM
NOR,12.0,88.679,MEDIUM
NOR,13.0,85.223,MEDIUM
NOR,14.0,85.825,MEDIUM
NOR,15.0,84.759,MEDIUM
NOR,16.0,86.613,MEDIUM
NOR,17.0,87.796,MEDIUM
NOR,19.0,106.983,SOFT
NOR,20.0,82.378,SOFT
NOR,21.0,96.617,SOFT
NOR,23.0,120.232,MEDIUM
NOR,24.0,140.793,MEDIUM
GAS,2.0,89.978,MEDIUM
GAS,3.0,125.742,MEDIUM
GAS,4.0,144.608,MEDIUM
GAS,5.0,85.652,MEDIUM
GAS,6.0,126.691,MEDIUM
GAS,7.0,84.819,MEDIUM
GAS,8.0,137.235,MEDIUM
GAS,9.0,108.009,MEDIUM
GAS,10.0,83.924,MEDIUM
GAS,11.0,125.541,MEDIUM
GAS,13.0,94.732,MEDIUM
GAS,14.0,106.487,MEDIUM
GAS,15.0,83.729,MEDIUM
GAS,16.0,87.06,MEDIUM
GAS,17.0,86.65,MEDIUM
GAS,18.0,85.929,MEDIUM
GAS,19.0,85.853,MEDIUM
GAS,20.0,85.561,MEDIUM
GAS,21.0,85.501,MEDIUM
GAS,22.0,86.491,MEDIUM
GAS,23.0,104.244,MEDIUM
GAS,25.0,83.62,MEDIUM
GAS,26.0,115.536,MEDIUM
GAS,27.0,131.919,MEDIUM
GAS,28.0,126.964,MEDIUM
PER,2.0,87.455,MEDIUM
PER,3.0,145.836,MEDIUM
PER,4.0,86.05,MEDIUM
PER,5.0,131.577,MEDIUM
PER,6.0,136.973,MEDIUM
PER,7.0,84.995,MEDIUM
PER,8.0,143.454,MEDIUM
PER,9.0,88.418,MEDIUM
PER,10.0,126.994,MEDIUM
PER,12.0,88.71,MEDIUM
PER,13.0,88.275,MEDIUM
PER,14.0,88.399,MEDIUM
PER,15.0,88.128,MEDIUM
PER,16.0,91.087,MEDIUM
PER,17.0,87.494,MEDIUM
PER,18.0,87.506,MEDIUM
PER,19.0,86.695,MEDIUM
PER,20.0,103.695,MEDIUM
PER,22.0,84.039,SOFT
PER,23.0,138.13,SOFT
PER,25.0,118.924,MEDIUM
ALO,2.0,89.988,MEDIUM
ALO,3.0,124.856,MEDIUM
ALO,4.0,86.024,MEDIUM
ALO,5.0,127.854,MEDIUM
ALO,6.0,118.951,MEDIUM
ALO,7.0,109.401,MEDIUM
ALO,8.0,85.215,MEDIUM
ALO,9.0,124.443,MEDIUM
ALO,11.0,84.762,MEDIUM
ALO,12.0,135.593,MEDIUM
ALO,13.0,84.159,MEDIUM
ALO,14.0,124.222,MEDIUM
ALO,15.0,85.981,MEDIUM
ALO,16.0,85.814,MEDIUM
ALO,17.0,86.661,MEDIUM
ALO,18.0,97.612,MEDIUM
ALO,20.0,83.227,SOFT
ALO,21.0,130.932,SOFT
ALO,23.0,118.28,MEDIUM
LEC,2.0,90.15,HARD
LEC,3.0,87.395,HARD
LEC,4.0,123.4,HARD
LEC,5.0,85.486,HARD
LEC,7.0,85.304,HARD
LEC,8.0,124.064,HARD
LEC,9.0,83.702,HARD
LEC,10.0,117.192,HARD
LEC,11.0,140.05,MEDIUM
LEC,13.0,113.919,HARD
LEC,14.0,83.419,HARD
LEC,15.0,113.142,HARD
LEC,16.0,86.014,HARD
LEC,17.0,86.464,HARD
LEC,18.0,85.399,HARD
LEC,19.0,98.621,HARD
LEC,20.0,84.029,HARD
LEC,21.0,90.28,HARD
LEC,22.0,135.022,MEDIUM
LEC,24.0,82.242,SOFT
LEC,25.0,129.416,SOFT
LEC,26.0,140.905,SOFT
LEC,27.0,81.953,SOFT
LEC,28.0,102.718,SOFT
LEC,29.0,115.154,SOFT
LEC,30.0,129.07,SOFT
STR,2.0,89.24,MEDIUM
STR,3.0,129.164,MEDIUM
STR,4.0,86.71,MEDIUM
STR,5.0,128.571,MEDIUM
STR,6.0,85.733,MEDIUM
STR,7.0,129.165,MEDIUM
STR,8.0,85.682,MEDIUM
STR,9.0,126.823,MEDIUM
STR,11.0,85.434,MEDIUM
STR,12.0,126.544,MEDIUM
STR,13.0,85.056,MEDIUM
STR,14.0,87.495,MEDIUM
STR,15.0,87.446,MEDIUM
STR,16.0,85.825,MEDIUM
STR,17.0,85.446,MEDIUM
STR,18.0,95.336,MEDIUM
STR,20.0,83.099,SOFT
STR,21.0,139.619,SOFT
STR,23.0,116.111,MEDIUM
MAG,2.0,88.557,MEDIUM
MAG,4.0,86.845,MEDIUM
MAG,6.0,85.7,MEDIUM
MAG,7.0,139.267,MEDIUM
MAG,8.0,117.549,MEDIUM
MAG,10.0,85.472,MEDIUM
MAG,11.0,141.601,MEDIUM
MAG,12.0,85.389,MEDIUM
MAG,13.0,143.576,MEDIUM
MAG,14.0,87.276,MEDIUM
MAG,15.0,86.342,MEDIUM
MAG,16.0,86.359,MEDIUM
MAG,17.0,85.976,MEDIUM
MAG,18.0,86.375,MEDIUM
MAG,19.0,90.861,MEDIUM
MAG,21.0,129.997,SOFT
MAG,22.0,116.769,SOFT
MAG,23.0,83.729,SOFT
MAG,24.0,125.854,SOFT
MAG,25.0,83.715,SOFT
MAG,26.0,107.07,SOFT
