Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,24.564
PER,0.6666666666666666,15.598
ALO,0.6666666666666666,17.032
LEC,0.6666666666666666,10.783
STR,0.6666666666666666,31.151
MAG,0.6666666666666666,23.899
TSU,0.6666666666666666,23.267
ALB,0.6666666666666666,33.703
ZHO,0.6666666666666666,29.876
HUL,0.6666666666666666,45.079
LAW,0.6666666666666666,27.04
OCO,0.6666666666666666,
NOR,0.6666666666666666,2.497
COL,0.6666666666666666,
HAM,0.6666666666666666,20.628
SAI,0.6666666666666666,14.299
RUS,0.6666666666666666,6.2379999999999995
BOT,0.6666666666666666,26.145
PIA,0.6666666666666666,12.453
VER,1.0,0.0
GAS,1.0,19.533
PER,1.0,8.936
ALO,1.0,11.971
LEC,1.0,6.063
STR,1.0,25.4
MAG,1.0,18.645
TSU,1.0,16.397
ALB,1.0,24.004
ZHO,1.0,22.677
HUL,1.0,53.905
LAW,1.0,22.008
OCO,1.0,
NOR,1.0,2.273
COL,1.0,
HAM,1.0,12.873
SAI,1.0,8.055
RUS,1.0,4.239
BOT,1.0,20.776
PIA,1.0,7.193
VER,1.3333333333333333,0.0
GAS,1.3333333333333333,15.568
PER,1.3333333333333333,6.693
ALO,1.3333333333333333,8.061
LEC,1.3333333333333333,4.272
STR,1.3333333333333333,33.915
MAG,1.3333333333333333,14.841
TSU,1.3333333333333333,11.547
ALB,1.3333333333333333,20.684
ZHO,1.3333333333333333,19.398
HUL,1.3333333333333333,64.788
LAW,1.3333333333333333,18.245
NOR,1.3333333333333333,1.621
HAM,1.3333333333333333,8.654
SAI,1.3333333333333333,6.065
RUS,1.3333333333333333,3.27
BOT,1.3333333333333333,17.496
PIA,1.3333333333333333,4.866
VER,1.6666666666666665,0.0
GAS,1.6666666666666665,17.559
PER,1.6666666666666665,8.279
ALO,1.6666666666666665,9.671
LEC,1.6666666666666665,4.417
STR,1.6666666666666665,25.118
MAG,1.6666666666666665,16.793
TSU,1.6666666666666665,15.471
ALB,1.6666666666666665,22.642
ZHO,1.6666666666666665,21.848
HUL,1.6666666666666665,52.789
LAW,1.6666666666666665,20.845
NOR,1.6666666666666665,1.164
HAM,1.6666666666666665,12.412
SAI,1.6666666666666665,7.635
RUS,1.6666666666666665,3.118
BOT,1.6666666666666665,19.11
PIA,1.6666666666666665,6.173
VER,2.0,0.0
GAS,2.0,22.127
PER,2.0,11.317
ALO,2.0,13.029
LEC,2.0,6.934
STR,2.0,31.254
MAG,2.0,20.666
TSU,2.0,18.484
ALB,2.0,29.085
ZHO,2.0,27.306
HUL,2.0,39.769
LAW,2.0,26.04
NOR,2.0,2.387
HAM,2.0,15.73
SAI,2.0,10.108
RUS,2.0,4.384
BOT,2.0,23.894
PIA,2.0,8.832
VER,2.3333333333333335,0.0
GAS,2.3333333333333335,17.506
PER,2.3333333333333335,8.768
ALO,2.3333333333333335,10.264
LEC,2.3333333333333335,5.1
STR,2.3333333333333335,24.202
MAG,2.3333333333333335,16.442
TSU,2.3333333333333335,14.388
ALB,2.3333333333333335,21.929
ZHO,2.3333333333333335,21.365
HUL,2.3333333333333335,25.435
LAW,2.3333333333333335,20.12
NOR,2.3333333333333335,0.976
HAM,2.3333333333333335,11.918
SAI,2.3333333333333335,7.546
RUS,2.3333333333333335,3.318
BOT,2.3333333333333335,18.904
PIA,2.3333333333333335,6.478
VER,2.6666666666666665,0.0
GAS,2.6666666666666665,17.246
PER,2.6666666666666665,8.553
ALO,2.6666666666666665,9.778
LEC,2.6666666666666665,3.805
STR,2.6666666666666665,23.974
MAG,2.6666666666666665,15.656
TSU,2.6666666666666665,13.849
ALB,2.6666666666666665,22.603
ZHO,2.6666666666666665,21.617
HUL,2.6666666666666665,25.565
LAW,2.6666666666666665,20.34
NOR,2.6666666666666665,0.676
HAM,2.6666666666666665,11.096
SAI,2.6666666666666665,6.133
RUS,2.6666666666666665,2.534
BOT,2.6666666666666665,18.767
PIA,2.6666666666666665,4.63
VER,3.0,0.0
GAS,3.0,24.246
PER,3.0,12.194
ALO,3.0,13.854
LEC,3.0,7.032
STR,3.0,30.784
MAG,3.0,21.973
TSU,3.0,19.591
ALB,3.0,29.165
ZHO,3.0,28.247
HUL,3.0,34.018
LAW,3.0,27.046
NOR,3.0,2.6189999999999998
HAM,3.0,17.27
SAI,3.0,10.712
RUS,3.0,4.72
BOT,3.0,25.322
PIA,3.0,9.149
VER,3.3333333333333335,0.0
GAS,3.3333333333333335,16.957
PER,3.3333333333333335,9.072
ALO,3.3333333333333335,10.509
LEC,3.3333333333333335,4.464
STR,3.3333333333333335,23.392
MAG,3.3333333333333335,15.813
TSU,3.3333333333333335,13.565
ALB,3.3333333333333335,21.178
ZHO,3.3333333333333335,20.497
HUL,3.3333333333333335,26.249
LAW,3.3333333333333335,19.109
NOR,3.3333333333333335,0.458
HAM,3.3333333333333335,11.914
SAI,3.3333333333333335,7.4879999999999995
RUS,3.3333333333333335,3.047
BOT,3.3333333333333335,18.211
PIA,3.3333333333333335,6.443
VER,3.6666666666666665,0.0
GAS,3.6666666666666665,14.456
PER,3.6666666666666665,8.025
ALO,3.6666666666666665,9.123
LEC,3.6666666666666665,3.893
STR,3.6666666666666665,20.551
MAG,3.6666666666666665,13.350999999999999
TSU,3.6666666666666665,13.005
ALB,3.6666666666666665,18.531
ZHO,3.6666666666666665,17.33
HUL,3.6666666666666665,22.079
LAW,3.6666666666666665,16.753
NOR,3.6666666666666665,0.705
HAM,3.6666666666666665,10.773
SAI,3.6666666666666665,6.655
RUS,3.6666666666666665,2.94
BOT,3.6666666666666665,15.5
PIA,3.6666666666666665,4.973
VER,4.0,0.0
GAS,4.0,4.131
PER,4.0,2.564
ALO,4.0,2.992
LEC,4.0,1.387
STR,4.0,6.681
MAG,4.0,3.693
TSU,4.0,3.357
ALB,4.0,5.789
ZHO,4.0,5.339
HUL,4.0,6.895
LAW,4.0,4.693
NOR,4.0,0.479
HAM,4.0,3.084
SAI,4.0,1.996
RUS,4.0,0.708
BOT,4.0,4.566
PIA,4.0,1.572
VER,4.333333333333333,0.0
GAS,4.333333333333333,6.276
PER,4.333333333333333,4.099
ALO,4.333333333333333,5.386
LEC,4.333333333333333,2.903
STR,4.333333333333333,10.594
MAG,4.333333333333333,5.878
TSU,4.333333333333333,5.013
ALB,4.333333333333333,7.717
ZHO,4.333333333333333,6.701
HUL,4.333333333333333,8.339
LAW,4.333333333333333,13.965
NOR,4.333333333333333,0.876
HAM,4.333333333333333,4.606
SAI,4.333333333333333,3.357
RUS,4.333333333333333,1.538
BOT,4.333333333333333,7.548
PIA,4.333333333333333,2.257
VER,4.666666666666667,0.0
GAS,4.666666666666667,7.552
PER,4.666666666666667,4.93
ALO,4.666666666666667,6.476
LEC,4.666666666666667,3.6630000000000003
STR,4.666666666666667,12.114
MAG,4.666666666666667,7.094
TSU,4.666666666666667,6.061
ALB,4.666666666666667,9.237
ZHO,4.666666666666667,7.9879999999999995
HUL,4.666666666666667,10.198
LAW,4.666666666666667,14.922
NOR,4.666666666666667,1.016
HAM,4.666666666666667,5.42
SAI,4.666666666666667,4.285
RUS,4.666666666666667,2.029
BOT,4.666666666666667,8.618
PIA,4.666666666666667,2.575
VER,5.0,0.0
GAS,5.0,8.943
PER,5.0,5.501
ALO,5.0,8.765
LEC,5.0,3.976
STR,5.0,13.591
MAG,5.0,7.97
TSU,5.0,6.784
ALB,5.0,10.322
ZHO,5.0,9.243
HUL,5.0,11.839
LAW,5.0,15.43
NOR,5.0,0.969
HAM,5.0,5.944
SAI,5.0,4.7379999999999995
RUS,5.0,2.043
BOT,5.0,9.977
PIA,5.0,2.5620000000000003
VER,5.333333333333333,0.0
GAS,5.333333333333333,9.528
PER,5.333333333333333,6.138
ALO,5.333333333333333,9.888
LEC,5.333333333333333,4.395
STR,5.333333333333333,15.55
MAG,5.333333333333333,8.850999999999999
TSU,5.333333333333333,7.828
ALB,5.333333333333333,11.831
ZHO,5.333333333333333,10.499
HUL,5.333333333333333,13.203
LAW,5.333333333333333,16.16
NOR,5.333333333333333,1.156
HAM,5.333333333333333,6.773
SAI,5.333333333333333,5.188
RUS,5.333333333333333,2.3529999999999998
BOT,5.333333333333333,11.201
PIA,5.333333333333333,3.05
VER,5.666666666666667,0.0
GAS,5.666666666666667,10.249
PER,5.666666666666667,6.755
ALO,5.666666666666667,10.778
LEC,5.666666666666667,4.753
STR,5.666666666666667,16.729
MAG,5.666666666666667,9.457
TSU,5.666666666666667,8.564
ALB,5.666666666666667,12.915
ZHO,5.666666666666667,11.413
HUL,5.666666666666667,14.62
LAW,5.666666666666667,17.338
NOR,5.666666666666667,1.308
HAM,5.666666666666667,7.411
SAI,5.666666666666667,5.539
RUS,5.666666666666667,2.434
BOT,5.666666666666667,12.074
PIA,5.666666666666667,3.39
VER,6.0,0.0
GAS,6.0,10.859
PER,6.0,6.826
ALO,6.0,11.307
LEC,6.0,5.03
STR,6.0,18.024
MAG,6.0,10.001
TSU,6.0,8.961
ALB,6.0,13.741
ZHO,6.0,11.999
HUL,6.0,16.019
LAW,6.0,18.476
NOR,6.0,1.15
HAM,6.0,7.526
SAI,6.0,5.87
RUS,6.0,2.338
BOT,6.0,12.875
PIA,6.0,3.08
VER,6.333333333333333,0.0
GAS,6.333333333333333,11.318
PER,6.333333333333333,7.08
ALO,6.333333333333333,11.765
LEC,6.333333333333333,5.127
STR,6.333333333333333,20.364
MAG,6.333333333333333,10.585
TSU,6.333333333333333,9.627
ALB,6.333333333333333,14.353
ZHO,6.333333333333333,12.562
HUL,6.333333333333333,16.6
LAW,6.333333333333333,18.986
NOR,6.333333333333333,1.31
HAM,6.333333333333333,8.157
SAI,6.333333333333333,6.052
RUS,6.333333333333333,2.56
BOT,6.333333333333333,13.436
PIA,6.333333333333333,3.488
VER,6.666666666666667,0.0
GAS,6.666666666666667,11.798
PER,6.666666666666667,7.625
ALO,6.666666666666667,12.549
LEC,6.666666666666667,5.542
STR,6.666666666666667,21.691
MAG,6.666666666666667,11.091
TSU,6.666666666666667,10.361
ALB,6.666666666666667,15.159
ZHO,6.666666666666667,13.293
HUL,6.666666666666667,17.454
LAW,6.666666666666667,19.868
NOR,6.666666666666667,1.476
HAM,6.666666666666667,8.764
SAI,6.666666666666667,6.425
RUS,6.666666666666667,2.83
BOT,6.666666666666667,14.15
PIA,6.666666666666667,3.817
VER,7.0,0.0
GAS,7.0,12.221
PER,7.0,7.73
ALO,7.0,12.988
LEC,7.0,5.541
STR,7.0,27.978
MAG,7.0,11.7
TSU,7.0,10.802
ALB,7.0,15.893
ZHO,7.0,13.679
HUL,7.0,18.295
LAW,7.0,20.265
NOR,7.0,1.274
HAM,7.0,9.022
SAI,7.0,6.683
RUS,7.0,2.523
BOT,7.0,14.749
PIA,7.0,3.555
VER,7.333333333333333,0.0
GAS,7.333333333333333,12.795
PER,7.333333333333333,8.22
ALO,7.333333333333333,13.453
LEC,7.333333333333333,5.842
STR,7.333333333333333,67.323
MAG,7.333333333333333,12.212
TSU,7.333333333333333,11.604
ALB,7.333333333333333,16.824
ZHO,7.333333333333333,14.165
HUL,7.333333333333333,18.768
LAW,7.333333333333333,21.041
NOR,7.333333333333333,1.726
HAM,7.333333333333333,9.426
SAI,7.333333333333333,6.761
RUS,7.333333333333333,2.7279999999999998
BOT,7.333333333333333,15.453
PIA,7.333333333333333,3.569
VER,7.666666666666667,0.0
GAS,7.666666666666667,13.337
PER,7.666666666666667,8.824
ALO,7.666666666666667,14.156
LEC,7.666666666666667,6.282
STR,7.666666666666667,70.962
MAG,7.666666666666667,12.695
TSU,7.666666666666667,12.026
ALB,7.666666666666667,17.465
ZHO,7.666666666666667,15.003
HUL,7.666666666666667,19.447
LAW,7.666666666666667,21.738
NOR,7.666666666666667,1.896
HAM,7.666666666666667,9.708
SAI,7.666666666666667,7.308
RUS,7.666666666666667,2.866
BOT,7.666666666666667,16.224
PIA,7.666666666666667,3.916
VER,8.0,0.0
GAS,8.0,13.822
PER,8.0,8.853
ALO,8.0,14.736
LEC,8.0,6.451
STR,8.0,82.56
MAG,8.0,13.127
TSU,8.0,12.259
ALB,8.0,18.112
ZHO,8.0,15.768
HUL,8.0,20.433
LAW,8.0,22.144
NOR,8.0,1.662
HAM,8.0,9.785
SAI,8.0,7.545
RUS,8.0,2.676
BOT,8.0,16.97
PIA,8.0,3.597
VER,8.333333333333334,0.0
GAS,8.333333333333334,14.306
PER,8.333333333333334,9.350999999999999
ALO,8.333333333333334,15.122
LEC,8.333333333333334,6.6850000000000005
MAG,8.333333333333334,13.502
TSU,8.333333333333334,12.905
ALB,8.333333333333334,18.778
ZHO,8.333333333333334,16.24
HUL,8.333333333333334,20.999
LAW,8.333333333333334,22.741
NOR,8.333333333333334,1.913
HAM,8.333333333333334,9.967
SAI,8.333333333333334,7.609
RUS,8.333333333333334,2.967
BOT,8.333333333333334,17.581
PIA,8.333333333333334,3.776
VER,8.666666666666666,0.0
GAS,8.666666666666666,14.837
PER,8.666666666666666,9.796
ALO,8.666666666666666,15.824
LEC,8.666666666666666,7.03
MAG,8.666666666666666,13.996
TSU,8.666666666666666,13.454
ALB,8.666666666666666,19.399
ZHO,8.666666666666666,16.921
HUL,8.666666666666666,21.526
LAW,8.666666666666666,23.246
NOR,8.666666666666666,2.0
HAM,8.666666666666666,10.557
SAI,8.666666666666666,7.954
RUS,8.666666666666666,3.219
BOT,8.666666666666666,18.019
PIA,8.666666666666666,4.108
VER,9.0,0.0
GAS,9.0,15.202
PER,9.0,9.777
ALO,9.0,16.18
LEC,9.0,7.165
MAG,9.0,14.322
TSU,9.0,13.72
ALB,9.0,19.95
ZHO,9.0,17.646
HUL,9.0,22.045
LAW,9.0,23.604
NOR,9.0,1.806
HAM,9.0,10.568
SAI,9.0,8.139
RUS,9.0,2.974
BOT,9.0,18.625
PIA,9.0,3.8609999999999998
VER,9.333333333333334,0.0
GAS,9.333333333333334,16.162
PER,9.333333333333334,10.209
ALO,9.333333333333334,16.764
LEC,9.333333333333334,7.325
MAG,9.333333333333334,15.159
TSU,9.333333333333334,15.643
ALB,9.333333333333334,20.61
ZHO,9.333333333333334,18.111
HUL,9.333333333333334,22.67
LAW,9.333333333333334,24.65
NOR,9.333333333333334,1.925
HAM,9.333333333333334,10.927
SAI,9.333333333333334,8.217
RUS,9.333333333333334,3.164
BOT,9.333333333333334,18.993
PIA,9.333333333333334,3.92
VER,9.666666666666666,0.0
GAS,9.666666666666666,16.966
PER,9.666666666666666,10.632
ALO,9.666666666666666,17.612
LEC,9.666666666666666,7.492
MAG,9.666666666666666,15.347
TSU,9.666666666666666,16.424
ALB,9.666666666666666,21.09
ZHO,9.666666666666666,18.678
HUL,9.666666666666666,23.431
LAW,9.666666666666666,25.353
NOR,9.666666666666666,2.025
HAM,9.666666666666666,11.427
SAI,9.666666666666666,8.467
RUS,9.666666666666666,3.391
BOT,9.666666666666666,19.537
PIA,9.666666666666666,4.225
VER,10.0,0.0
GAS,10.0,17.501
PER,10.0,10.688
ALO,10.0,18.363
LEC,10.0,7.627
MAG,10.0,15.95
TSU,10.0,16.953
ALB,10.0,21.758
ZHO,10.0,19.316
HUL,10.0,24.358
LAW,10.0,25.84
NOR,10.0,1.8050000000000002
HAM,10.0,11.749
SAI,10.0,8.632
RUS,10.0,3.275
BOT,10.0,20.369
PIA,10.0,4.057
VER,10.333333333333334,0.0
GAS,10.333333333333334,18.551
PER,10.333333333333334,11.144
ALO,10.333333333333334,19.083
LEC,10.333333333333334,7.619
MAG,10.333333333333334,16.968
TSU,10.333333333333334,17.968
ALB,10.333333333333334,23.648
ZHO,10.333333333333334,19.781
HUL,10.333333333333334,25.017
LAW,10.333333333333334,26.69
NOR,10.333333333333334,1.936
HAM,10.333333333333334,12.017
SAI,10.333333333333334,8.54
RUS,10.333333333333334,3.424
BOT,10.333333333333334,21.021
PIA,10.333333333333334,4.322
VER,10.666666666666666,0.0
GAS,10.666666666666666,19.397
PER,10.666666666666666,11.574
ALO,10.666666666666666,19.986
LEC,10.666666666666666,7.958
MAG,10.666666666666666,17.447
TSU,10.666666666666666,18.762
ALB,10.666666666666666,24.512
ZHO,10.666666666666666,20.844
HUL,10.666666666666666,25.683
LAW,10.666666666666666,27.44
NOR,10.666666666666666,2.049
HAM,10.666666666666666,12.554
SAI,10.666666666666666,8.906
RUS,10.666666666666666,3.7960000000000003
BOT,10.666666666666666,21.745
PIA,10.666666666666666,4.7
VER,11.0,0.0
GAS,11.0,19.874
PER,11.0,11.668
ALO,11.0,20.808
LEC,11.0,8.2
MAG,11.0,18.641
TSU,11.0,19.319
ALB,11.0,25.202
ZHO,11.0,21.672
HUL,11.0,26.581
LAW,11.0,28.069
NOR,11.0,1.982
HAM,11.0,12.757
SAI,11.0,9.202
RUS,11.0,3.681
BOT,11.0,22.701999999999998
PIA,11.0,4.631
VER,11.333333333333334,0.0
GAS,11.333333333333334,20.803
PER,11.333333333333334,12.228
ALO,11.333333333333334,21.431
LEC,11.333333333333334,8.209
MAG,11.333333333333334,19.263
TSU,11.333333333333334,20.142
ALB,11.333333333333334,25.798000000000002
ZHO,11.333333333333334,22.343
HUL,11.333333333333334,27.561
LAW,11.333333333333334,28.9
NOR,11.333333333333334,2.071
HAM,11.333333333333334,12.95
SAI,11.333333333333334,9.259
RUS,11.333333333333334,3.8810000000000002
BOT,11.333333333333334,23.251
PIA,11.333333333333334,4.699
VER,11.666666666666666,0.0
GAS,11.666666666666666,21.453
PER,11.666666666666666,12.552
ALO,11.666666666666666,22.169
LEC,11.666666666666666,8.423
MAG,11.666666666666666,19.496
TSU,11.666666666666666,20.912
ALB,11.666666666666666,26.231
ZHO,11.666666666666666,23.015
HUL,11.666666666666666,28.139
LAW,11.666666666666666,29.798000000000002
NOR,11.666666666666666,2.17
HAM,11.666666666666666,13.321
SAI,11.666666666666666,9.498
RUS,11.666666666666666,4.022
BOT,11.666666666666666,23.915
PIA,11.666666666666666,5.118
VER,12.0,0.0
GAS,12.0,21.798000000000002
PER,12.0,12.494
ALO,12.0,22.811
LEC,12.0,8.324
MAG,12.0,20.251
TSU,12.0,21.326
ALB,12.0,26.598
ZHO,12.0,23.742
HUL,12.0,28.907
LAW,12.0,30.276
NOR,12.0,1.892
HAM,12.0,13.386
SAI,12.0,9.522
RUS,12.0,3.767
BOT,12.0,24.641
PIA,12.0,5.016
VER,12.333333333333334,0.0
GAS,12.333333333333334,22.022
PER,12.333333333333334,12.865
ALO,12.333333333333334,23.316
LEC,12.333333333333334,8.475
MAG,12.333333333333334,20.742
TSU,12.333333333333334,22.754
ALB,12.333333333333334,27.318
ZHO,12.333333333333334,24.116
HUL,12.333333333333334,29.618
LAW,12.333333333333334,31.336
NOR,12.333333333333334,1.994
HAM,12.333333333333334,13.6
SAI,12.333333333333334,9.407
RUS,12.333333333333334,3.911
BOT,12.333333333333334,25.045
PIA,12.333333333333334,5.115
VER,12.666666666666666,0.0
GAS,12.666666666666666,22.443
PER,12.666666666666666,13.289
ALO,12.666666666666666,24.047
LEC,12.666666666666666,8.707
MAG,12.666666666666666,21.158
TSU,12.666666666666666,23.614
ALB,12.666666666666666,28.019
ZHO,12.666666666666666,24.829
HUL,12.666666666666666,30.259
LAW,12.666666666666666,32.095
NOR,12.666666666666666,2.044
HAM,12.666666666666666,14.083
SAI,12.666666666666666,9.714
RUS,12.666666666666666,4.161
BOT,12.666666666666666,25.646
PIA,12.666666666666666,5.37
VER,13.0,0.0
GAS,13.0,22.941
PER,13.0,13.282
ALO,13.0,24.689
LEC,13.0,8.753
MAG,13.0,21.729
TSU,13.0,24.183
ALB,13.0,28.526
ZHO,13.0,25.558
HUL,13.0,30.972
LAW,13.0,32.708
NOR,13.0,1.843
HAM,13.0,14.057
SAI,13.0,9.805
RUS,13.0,4.106
BOT,13.0,26.551
PIA,13.0,5.208
VER,13.333333333333334,0.0
GAS,13.333333333333334,23.456
PER,13.333333333333334,13.646
ALO,13.333333333333334,24.96
LEC,13.333333333333334,8.73
MAG,13.333333333333334,22.201
TSU,13.333333333333334,25.669
ALB,13.333333333333334,29.088
ZHO,13.333333333333334,26.113
HUL,13.333333333333334,31.415
LAW,13.333333333333334,33.583
NOR,13.333333333333334,1.98
HAM,13.333333333333334,14.25
SAI,13.333333333333334,9.75
RUS,13.333333333333334,4.316
BOT,13.333333333333334,26.913
PIA,13.333333333333334,5.316
VER,13.666666666666666,0.0
GAS,13.666666666666666,23.735
PER,13.666666666666666,13.923
ALO,13.666666666666666,25.3
LEC,13.666666666666666,8.769
MAG,13.666666666666666,22.46
TSU,13.666666666666666,26.566
ALB,13.666666666666666,29.72
ZHO,13.666666666666666,27.137
HUL,13.666666666666666,31.839
LAW,13.666666666666666,34.103
NOR,13.666666666666666,2.074
HAM,13.666666666666666,14.689
SAI,13.666666666666666,10.064
RUS,13.666666666666666,4.54
BOT,13.666666666666666,27.672
PIA,13.666666666666666,5.633
VER,14.0,0.0
GAS,14.0,24.14
PER,14.0,13.953
ALO,14.0,25.679
LEC,14.0,8.600999999999999
MAG,14.0,22.906
TSU,14.0,27.203
ALB,14.0,30.239
ZHO,14.0,27.655
HUL,14.0,32.602
LAW,14.0,34.599
NOR,14.0,1.955
HAM,14.0,14.803
SAI,14.0,10.183
RUS,14.0,4.534
BOT,14.0,28.529
PIA,14.0,5.452
VER,14.333333333333334,0.0
GAS,14.333333333333334,24.566
PER,14.333333333333334,14.418
ALO,14.333333333333334,26.094
LEC,14.333333333333334,8.665
MAG,14.333333333333334,23.404
TSU,14.333333333333334,28.641
ALB,14.333333333333334,31.161
ZHO,14.333333333333334,27.958
HUL,14.333333333333334,33.282
LAW,14.333333333333334,35.704
NOR,14.333333333333334,2.045
HAM,14.333333333333334,15.056
SAI,14.333333333333334,10.326
RUS,14.333333333333334,4.707
BOT,14.333333333333334,29.214
PIA,14.333333333333334,5.51
VER,14.666666666666666,0.0
GAS,14.666666666666666,24.865
PER,14.666666666666666,14.654
ALO,14.666666666666666,26.484
LEC,14.666666666666666,8.749
MAG,14.666666666666666,23.736
TSU,14.666666666666666,29.473
ALB,14.666666666666666,31.789
ZHO,14.666666666666666,28.448
HUL,14.666666666666666,33.669
LAW,14.666666666666666,36.182
NOR,14.666666666666666,2.072
HAM,14.666666666666666,15.561
SAI,14.666666666666666,10.543
RUS,14.666666666666666,4.918
BOT,14.666666666666666,29.998
PIA,14.666666666666666,5.827
VER,15.0,0.0
GAS,15.0,25.179
PER,15.0,14.664
ALO,15.0,26.681
LEC,15.0,8.708
MAG,15.0,24.119
TSU,15.0,30.153
ALB,15.0,32.334
ZHO,15.0,28.981
HUL,15.0,34.136
LAW,15.0,36.593
NOR,15.0,1.792
HAM,15.0,15.905
SAI,15.0,10.597
RUS,15.0,4.7940000000000005
BOT,15.0,30.86
PIA,15.0,5.557
VER,15.333333333333334,0.0
GAS,15.333333333333334,25.706
PER,15.333333333333334,15.168
ALO,15.333333333333334,27.083
LEC,15.333333333333334,8.854
MAG,15.333333333333334,24.687
TSU,15.333333333333334,30.925
ALB,15.333333333333334,33.141
ZHO,15.333333333333334,29.604
HUL,15.333333333333334,34.539
LAW,15.333333333333334,37.463
NOR,15.333333333333334,1.879
HAM,15.333333333333334,16.236
SAI,15.333333333333334,10.73
RUS,15.333333333333334,4.912
BOT,15.333333333333334,31.508
PIA,15.333333333333334,5.672
VER,15.666666666666666,0.0
GAS,15.666666666666666,25.916
PER,15.666666666666666,15.367
ALO,15.666666666666666,27.571
LEC,15.666666666666666,9.053
MAG,15.666666666666666,24.833
TSU,15.666666666666666,31.513
ALB,15.666666666666666,33.617
ZHO,15.666666666666666,29.942
HUL,15.666666666666666,34.889
LAW,15.666666666666666,38.008
NOR,15.666666666666666,1.866
HAM,15.666666666666666,16.568
SAI,15.666666666666666,10.893
RUS,15.666666666666666,5.122
BOT,15.666666666666666,32.338
PIA,15.666666666666666,5.948
VER,16.0,0.0
GAS,16.0,26.274
PER,16.0,15.418
ALO,16.0,27.943
LEC,16.0,9.033
MAG,16.0,25.311
TSU,16.0,32.183
ALB,16.0,34.329
ZHO,16.0,30.541
HUL,16.0,35.428
LAW,16.0,38.502
NOR,16.0,1.6949999999999998
HAM,16.0,16.885
SAI,16.0,10.879
RUS,16.0,5.211
BOT,16.0,33.215
PIA,16.0,6.426
VER,16.333333333333332,0.0
GAS,16.333333333333332,26.625
PER,16.333333333333332,15.809
ALO,16.333333333333332,28.319
LEC,16.333333333333332,9.169
MAG,16.333333333333332,25.728
TSU,16.333333333333332,33.054
ALB,16.333333333333332,34.973
ZHO,16.333333333333332,31.168
HUL,16.333333333333332,36.163
LAW,16.333333333333332,39.284
NOR,16.333333333333332,1.7890000000000001
HAM,16.333333333333332,17.167
SAI,16.333333333333332,11.015
RUS,16.333333333333332,5.259
BOT,16.333333333333332,33.885
PIA,16.333333333333332,6.775
VER,16.666666666666668,0.0
GAS,16.666666666666668,26.948
PER,16.666666666666668,15.948
ALO,16.666666666666668,28.766
LEC,16.666666666666668,9.34
MAG,16.666666666666668,25.89
TSU,16.666666666666668,33.575
ALB,16.666666666666668,35.692
ZHO,16.666666666666668,31.594
HUL,16.666666666666668,36.791
LAW,16.666666666666668,39.879
NOR,16.666666666666668,1.7730000000000001
HAM,16.666666666666668,17.459
SAI,16.666666666666668,11.263
RUS,16.666666666666668,5.459
BOT,16.666666666666668,34.349
PIA,16.666666666666668,6.994
