Driver,LapNumber,LapTime,Compound
VER,1.0,111.344,MEDIUM
VER,2.0,141.257,MEDIUM
VER,3.0,137.39,MEDIUM
VER,5.0,86.724,MEDIUM
VER,6.0,86.502,MEDIUM
VER,7.0,86.376,MEDIUM
VER,8.0,86.28,MEDIUM
VER,9.0,86.2,MEDIUM
VER,10.0,85.973,MEDIUM
VER,11.0,85.808,MEDIUM
VER,12.0,85.903,MEDIUM
VER,13.0,85.843,MEDIUM
VER,14.0,85.812,MEDIUM
VER,15.0,85.698,MEDIUM
VER,16.0,85.605,MEDIUM
VER,17.0,85.46,MEDIUM
VER,18.0,85.079,MEDIUM
VER,19.0,85.309,MEDIUM
VER,20.0,84.896,MEDIUM
VER,21.0,84.97,MEDIUM
VER,22.0,84.908,MEDIUM
VER,23.0,84.856,MEDIUM
VER,24.0,84.825,MEDIUM
VER,25.0,84.702,MEDIUM
VER,26.0,84.775,MEDIUM
VER,27.0,84.72,MEDIUM
VER,28.0,84.719,MEDIUM
VER,29.0,84.861,MEDIUM
VER,30.0,85.127,MEDIUM
VER,31.0,84.413,MEDIUM
VER,32.0,84.427,MEDIUM
VER,33.0,84.35,MEDIUM
VER,34.0,84.468,MEDIUM
VER,35.0,92.307,MEDIUM
VER,39.0,146.153,HARD
VER,40.0,99.436,HARD
VER,41.0,136.076,HARD
VER,42.0,149.083,HARD
VER,43.0,84.509,HARD
VER,44.0,83.533,HARD
VER,45.0,83.393,HARD
VER,46.0,83.37,HARD
VER,47.0,83.303,HARD
VER,48.0,83.423,HARD
VER,49.0,83.468,HARD
VER,50.0,83.321,HARD
VER,51.0,83.043,HARD
VER,52.0,83.162,HARD
VER,53.0,83.132,HARD
VER,54.0,83.006,HARD
VER,55.0,82.905,HARD
VER,56.0,83.369,HARD
VER,57.0,83.776,HARD
GAS,1.0,130.912,MEDIUM
GAS,2.0,143.807,MEDIUM
GAS,3.0,139.509,MEDIUM
GAS,4.0,133.088,MEDIUM
GAS,5.0,91.425,MEDIUM
GAS,6.0,88.418,MEDIUM
GAS,7.0,87.738,MEDIUM
GAS,8.0,87.881,MEDIUM
GAS,9.0,87.58,MEDIUM
GAS,10.0,88.272,MEDIUM
GAS,11.0,88.181,MEDIUM
GAS,12.0,87.827,MEDIUM
GAS,13.0,86.986,MEDIUM
GAS,14.0,87.011,MEDIUM
GAS,15.0,86.737,MEDIUM
GAS,16.0,86.7,MEDIUM
GAS,17.0,86.514,MEDIUM
GAS,18.0,86.694,MEDIUM
GAS,19.0,86.696,MEDIUM
GAS,20.0,86.369,MEDIUM
GAS,21.0,86.946,MEDIUM
GAS,22.0,86.453,MEDIUM
GAS,23.0,86.298,MEDIUM
GAS,24.0,86.235,MEDIUM
GAS,25.0,86.174,MEDIUM
GAS,26.0,86.12,MEDIUM
GAS,27.0,85.969,MEDIUM
GAS,28.0,85.533,MEDIUM
GAS,29.0,85.588,MEDIUM
GAS,30.0,85.344,MEDIUM
GAS,31.0,85.335,MEDIUM
GAS,32.0,85.331,MEDIUM
GAS,33.0,85.122,MEDIUM
GAS,34.0,85.622,MEDIUM
GAS,35.0,111.497,MEDIUM
GAS,36.0,142.16,HARD
GAS,37.0,141.304,HARD
GAS,38.0,146.588,HARD
GAS,39.0,139.279,HARD
GAS,40.0,108.476,HARD
GAS,41.0,133.101,HARD
GAS,42.0,143.945,HARD
GAS,43.0,87.285,HARD
GAS,44.0,85.421,HARD
GAS,45.0,84.508,HARD
GAS,46.0,84.238,HARD
GAS,47.0,84.097,HARD
GAS,48.0,84.156,HARD
GAS,49.0,83.942,HARD
GAS,50.0,83.866,HARD
GAS,51.0,83.904,HARD
GAS,52.0,84.057,HARD
GAS,53.0,83.984,HARD
GAS,54.0,84.082,HARD
GAS,55.0,84.158,HARD
GAS,56.0,83.705,HARD
GAS,57.0,83.937,HARD
PER,1.0,120.204,MEDIUM
PER,2.0,143.708,MEDIUM
PER,3.0,138.267,MEDIUM
PER,4.0,143.573,MEDIUM
PER,5.0,89.55,MEDIUM
PER,6.0,87.827,MEDIUM
PER,7.0,87.28,MEDIUM
PER,8.0,87.403,MEDIUM
PER,9.0,87.124,MEDIUM
PER,10.0,86.884,MEDIUM
PER,11.0,86.788,MEDIUM
PER,12.0,86.729,MEDIUM
PER,13.0,86.631,MEDIUM
PER,14.0,86.483,MEDIUM
PER,15.0,86.409,MEDIUM
PER,16.0,86.359,MEDIUM
PER,17.0,85.929,MEDIUM
PER,18.0,86.455,MEDIUM
PER,19.0,86.152,MEDIUM
PER,20.0,86.049,MEDIUM
PER,21.0,85.714,MEDIUM
PER,22.0,85.973,MEDIUM
PER,23.0,85.85,MEDIUM
PER,24.0,85.642,MEDIUM
PER,25.0,85.498,MEDIUM
PER,26.0,85.458,MEDIUM
PER,27.0,85.576,MEDIUM
PER,28.0,85.555,MEDIUM
PER,29.0,85.507,MEDIUM
PER,30.0,85.409,MEDIUM
PER,31.0,85.288,MEDIUM
PER,32.0,85.39,MEDIUM
PER,33.0,85.382,MEDIUM
PER,34.0,86.5,MEDIUM
PER,35.0,106.636,MEDIUM
PER,36.0,143.642,HARD
PER,38.0,147.063,HARD
ALO,1.0,123.172,MEDIUM
ALO,2.0,142.483,MEDIUM
ALO,3.0,138.215,MEDIUM
ALO,4.0,142.341,MEDIUM
ALO,5.0,92.386,MEDIUM
ALO,6.0,89.044,MEDIUM
ALO,7.0,88.057,MEDIUM
ALO,8.0,88.028,MEDIUM
ALO,9.0,87.644,MEDIUM
ALO,10.0,88.156,MEDIUM
ALO,11.0,88.253,MEDIUM
ALO,12.0,87.906,MEDIUM
ALO,13.0,87.721,MEDIUM
ALO,14.0,86.802,MEDIUM
ALO,15.0,86.7,MEDIUM
ALO,16.0,86.867,MEDIUM
ALO,17.0,86.687,MEDIUM
ALO,18.0,86.744,MEDIUM
ALO,19.0,86.629,MEDIUM
ALO,20.0,86.855,MEDIUM
ALO,21.0,86.37,MEDIUM
ALO,22.0,86.481,MEDIUM
ALO,23.0,86.268,MEDIUM
ALO,24.0,86.377,MEDIUM
ALO,25.0,86.245,MEDIUM
ALO,26.0,86.3,MEDIUM
ALO,27.0,86.085,MEDIUM
ALO,28.0,85.941,MEDIUM
ALO,29.0,85.957,MEDIUM
ALO,30.0,85.893,MEDIUM
ALO,31.0,85.724,MEDIUM
ALO,32.0,85.649,MEDIUM
ALO,33.0,85.797,MEDIUM
ALO,34.0,87.518,MEDIUM
ALO,35.0,115.097,MEDIUM
ALO,36.0,146.362,HARD
ALO,37.0,135.542,MEDIUM
ALO,38.0,144.47,MEDIUM
ALO,39.0,134.005,MEDIUM
ALO,40.0,111.269,MEDIUM
ALO,41.0,132.579,MEDIUM
ALO,42.0,140.832,MEDIUM
ALO,43.0,87.771,MEDIUM
ALO,44.0,85.477,MEDIUM
ALO,45.0,85.0,MEDIUM
ALO,46.0,84.44,MEDIUM
ALO,47.0,84.383,MEDIUM
ALO,48.0,84.472,MEDIUM
ALO,49.0,84.395,MEDIUM
ALO,50.0,84.057,MEDIUM
ALO,51.0,84.054,MEDIUM
ALO,52.0,84.196,MEDIUM
ALO,53.0,83.993,MEDIUM
ALO,54.0,83.871,MEDIUM
ALO,55.0,84.078,MEDIUM
ALO,56.0,83.885,MEDIUM
ALO,57.0,83.667,MEDIUM
LEC,1.0,117.439,MEDIUM
LEC,2.0,142.075,MEDIUM
LEC,3.0,137.488,MEDIUM
LEC,4.0,147.558,MEDIUM
LEC,5.0,89.202,MEDIUM
LEC,6.0,87.556,MEDIUM
LEC,7.0,86.887,MEDIUM
LEC,8.0,87.19,MEDIUM
LEC,9.0,86.914,MEDIUM
LEC,10.0,86.435,MEDIUM
LEC,11.0,86.381,MEDIUM
LEC,12.0,86.027,MEDIUM
LEC,13.0,86.272,MEDIUM
LEC,14.0,85.66,MEDIUM
LEC,15.0,85.805,MEDIUM
LEC,16.0,85.93,MEDIUM
LEC,17.0,85.835,MEDIUM
LEC,18.0,85.496,MEDIUM
LEC,19.0,85.647,MEDIUM
