Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-11-29 17:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-29 17:39:49,Other,CAR 30 (LAW) TIME 1:24.293 DELETED - TRACK LIMITS AT TURN 5 LAP 3 20:34:56,,,,,,
2024-11-29 17:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-11-29 17:42:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 4 (NOR),,,,,,
2024-11-29 17:47:31,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 20 (MAG), 18 (STR), 77 (BOT), 55 (SAI), 16 (LEC), 23 (ALB), 1 (VER), 10 (GAS), 11 (PER), 4 (NOR), 30 (LAW), 81 (PIA), 63 (RUS), 22 (TSU), 43 (COL), 44 (HAM), 24 (ZHO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-11-29 17:47:38,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 20 (MAG), 18 (STR), 77 (BOT), 55 (SAI), 16 (LEC), 23 (ALB), 1 (VER), 10 (GAS), 11 (PER), 4 (NOR), 30 (LAW), 81 (PIA), 63 (RUS), 22 (TSU), 43 (COL), 44 (HAM), 24 (ZHO) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-11-29 17:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-29 17:52:42,Other,CAR 20 (MAG) TIME 1:22.901 DELETED - TRACK LIMITS AT TURN 6 LAP 11 20:51:16,,,,,,
2024-11-29 17:56:09,Other,CAR 81 (PIA) TIME 1:22.050 DELETED - TRACK LIMITS AT TURN 2 LAP 9 20:53:07,,,,,,
2024-11-29 17:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-11-29 17:59:16,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2024-11-29 18:02:04,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 30 (LAW), 18 (STR), 23 (ALB), 81 (PIA), 16 (LEC), 63 (RUS), 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-11-29 18:02:26,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 30 (LAW), 18 (STR), 23 (ALB), 81 (PIA), 16 (LEC), 63 (RUS), 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-11-29 18:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-11-29 18:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-11-29 18:14:01,Other,CAR 81 (PIA) TIME 1:21.238 DELETED - TRACK LIMITS AT TURN 6 LAP 16 21:13:09,,,,,,
2024-11-29 18:14:26,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
2024-11-29 18:15:39,Other,CAR 30 (LAW) TIME 1:22.082 DELETED - TRACK LIMITS AT TURN 6 LAP 20 21:13:55,,,,,,
2024-11-29 18:16:48,Other,FIA STEWARDS: SQ3 INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-11-29 18:17:11,Other,FIA STEWARDS: SQ3 INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2024-11-29 18:18:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2024-11-29 18:20:07,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2024-11-29 18:20:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2024-11-29 18:21:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2024-11-29 18:21:25,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
