Driver,LapNumber,LapTime,Compound
NOR,2.0,112.177,MEDIUM
NOR,3.0,87.108,MEDIUM
NOR,4.0,142.525,MEDIUM
NOR,5.0,90.235,MEDIUM
NOR,6.0,131.573,MEDIUM
NOR,7.0,147.718,MEDIUM
NOR,8.0,85.71,MEDIUM
NOR,9.0,105.631,MEDIUM
NOR,11.0,84.542,SOFT
NOR,12.0,131.817,SOFT
NOR,14.0,91.418,SOFT
NOR,16.0,89.945,MEDIUM
NOR,17.0,89.063,MEDIUM
NOR,18.0,89.153,MEDIUM
NOR,19.0,89.321,MEDIUM
NOR,20.0,90.448,MEDIUM
NOR,21.0,89.831,MEDIUM
NOR,22.0,89.967,MEDIUM
NOR,23.0,89.847,MEDIUM
NOR,24.0,105.451,MEDIUM
NOR,25.0,140.083,MEDIUM
GAS,3.0,87.307,MEDIUM
GAS,4.0,149.155,MEDIUM
GAS,5.0,123.347,MEDIUM
GAS,6.0,86.477,MEDIUM
GAS,7.0,141.141,MEDIUM
GAS,8.0,124.829,MEDIUM
GAS,9.0,86.073,MEDIUM
GAS,10.0,143.308,MEDIUM
GAS,11.0,145.272,MEDIUM
GAS,12.0,115.681,MEDIUM
GAS,13.0,86.094,MEDIUM
GAS,14.0,116.483,MEDIUM
GAS,16.0,85.333,SOFT
GAS,19.0,85.527,SOFT
GAS,20.0,146.41,SOFT
GAS,21.0,146.117,SOFT
GAS,22.0,86.336,SOFT
GAS,23.0,135.395,SOFT
GAS,24.0,134.406,SOFT
PER,2.0,87.252,MEDIUM
PER,3.0,145.759,MEDIUM
PER,4.0,136.758,MEDIUM
PER,5.0,86.385,MEDIUM
PER,8.0,86.179,MEDIUM
PER,9.0,106.891,MEDIUM
PER,11.0,85.651,SOFT
PER,14.0,85.483,SOFT
PER,15.0,126.243,SOFT
PER,17.0,90.135,MEDIUM
PER,18.0,90.34,MEDIUM
PER,19.0,89.96,MEDIUM
PER,20.0,89.583,MEDIUM
PER,21.0,90.008,MEDIUM
PER,22.0,93.504,MEDIUM
PER,23.0,90.44,MEDIUM
PER,24.0,90.305,MEDIUM
PER,25.0,132.745,MEDIUM
PER,26.0,131.211,MEDIUM
ALO,2.0,110.468,MEDIUM
ALO,4.0,102.201,MEDIUM
ALO,6.0,86.961,MEDIUM
ALO,7.0,142.617,MEDIUM
ALO,8.0,86.188,MEDIUM
ALO,10.0,146.191,MEDIUM
ALO,11.0,85.903,MEDIUM
ALO,12.0,113.307,MEDIUM
ALO,14.0,129.627,MEDIUM
ALO,15.0,86.044,MEDIUM
ALO,16.0,95.316,MEDIUM
ALO,18.0,85.504,SOFT
ALO,21.0,85.769,SOFT
ALO,22.0,106.065,SOFT
ALO,23.0,108.902,SOFT
LEC,2.0,87.004,MEDIUM
LEC,3.0,137.498,MEDIUM
LEC,4.0,86.207,MEDIUM
LEC,5.0,135.465,MEDIUM
LEC,6.0,85.809,MEDIUM
LEC,8.0,85.812,MEDIUM
LEC,9.0,115.294,MEDIUM
LEC,10.0,147.472,SOFT
LEC,11.0,84.321,SOFT
LEC,12.0,137.559,SOFT
LEC,13.0,122.568,SOFT
LEC,14.0,87.583,SOFT
LEC,15.0,88.066,SOFT
LEC,16.0,88.806,SOFT
LEC,17.0,88.267,SOFT
LEC,18.0,112.682,SOFT
LEC,19.0,131.858,SOFT
MAG,2.0,87.766,MEDIUM
MAG,4.0,86.932,MEDIUM
MAG,6.0,135.225,MEDIUM
MAG,7.0,86.87,MEDIUM
MAG,8.0,109.334,MEDIUM
MAG,10.0,85.906,SOFT
MAG,13.0,85.444,SOFT
MAG,14.0,110.899,SOFT
MAG,16.0,89.386,MEDIUM
MAG,17.0,89.442,MEDIUM
MAG,18.0,89.132,MEDIUM
MAG,19.0,89.295,MEDIUM
MAG,20.0,89.631,MEDIUM
MAG,21.0,89.557,MEDIUM
MAG,22.0,90.056,MEDIUM
MAG,23.0,90.992,MEDIUM
MAG,24.0,115.17,MEDIUM
MAG,25.0,138.229,MEDIUM
ZHO,3.0,87.928,MEDIUM
ZHO,4.0,139.607,MEDIUM
ZHO,5.0,146.189,MEDIUM
ZHO,6.0,86.976,MEDIUM
ZHO,7.0,143.249,MEDIUM
ZHO,8.0,86.382,MEDIUM
ZHO,9.0,143.858,MEDIUM
ZHO,10.0,93.158,MEDIUM
ZHO,11.0,89.141,MEDIUM
ZHO,12.0,89.234,MEDIUM
ZHO,13.0,88.765,MEDIUM
ZHO,14.0,88.469,MEDIUM
ZHO,15.0,102.039,MEDIUM
ZHO,17.0,85.921,SOFT
ZHO,18.0,146.637,SOFT
ZHO,20.0,91.418,SOFT
ZHO,21.0,104.573,SOFT
ZHO,22.0,132.158,SOFT
ZHO,23.0,133.983,SOFT
HUL,2.0,89.298,MEDIUM
HUL,3.0,141.307,MEDIUM
HUL,4.0,87.057,MEDIUM
HUL,5.0,134.679,MEDIUM
HUL,7.0,86.371,MEDIUM
HUL,8.0,105.355,MEDIUM
HUL,10.0,85.373,SOFT
HUL,11.0,129.185,SOFT
HUL,13.0,86.631,SOFT
HUL,14.0,101.379,SOFT
HUL,16.0,88.541,MEDIUM
HUL,17.0,89.713,MEDIUM
HUL,18.0,89.574,MEDIUM
HUL,19.0,89.69,MEDIUM
HUL,20.0,89.829,MEDIUM
HUL,21.0,89.506,MEDIUM
HUL,22.0,107.633,MEDIUM
HUL,23.0,120.39,MEDIUM
HIR,4.0,138.823,MEDIUM
HIR,8.0,87.556,MEDIUM
HIR,9.0,87.354,MEDIUM
HIR,10.0,112.801,MEDIUM
HIR,11.0,87.695,MEDIUM
HIR,12.0,112.551,MEDIUM
HIR,13.0,90.197,MEDIUM
HIR,14.0,146.971,SOFT
HIR,15.0,109.667,SOFT
HIR,16.0,85.874,SOFT
HIR,17.0,140.848,SOFT
HIR,18.0,86.888,SOFT
HIR,19.0,114.995,SOFT
LAW,3.0,87.734,MEDIUM
LAW,4.0,136.194,MEDIUM
LAW,5.0,86.932,MEDIUM
LAW,6.0,148.609,MEDIUM
LAW,7.0,127.531,MEDIUM
LAW,8.0,86.403,MEDIUM
LAW,9.0,110.27,MEDIUM
LAW,11.0,86.419,MEDIUM
LAW,12.0,141.938,MEDIUM
LAW,13.0,131.19,MEDIUM
LAW,14.0,86.25,MEDIUM
LAW,15.0,99.151,MEDIUM
LAW,17.0,85.563,SOFT
LAW,18.0,127.324,SOFT
LAW,20.0,85.906,SOFT
LAW,21.0,101.068,SOFT
LAW,22.0,88.842,SOFT
LAW,23.0,92.349,SOFT
LAW,24.0,110.153,MEDIUM
LAW,25.0,88.42,MEDIUM
LAW,26.0,142.795,MEDIUM
LAW,27.0,117.637,MEDIUM
DRU,2.0,105.34,MEDIUM
DRU,4.0,100.028,MEDIUM
DRU,6.0,86.914,MEDIUM
DRU,7.0,142.402,MEDIUM
DRU,8.0,119.412,MEDIUM
DRU,9.0,86.944,MEDIUM
DRU,10.0,138.714,MEDIUM
DRU,11.0,86.685,MEDIUM
DRU,12.0,87.73,MEDIUM
DRU,13.0,88.106,MEDIUM
DRU,14.0,87.993,MEDIUM
DRU,15.0,99.685,MEDIUM
DRU,17.0,85.471,SOFT
DRU,20.0,86.166,SOFT
DRU,21.0,141.909,SOFT
DRU,22.0,135.028,SOFT
HAD,2.0,129.474,SOFT
HAD,3.0,88.599,SOFT
HAD,4.0,136.189,SOFT
HAD,5.0,139.017,SOFT
HAD,6.0,88.267,SOFT
HAD,7.0,124.962,SOFT
HAD,9.0,86.142,SOFT
HAD,10.0,148.17,SOFT
HAD,11.0,144.847,SOFT
HAD,12.0,85.877,SOFT
HAD,13.0,122.91,SOFT
HAD,15.0,91.027,SOFT
HAD,16.0,90.606,SOFT
HAD,17.0,90.595,SOFT
HAD,18.0,90.39,SOFT
HAD,19.0,90.638,SOFT
HAD,20.0,90.831,SOFT
HAD,21.0,90.393,SOFT
HAD,22.0,93.518,SOFT
LEL,2.0,93.686,SOFT
LEL,3.0,119.138,SOFT
LEL,5.0,89.117,SOFT
LEL,6.0,128.407,SOFT
LEL,7.0,88.284,SOFT
LEL,8.0,145.812,SOFT
LEL,9.0,87.597,SOFT
LEL,10.0,115.197,SOFT
LEL,11.0,88.509,SOFT
LEL,12.0,88.965,SOFT
LEL,13.0,94.931,SOFT
LEL,15.0,86.424,SOFT
LEL,16.0,135.488,SOFT
LEL,17.0,135.27,SOFT
LEL,18.0,86.179,SOFT
LEL,19.0,140.416,SOFT
LEL,20.0,88.486,SOFT
LEL,21.0,115.672,SOFT
LEL,22.0,136.716,SOFT
IWA,2.0,101.667,MEDIUM
IWA,4.0,98.23,MEDIUM
IWA,6.0,97.595,MEDIUM
IWA,8.0,97.946,MEDIUM
IWA,10.0,89.885,MEDIUM
IWA,11.0,148.927,MEDIUM
IWA,12.0,87.683,MEDIUM
IWA,14.0,86.863,MEDIUM
IWA,16.0,126.624,MEDIUM
IWA,18.0,86.121,SOFT
IWA,19.0,139.087,SOFT
IWA,21.0,86.424,SOFT
IWA,22.0,90.161,SOFT
IWA,24.0,126.323,SOFT
COL,3.0,87.378,MEDIUM
COL,4.0,127.402,MEDIUM
COL,5.0,86.243,MEDIUM
COL,6.0,125.878,MEDIUM
COL,7.0,122.321,MEDIUM
COL,8.0,86.579,MEDIUM
COL,9.0,97.454,MEDIUM
COL,11.0,85.382,SOFT
COL,12.0,131.796,SOFT
COL,14.0,108.166,SOFT
COL,16.0,89.903,MEDIUM
COL,17.0,89.601,MEDIUM
COL,18.0,89.885,MEDIUM
COL,19.0,90.316,MEDIUM
COL,20.0,90.348,MEDIUM
COL,21.0,90.525,MEDIUM
COL,22.0,90.293,MEDIUM
COL,23.0,141.959,MEDIUM
COL,24.0,121.732,MEDIUM
HAM,2.0,87.459,MEDIUM
HAM,5.0,124.584,MEDIUM
HAM,6.0,85.993,MEDIUM
HAM,9.0,113.945,MEDIUM
HAM,10.0,85.566,MEDIUM
HAM,11.0,107.222,MEDIUM
HAM,13.0,84.806,SOFT
HAM,16.0,85.113,SOFT
HAM,17.0,115.06,SOFT
HAM,19.0,90.358,MEDIUM
HAM,20.0,89.037,MEDIUM
HAM,21.0,89.554,MEDIUM
HAM,22.0,89.799,MEDIUM
HAM,23.0,89.465,MEDIUM
HAM,24.0,89.941,MEDIUM
HAM,25.0,90.051,MEDIUM
HAM,27.0,123.108,MEDIUM
BRO,2.0,89.571,MEDIUM
BRO,3.0,143.758,MEDIUM
BRO,4.0,109.454,MEDIUM
BRO,5.0,87.984,MEDIUM
BRO,6.0,143.61,MEDIUM
BRO,7.0,87.503,MEDIUM
BRO,8.0,125.04,MEDIUM
BRO,10.0,86.519,SOFT
BRO,11.0,142.755,SOFT
BRO,12.0,126.935,SOFT
BRO,13.0,86.641,SOFT
BRO,14.0,117.8,SOFT
BRO,16.0,91.082,MEDIUM
BRO,17.0,89.403,MEDIUM
BRO,18.0,89.359,MEDIUM
BRO,19.0,89.176,MEDIUM
BRO,20.0,89.517,MEDIUM
BRO,21.0,88.918,MEDIUM
BRO,22.0,98.019,MEDIUM
DOO,3.0,88.678,MEDIUM
DOO,4.0,122.823,MEDIUM
DOO,5.0,87.634,MEDIUM
DOO,6.0,135.795,MEDIUM
DOO,7.0,87.257,MEDIUM
DOO,9.0,86.795,MEDIUM
DOO,10.0,131.915,MEDIUM
DOO,11.0,86.825,MEDIUM
DOO,12.0,120.617,MEDIUM
DOO,14.0,86.304,SOFT
DOO,15.0,137.498,SOFT
DOO,16.0,123.502,SOFT
DOO,17.0,86.65,SOFT
DOO,18.0,128.156,SOFT
DOO,20.0,90.447,MEDIUM
DOO,21.0,90.665,MEDIUM
DOO,22.0,90.596,MEDIUM
DOO,24.0,129.939,MEDIUM
RUS,2.0,86.894,MEDIUM
RUS,4.0,132.264,MEDIUM
RUS,5.0,85.963,MEDIUM
RUS,8.0,85.571,MEDIUM
RUS,9.0,112.565,MEDIUM
RUS,11.0,85.41,SOFT
RUS,14.0,85.165,SOFT
RUS,15.0,116.355,SOFT
RUS,17.0,89.606,MEDIUM
RUS,18.0,89.762,MEDIUM
RUS,19.0,89.802,MEDIUM
RUS,20.0,89.469,MEDIUM
RUS,21.0,89.819,MEDIUM
RUS,22.0,89.619,MEDIUM
RUS,23.0,90.089,MEDIUM
RUS,24.0,92.092,MEDIUM
RUS,25.0,90.337,MEDIUM
RUS,26.0,122.276,MEDIUM
RUS,27.0,129.028,MEDIUM
BOT,2.0,88.881,MEDIUM
BOT,3.0,138.358,MEDIUM
BOT,4.0,87.723,MEDIUM
BOT,6.0,86.884,MEDIUM
BOT,7.0,132.561,MEDIUM
BOT,9.0,85.858,SOFT
BOT,10.0,139.554,SOFT
BOT,12.0,85.611,SOFT
BOT,13.0,132.133,SOFT
BOT,15.0,89.385,SOFT
BOT,16.0,90.493,SOFT
BOT,17.0,90.514,SOFT
BOT,18.0,95.711,SOFT
BOT,19.0,90.415,SOFT
BOT,20.0,91.165,SOFT
BOT,21.0,90.684,SOFT
BOT,22.0,113.677,SOFT
BOT,23.0,127.299,SOFT
