Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-12-07 13:45:18,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2024-12-07 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2024-12-07 14:07:00,Other,CAR 11 (PER) TIME 1:23.559 DELETED - TRACK LIMITS AT TURN 1 LAP 3 18:05:38,,,,,,
2024-12-07 14:07:27,Other,CAR 43 (COL) TIME 1:24.411 DELETED - TRACK LIMITS AT TURN 1 LAP 3 18:06:05,,,,,,
2024-12-07 14:14:27,Other,CAR 11 (PER) TIME 1:23.559 WILL BE REINSTATED,,,,,,
2024-12-07 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2024-12-07 14:18:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
2024-12-07 14:19:44,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 9 18:17:57 (PIT),,,,,,
2024-12-07 14:20:15,Other,PIT EXIT INCIDENT INVOLVING CAR 27 (HUL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2024-12-07 14:20:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
2024-12-07 14:20:35,Other,DRS DISABLED IN ZONE 1,,,,,,
2024-12-07 14:20:38,Other,DRS ENABLED IN ZONE 1,,,,,,
2024-12-07 14:20:38,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2024-12-07 14:21:42,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 20 (MAG), 11 (PER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-12-07 14:22:13,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 20 (MAG), 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2024-12-07 14:22:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2024-12-07 14:22:33,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2024-12-07 14:22:38,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2024-12-07 14:22:42,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
