Driver,LapNumber,LapTime,Compound
VER,1.0,98.038,SOFT
VER,2.0,77.632,SOFT
VER,4.0,132.921,SOFT
VER,5.0,76.646,SOFT
VER,7.0,136.323,SOFT
VER,8.0,81.128,SOFT
VER,11.0,107.058,SOFT
VER,12.0,76.002,SOFT
VER,14.0,112.228,SOFT
VER,16.0,123.755,SOFT
VER,17.0,118.432,SOFT
NOR,2.0,124.371,SOFT
NOR,3.0,78.689,SOFT
NOR,4.0,142.102,SOFT
NOR,5.0,128.131,SOFT
NOR,6.0,76.947,SOFT
NOR,8.0,110.607,SOFT
NOR,9.0,76.597,SOFT
NOR,11.0,114.82,SOFT
NOR,12.0,104.667,SOFT
NOR,13.0,78.253,SOFT
NOR,14.0,133.359,SOFT
NOR,15.0,121.744,SOFT
NOR,16.0,76.679,SOFT
NOR,18.0,129.327,SOFT
NOR,19.0,149.851,SOFT
BOR,1.0,106.355,SOFT
BOR,2.0,78.824,SOFT
BOR,3.0,139.511,SOFT
BOR,4.0,138.962,SOFT
BOR,5.0,77.448,SOFT
BOR,7.0,146.283,SOFT
BOR,8.0,77.616,SOFT
BOR,10.0,106.757,SOFT
BOR,11.0,76.707,SOFT
BOR,12.0,136.716,SOFT
BOR,13.0,143.624,SOFT
BOR,14.0,77.939,SOFT
BOR,16.0,107.493,SOFT
BOR,17.0,134.098,SOFT
HAD,2.0,118.412,HARD
HAD,3.0,78.783,HARD
HAD,4.0,113.251,HARD
HAD,5.0,77.752,HARD
HAD,6.0,132.323,HARD
HAD,7.0,77.978,HARD
HAD,8.0,118.45,HARD
HAD,10.0,113.619,SOFT
HAD,11.0,76.732,SOFT
HAD,13.0,119.604,SOFT
HAD,14.0,76.766,SOFT
HAD,15.0,130.668,SOFT
HAD,16.0,103.629,SOFT
DOO,2.0,79.221,SOFT
DOO,3.0,140.923,SOFT
DOO,4.0,120.157,SOFT
DOO,5.0,77.801,SOFT
DOO,6.0,146.963,SOFT
DOO,7.0,121.408,SOFT
DOO,9.0,98.769,SOFT
DOO,10.0,77.139,SOFT
DOO,12.0,128.687,SOFT
DOO,13.0,77.045,SOFT
DOO,15.0,126.151,SOFT
DOO,16.0,76.993,SOFT
DOO,17.0,140.342,SOFT
GAS,1.0,98.876,HARD
GAS,2.0,78.115,HARD
GAS,3.0,145.144,HARD
GAS,4.0,78.361,HARD
GAS,6.0,112.125,HARD
GAS,7.0,78.128,HARD
GAS,9.0,77.824,HARD
GAS,10.0,142.84,HARD
GAS,11.0,77.574,HARD
GAS,13.0,106.183,SOFT
GAS,14.0,76.821,SOFT
GAS,16.0,128.992,SOFT
GAS,17.0,76.861,SOFT
GAS,19.0,129.346,SOFT
GAS,20.0,76.719,SOFT
ANT,1.0,111.787,SOFT
ANT,2.0,77.97,SOFT
ANT,4.0,129.33,SOFT
ANT,5.0,76.87,SOFT
ANT,7.0,128.45,SOFT
ANT,8.0,109.614,SOFT
ANT,9.0,77.271,SOFT
ANT,11.0,121.653,SOFT
ANT,12.0,113.209,SOFT
ANT,13.0,76.206,SOFT
ANT,15.0,131.436,SOFT
ANT,16.0,76.28,SOFT
ANT,18.0,114.787,SOFT
ALO,3.0,93.438,HARD
ALO,4.0,78.519,HARD
ALO,5.0,108.102,HARD
ALO,6.0,78.269,HARD
ALO,7.0,122.174,HARD
ALO,8.0,77.968,HARD
ALO,10.0,96.146,HARD
ALO,11.0,108.053,HARD
ALO,12.0,100.63,HARD
ALO,13.0,77.666,HARD
ALO,15.0,95.406,SOFT
ALO,16.0,102.883,SOFT
ALO,17.0,77.27,SOFT
ALO,18.0,135.869,SOFT
ALO,19.0,116.394,SOFT
ALO,20.0,79.85,SOFT
ALO,21.0,112.818,SOFT
LEC,4.0,111.137,SOFT
LEC,5.0,77.847,SOFT
LEC,7.0,118.143,SOFT
LEC,8.0,76.894,SOFT
LEC,9.0,143.668,SOFT
LEC,10.0,134.759,SOFT
LEC,11.0,76.676,SOFT
LEC,13.0,116.668,SOFT
LEC,14.0,76.286,SOFT
LEC,16.0,122.309,SOFT
LEC,17.0,76.188,SOFT
LEC,18.0,144.46,SOFT
LEC,19.0,111.071,SOFT
LEC,20.0,76.273,SOFT
STR,3.0,94.613,HARD
STR,4.0,78.908,HARD
STR,5.0,121.501,HARD
STR,6.0,78.483,HARD
STR,7.0,126.684,HARD
