Driver,LapNumber,LapTime,Compound
VER,2.0,95.383,MEDIUM
VER,4.0,93.949,MEDIUM
VER,5.0,140.215,MEDIUM
VER,6.0,135.346,MEDIUM
VER,7.0,93.284,MEDIUM
VER,8.0,116.357,MEDIUM
VER,10.0,97.853,MEDIUM
VER,11.0,97.756,MEDIUM
VER,12.0,97.325,MEDIUM
VER,13.0,98.37,MEDIUM
VER,14.0,97.942,MEDIUM
VER,15.0,98.266,MEDIUM
VER,16.0,99.089,MEDIUM
VER,17.0,99.746,MEDIUM
VER,18.0,99.763,MEDIUM
VER,19.0,113.315,MEDIUM
VER,21.0,97.82,SOFT
VER,22.0,147.193,MEDIUM
VER,23.0,134.127,MEDIUM
NOR,2.0,96.147,MEDIUM
NOR,4.0,93.362,MEDIUM
NOR,6.0,121.125,MEDIUM
NOR,7.0,100.002,MEDIUM
NOR,9.0,119.378,MEDIUM
NOR,10.0,94.835,MEDIUM
NOR,11.0,104.615,MEDIUM
NOR,12.0,96.613,MEDIUM
NOR,13.0,96.367,MEDIUM
NOR,14.0,97.192,MEDIUM
NOR,15.0,97.038,MEDIUM
NOR,16.0,97.638,MEDIUM
NOR,17.0,104.051,MEDIUM
NOR,19.0,92.161,SOFT
NOR,20.0,149.829,SOFT
NOR,21.0,91.504,SOFT
NOR,22.0,122.977,SOFT
NOR,23.0,140.207,SOFT
BOR,2.0,98.754,MEDIUM
BOR,4.0,97.163,MEDIUM
BOR,6.0,102.152,MEDIUM
BOR,8.0,95.606,MEDIUM
BOR,9.0,144.756,MEDIUM
BOR,10.0,138.79,MEDIUM
BOR,11.0,95.322,MEDIUM
BOR,12.0,109.838,MEDIUM
BOR,13.0,98.501,MEDIUM
BOR,14.0,101.53,MEDIUM
BOR,15.0,98.455,MEDIUM
BOR,16.0,99.41,MEDIUM
BOR,17.0,99.066,MEDIUM
BOR,18.0,104.796,MEDIUM
BOR,20.0,94.077,SOFT
BOR,22.0,93.822,SOFT
HAD,2.0,97.222,MEDIUM
HAD,3.0,147.47,MEDIUM
HAD,4.0,95.232,MEDIUM
HAD,6.0,94.715,MEDIUM
HAD,9.0,94.213,MEDIUM
HAD,10.0,118.286,MEDIUM
HAD,12.0,99.082,MEDIUM
HAD,13.0,101.529,MEDIUM
HAD,14.0,97.622,MEDIUM
HAD,15.0,97.7,MEDIUM
HAD,16.0,97.139,MEDIUM
HAD,17.0,103.085,MEDIUM
HAD,19.0,93.385,SOFT
HAD,21.0,98.185,SOFT
HAD,22.0,147.665,SOFT
HAD,23.0,147.735,SOFT
DOO,2.0,97.213,MEDIUM
DOO,4.0,94.815,MEDIUM
DOO,6.0,94.488,MEDIUM
DOO,8.0,94.234,MEDIUM
DOO,9.0,129.741,MEDIUM
DOO,11.0,93.923,MEDIUM
DOO,12.0,120.011,MEDIUM
DOO,13.0,96.731,MEDIUM
DOO,14.0,96.855,MEDIUM
DOO,15.0,97.585,MEDIUM
DOO,16.0,97.033,MEDIUM
GAS,2.0,95.574,MEDIUM
GAS,4.0,94.317,MEDIUM
GAS,6.0,93.865,MEDIUM
GAS,8.0,104.478,MEDIUM
GAS,10.0,94.167,MEDIUM
GAS,11.0,143.459,MEDIUM
GAS,12.0,96.295,MEDIUM
GAS,13.0,96.617,MEDIUM
GAS,14.0,97.013,MEDIUM
GAS,15.0,98.331,MEDIUM
GAS,16.0,98.118,MEDIUM
GAS,17.0,113.873,MEDIUM
GAS,19.0,93.123,SOFT
GAS,20.0,115.85,SOFT
GAS,21.0,140.583,MEDIUM
GAS,22.0,128.653,MEDIUM
GAS,23.0,131.041,MEDIUM
ANT,2.0,100.647,MEDIUM
ANT,3.0,96.268,MEDIUM
ANT,4.0,95.572,MEDIUM
ANT,5.0,143.941,MEDIUM
ANT,6.0,94.193,MEDIUM
ANT,7.0,148.299,MEDIUM
ANT,8.0,93.219,MEDIUM
ANT,9.0,128.369,MEDIUM
ANT,11.0,96.229,MEDIUM
ANT,12.0,96.511,MEDIUM
ANT,13.0,96.798,MEDIUM
ANT,14.0,97.056,MEDIUM
ANT,15.0,96.96,MEDIUM
ANT,16.0,96.761,MEDIUM
ANT,17.0,97.174,MEDIUM
ANT,18.0,97.48,MEDIUM
ANT,19.0,98.586,MEDIUM
ANT,20.0,98.866,MEDIUM
ANT,21.0,108.48,MEDIUM
ANT,23.0,92.874,SOFT
ANT,24.0,130.638,SOFT
ANT,26.0,143.898,MEDIUM
ALO,2.0,95.683,MEDIUM
ALO,4.0,94.432,MEDIUM
ALO,5.0,134.619,MEDIUM
ALO,7.0,93.677,MEDIUM
ALO,8.0,131.004,MEDIUM
ALO,10.0,120.604,MEDIUM
ALO,11.0,93.83,MEDIUM
ALO,12.0,117.411,MEDIUM
ALO,13.0,95.597,MEDIUM
ALO,14.0,98.801,MEDIUM
ALO,15.0,96.518,MEDIUM
ALO,16.0,96.383,MEDIUM
ALO,17.0,106.86,MEDIUM
ALO,19.0,92.766,SOFT
ALO,20.0,140.101,SOFT
ALO,21.0,136.885,MEDIUM
ALO,22.0,117.8,MEDIUM
LEC,2.0,96.481,MEDIUM
LEC,3.0,146.591,MEDIUM
LEC,4.0,94.034,MEDIUM
LEC,6.0,93.823,MEDIUM
LEC,8.0,92.877,MEDIUM
LEC,9.0,127.691,MEDIUM
LEC,11.0,92.701,MEDIUM
LEC,13.0,125.772,MEDIUM
LEC,14.0,95.201,MEDIUM
LEC,15.0,101.218,MEDIUM
LEC,17.0,92.103,SOFT
LEC,19.0,91.958,SOFT
LEC,21.0,136.558,SOFT
STR,2.0,96.451,MEDIUM
STR,3.0,147.636,MEDIUM
STR,4.0,95.286,MEDIUM
STR,5.0,144.973,MEDIUM
STR,7.0,93.974,MEDIUM
STR,8.0,123.401,MEDIUM
STR,10.0,94.913,MEDIUM
STR,11.0,131.763,MEDIUM
STR,12.0,97.465,MEDIUM
STR,13.0,97.938,MEDIUM
STR,14.0,99.632,MEDIUM
STR,15.0,106.441,MEDIUM
STR,17.0,92.984,SOFT
STR,18.0,146.105,SOFT
TSU,2.0,96.582,MEDIUM
TSU,4.0,94.935,MEDIUM
TSU,5.0,148.968,MEDIUM
TSU,6.0,94.343,MEDIUM
TSU,8.0,141.184,MEDIUM
TSU,9.0,130.901,MEDIUM
TSU,10.0,127.628,MEDIUM
TSU,11.0,93.538,MEDIUM
TSU,12.0,113.374,MEDIUM
TSU,14.0,97.291,MEDIUM
TSU,15.0,97.134,MEDIUM
TSU,16.0,97.602,MEDIUM
TSU,17.0,97.927,MEDIUM
TSU,18.0,109.947,MEDIUM
TSU,20.0,92.934,SOFT
TSU,21.0,149.089,SOFT
ALB,2.0,129.78,MEDIUM
ALB,3.0,95.83,MEDIUM
ALB,4.0,141.93,MEDIUM
ALB,5.0,94.603,MEDIUM
ALB,6.0,142.692,MEDIUM
ALB,7.0,93.718,MEDIUM
ALB,9.0,93.636,MEDIUM
ALB,10.0,120.916,MEDIUM
ALB,12.0,96.439,MEDIUM
ALB,13.0,96.702,MEDIUM
ALB,14.0,96.735,MEDIUM
ALB,15.0,97.677,MEDIUM
ALB,16.0,98.095,MEDIUM
ALB,17.0,104.783,MEDIUM
ALB,20.0,92.687,SOFT
ALB,21.0,143.667,SOFT
ALB,23.0,133.203,MEDIUM
ALB,24.0,148.117,MEDIUM
HUL,2.0,97.039,MEDIUM
HUL,3.0,139.694,MEDIUM
HUL,4.0,95.401,MEDIUM
HUL,5.0,108.53,MEDIUM
HUL,7.0,94.342,MEDIUM
HUL,8.0,141.06,MEDIUM
HUL,9.0,94.207,MEDIUM
HUL,10.0,123.081,MEDIUM
HUL,11.0,123.307,MEDIUM
HUL,12.0,97.734,MEDIUM
HUL,13.0,96.563,MEDIUM
HUL,14.0,96.617,MEDIUM
HUL,15.0,102.229,MEDIUM
HUL,17.0,93.662,SOFT
HUL,19.0,92.507,SOFT
