Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-03-22 07:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-03-22 07:04:04,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
2025-03-22 07:04:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
2025-03-22 07:04:07,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
2025-03-22 07:04:11,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2025-03-22 07:04:12,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-03-22 07:04:14,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2025-03-22 07:04:20,Other,CAR 22 (TSU) LAP DELETED - TRACK LIMITS AT TURN 14 LAP 3 15:03:42,,,,,,
2025-03-22 07:05:11,Other,CAR 7 (DOO) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 3 15:04:08 (PIT),,,,,,
2025-03-22 07:06:14,Other,CAR 4 (NOR) TIME 1:32.036 DELETED - TRACK LIMITS AT TURN 9 LAP 3 15:04:26,,,,,,
2025-03-22 07:12:48,Other,INCIDENT INVOLVING CAR 30 (LAW) NOTED - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,,
2025-03-22 07:14:05,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 30 (LAW) REVIEWED NO FURTHER INVESTIGATION - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,,
2025-03-22 07:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-03-22 07:18:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 87 (BEA),,,,,,
2025-03-22 07:19:11,Other,TURN 13 INCIDENT INVOLVING CARS 87 (BEA) AND 18 (STR) NOTED - IMPEDING,,,,,,
2025-03-22 07:20:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2025-03-22 07:20:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2025-03-22 07:20:48,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2025-03-22 07:20:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2025-03-22 07:20:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
2025-03-22 07:20:51,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
2025-03-22 07:20:55,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2025-03-22 07:20:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
2025-03-22 07:21:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-03-22 07:21:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2025-03-22 07:21:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2025-03-22 07:21:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
