Driver,LapNumber,LapTime,Compound
NOR,2.0,92.248,MEDIUM
NOR,3.0,123.141,MEDIUM
NOR,4.0,125.901,MEDIUM
NOR,5.0,91.396,MEDIUM
NOR,6.0,126.425,MEDIUM
NOR,8.0,91.174,MEDIUM
NOR,9.0,126.789,MEDIUM
NOR,11.0,91.393,SOFT
NOR,12.0,128.283,SOFT
NOR,13.0,100.026,SOFT
LEC,2.0,92.239,MEDIUM
LEC,3.0,128.122,MEDIUM
LEC,5.0,91.518,MEDIUM
LEC,6.0,122.413,MEDIUM
LEC,8.0,118.526,MEDIUM
LEC,9.0,92.102,MEDIUM
LEC,10.0,134.435,MEDIUM
LEC,11.0,91.561,MEDIUM
LEC,12.0,121.193,MEDIUM
LEC,14.0,91.057,SOFT
LEC,15.0,131.896,SOFT
PIA,2.0,91.723,MEDIUM
PIA,3.0,126.296,MEDIUM
PIA,4.0,141.861,MEDIUM
PIA,6.0,119.765,MEDIUM
PIA,7.0,91.362,MEDIUM
PIA,8.0,129.553,MEDIUM
PIA,10.0,90.929,SOFT
PIA,11.0,130.507,SOFT
PIA,12.0,90.94,SOFT
PIA,13.0,127.513,SOFT
HAM,2.0,92.229,MEDIUM
HAM,3.0,134.596,MEDIUM
HAM,5.0,91.212,MEDIUM
HAM,6.0,124.686,MEDIUM
HAM,8.0,92.125,MEDIUM
HAM,9.0,126.485,MEDIUM
HAM,10.0,129.354,MEDIUM
HAM,11.0,91.384,MEDIUM
HAM,12.0,123.056,MEDIUM
HAM,14.0,90.849,SOFT
HAM,15.0,135.281,SOFT
RUS,2.0,118.797,MEDIUM
RUS,3.0,124.138,MEDIUM
RUS,4.0,92.29,MEDIUM
RUS,5.0,125.98,MEDIUM
RUS,6.0,120.494,MEDIUM
RUS,7.0,91.952,MEDIUM
RUS,8.0,120.145,MEDIUM
RUS,10.0,108.57,MEDIUM
RUS,11.0,92.131,MEDIUM
RUS,12.0,128.069,MEDIUM
RUS,13.0,130.867,MEDIUM
RUS,14.0,91.346,MEDIUM
RUS,15.0,120.23,MEDIUM
RUS,17.0,91.169,SOFT
