Driver,LapNumber,GapTime
HAM,0.6666666666666666,0.0
VER,0.6666666666666666,0.771
PIA,0.6666666666666666,2.02
LEC,0.6666666666666666,2.534
RUS,0.6666666666666666,3.074
NOR,0.6666666666666666,4.743
ANT,0.6666666666666666,4.106
TSU,0.6666666666666666,3.556
ALB,0.6666666666666666,5.492
STR,0.6666666666666666,4.651
ALO,0.6666666666666666,5.094
BEA,0.6666666666666666,5.759
SAI,0.6666666666666666,6.148
BOR,0.6666666666666666,6.757
HAD,0.6666666666666666,6.957
DOO,0.6666666666666666,7.586
GAS,0.6666666666666666,6.505
OCO,0.6666666666666666,7.586
LAW,0.6666666666666666,8.12
HUL,0.6666666666666666,10.359
HAM,1.0,0.0
VER,1.0,0.68
PIA,1.0,2.058
LEC,1.0,3.576
RUS,1.0,3.104
NOR,1.0,6.044
ANT,1.0,4.707
TSU,1.0,4.348
ALB,1.0,6.902
STR,1.0,5.292
ALO,1.0,6.502
BEA,1.0,7.357
SAI,1.0,8.031
BOR,1.0,8.943999999999999
HAD,1.0,9.376
DOO,1.0,10.242
GAS,1.0,8.245
OCO,1.0,9.829
LAW,1.0,10.876
HUL,1.0,12.118
HAM,1.3333333333333333,0.0
VER,1.3333333333333333,0.819
PIA,1.3333333333333333,2.024
LEC,1.3333333333333333,4.264
RUS,1.3333333333333333,3.678
NOR,1.3333333333333333,6.168
ANT,1.3333333333333333,5.17
TSU,1.3333333333333333,4.866
ALB,1.3333333333333333,7.584
STR,1.3333333333333333,5.773
ALO,1.3333333333333333,7.096
BEA,1.3333333333333333,8.125
SAI,1.3333333333333333,8.954
BOR,1.3333333333333333,9.867
HAD,1.3333333333333333,10.206
DOO,1.3333333333333333,11.09
GAS,1.3333333333333333,9.484
OCO,1.3333333333333333,10.482
LAW,1.3333333333333333,11.559
HUL,1.3333333333333333,13.33
HAM,1.6666666666666665,0.0
VER,1.6666666666666665,0.974
PIA,1.6666666666666665,2.51
LEC,1.6666666666666665,4.943
RUS,1.6666666666666665,4.168
NOR,1.6666666666666665,6.995
ANT,1.6666666666666665,6.071
TSU,1.6666666666666665,5.538
ALB,1.6666666666666665,8.582
STR,1.6666666666666665,6.742
ALO,1.6666666666666665,7.839
BEA,1.6666666666666665,9.39
SAI,1.6666666666666665,9.975999999999999
BOR,1.6666666666666665,10.906
HAD,1.6666666666666665,11.495
DOO,1.6666666666666665,12.343
GAS,1.6666666666666665,10.477
OCO,1.6666666666666665,11.732
LAW,1.6666666666666665,12.824
HUL,1.6666666666666665,15.166
HAM,2.0,0.0
VER,2.0,1.102
PIA,2.0,2.792
LEC,2.0,5.125
RUS,2.0,4.27
NOR,2.0,7.559
ANT,2.0,6.295
TSU,2.0,5.872
ALB,2.0,9.067
STR,2.0,7.0
ALO,2.0,8.532
BEA,2.0,9.889
SAI,2.0,10.577
BOR,2.0,11.51
HAD,2.0,12.048
DOO,2.0,13.155
GAS,2.0,10.975999999999999
OCO,2.0,12.582
LAW,2.0,13.743
HUL,2.0,16.272
HAM,2.3333333333333335,0.0
VER,2.3333333333333335,1.089
PIA,2.3333333333333335,2.652
LEC,2.3333333333333335,5.343
RUS,2.3333333333333335,4.418
NOR,2.3333333333333335,7.384
ANT,2.3333333333333335,6.179
TSU,2.3333333333333335,5.817
ALB,2.3333333333333335,9.145
STR,2.3333333333333335,6.901
ALO,2.3333333333333335,8.347
BEA,2.3333333333333335,9.957
SAI,2.3333333333333335,10.582
BOR,2.3333333333333335,11.737
HAD,2.3333333333333335,12.16
DOO,2.3333333333333335,13.13
GAS,2.3333333333333335,11.077
OCO,2.3333333333333335,12.63
LAW,2.3333333333333335,13.541
HUL,2.3333333333333335,16.013
HAM,2.6666666666666665,0.0
VER,2.6666666666666665,1.012
PIA,2.6666666666666665,2.815
LEC,2.6666666666666665,5.389
RUS,2.6666666666666665,4.13
NOR,2.6666666666666665,8.057
ANT,2.6666666666666665,6.797
TSU,2.6666666666666665,6.121
ALB,2.6666666666666665,9.969
STR,2.6666666666666665,7.7219999999999995
ALO,2.6666666666666665,8.981
BEA,2.6666666666666665,10.68
SAI,2.6666666666666665,11.165
BOR,2.6666666666666665,12.227
HAD,2.6666666666666665,13.187
DOO,2.6666666666666665,14.054
GAS,2.6666666666666665,11.648
OCO,2.6666666666666665,13.603
LAW,2.6666666666666665,14.416
HUL,2.6666666666666665,16.643
HAM,3.0,0.0
VER,3.0,0.948
PIA,3.0,2.757
LEC,3.0,5.266
RUS,3.0,4.164
NOR,3.0,8.509
ANT,3.0,6.803
TSU,3.0,6.209
ALB,3.0,10.263
STR,3.0,7.763
ALO,3.0,9.886
BEA,3.0,10.873
SAI,3.0,11.728
BOR,3.0,12.834
HAD,3.0,13.446
DOO,3.0,14.69
GAS,3.0,12.306
OCO,3.0,13.985
LAW,3.0,15.316
HUL,3.0,16.925
HAM,3.3333333333333335,0.0
VER,3.3333333333333335,1.025
PIA,3.3333333333333335,2.521
LEC,3.3333333333333335,5.383
RUS,3.3333333333333335,4.195
NOR,3.3333333333333335,8.375
ANT,3.3333333333333335,6.799
TSU,3.3333333333333335,6.067
ALB,3.3333333333333335,10.583
STR,3.3333333333333335,7.665
ALO,3.3333333333333335,9.889
BEA,3.3333333333333335,11.201
SAI,3.3333333333333335,11.87
BOR,3.3333333333333335,13.036
HAD,3.3333333333333335,13.518
DOO,3.3333333333333335,14.529
GAS,3.3333333333333335,12.401
OCO,3.3333333333333335,13.942
LAW,3.3333333333333335,15.092
HUL,3.3333333333333335,16.519
HAM,3.6666666666666665,0.0
