Driver,LapNumber,LapTime,Compound
HAM,2.0,95.399,MEDIUM
HAM,3.0,96.151,MEDIUM
HAM,4.0,96.064,MEDIUM
HAM,5.0,96.684,MEDIUM
HAM,6.0,96.349,MEDIUM
HAM,7.0,96.617,MEDIUM
HAM,8.0,96.003,MEDIUM
HAM,9.0,96.941,MEDIUM
HAM,10.0,96.872,MEDIUM
HAM,11.0,96.702,MEDIUM
HAM,12.0,96.926,MEDIUM
HAM,13.0,97.366,MEDIUM
HAM,14.0,97.507,MEDIUM
HAM,15.0,98.03,MEDIUM
HAM,16.0,97.629,MEDIUM
HAM,17.0,97.611,MEDIUM
HAM,18.0,97.349,MEDIUM
HAM,19.0,97.132,MEDIUM
VER,2.0,95.745,MEDIUM
VER,3.0,95.997,MEDIUM
VER,4.0,96.083,MEDIUM
VER,5.0,96.728,MEDIUM
VER,6.0,96.663,MEDIUM
VER,7.0,95.943,MEDIUM
VER,8.0,95.955,MEDIUM
VER,9.0,97.444,MEDIUM
VER,10.0,97.05,MEDIUM
VER,11.0,96.859,MEDIUM
VER,12.0,97.239,MEDIUM
VER,13.0,97.481,MEDIUM
VER,14.0,97.723,MEDIUM
VER,15.0,99.172,MEDIUM
VER,16.0,99.625,MEDIUM
VER,17.0,99.163,MEDIUM
VER,18.0,99.102,MEDIUM
VER,19.0,98.393,MEDIUM
PIA,2.0,96.086,MEDIUM
PIA,3.0,96.116,MEDIUM
PIA,4.0,95.893,MEDIUM
PIA,5.0,96.349,MEDIUM
PIA,6.0,96.316,MEDIUM
PIA,7.0,95.854,MEDIUM
PIA,8.0,96.666,MEDIUM
PIA,9.0,97.157,MEDIUM
PIA,10.0,96.399,MEDIUM
PIA,11.0,96.851,MEDIUM
PIA,12.0,97.326,MEDIUM
PIA,13.0,97.212,MEDIUM
PIA,14.0,97.852,MEDIUM
PIA,15.0,98.117,MEDIUM
PIA,16.0,98.741,MEDIUM
PIA,17.0,98.748,MEDIUM
PIA,18.0,98.612,MEDIUM
PIA,19.0,97.836,MEDIUM
LEC,2.0,96.895,MEDIUM
LEC,3.0,96.292,MEDIUM
LEC,4.0,96.255,MEDIUM
LEC,5.0,96.524,MEDIUM
LEC,6.0,96.344,MEDIUM
LEC,7.0,96.643,MEDIUM
LEC,8.0,97.014,MEDIUM
LEC,9.0,97.288,MEDIUM
LEC,10.0,97.63,MEDIUM
LEC,11.0,98.021,MEDIUM
LEC,12.0,98.226,MEDIUM
LEC,13.0,97.825,MEDIUM
LEC,14.0,97.267,MEDIUM
LEC,15.0,97.295,MEDIUM
LEC,16.0,97.633,MEDIUM
LEC,17.0,97.34,MEDIUM
LEC,18.0,98.284,MEDIUM
