Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-04-04 05:48:02,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-04-04 05:45:07,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2025-04-04 05:48:02,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-04-04 06:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-04 06:07:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-04-04 06:07:02,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-04-04 06:07:14,Flag,RED FLAG,,RED,Track,,,
2025-04-04 06:07:14,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-04-04 06:23:02,Other,ESTIMATED TIME OF SESSION RESUMPTION - 15:30,,,,,,
2025-04-04 06:27:11,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-04-04 06:27:17,Other,SESSION WILL RESUME AT 15:30,,,,,,
2025-04-04 06:28:00,Drs,DRS ENABLED,ENABLED,,,,,
2025-04-04 06:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-04 06:33:40,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2025-04-04 06:33:54,Flag,RED FLAG,,RED,Track,,,
2025-04-04 06:33:55,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2025-04-04 06:39:17,Other,SESSION WILL RESUME AT 15:41,,,,,,
2025-04-04 06:39:21,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-04-04 06:39:30,Drs,DRS ENABLED,ENABLED,,,,,
2025-04-04 06:41:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-04 06:46:06,Flag,RED FLAG,,RED,Track,,,
2025-04-04 06:51:42,Other,SESSION WILL RESUME AT 15:53,,,,,,
2025-04-04 06:51:51,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-04-04 06:52:00,Drs,DRS ENABLED,ENABLED,,,,,
2025-04-04 06:53:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-04 06:58:50,Other,PIT LANE INCIDENT INVOLVING CAR 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2025-04-04 06:59:07,Other,PIT LANE INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2025-04-04 06:59:41,Flag,RED FLAG,,RED,Track,,,
2025-04-04 06:59:54,Other,NO PRACTICE STARTS,,,,,,
2025-04-04 07:11:09,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-04-04 07:12:21,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 18 (STR) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2025-04-04 07:12:26,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
