Driver,LapNumber,LapTime,Compound
NOR,2.0,95.674,MEDIUM
NOR,4.0,95.249,MEDIUM
NOR,5.0,122.783,MEDIUM
NOR,7.0,95.973,MEDIUM
NOR,9.0,95.246,MEDIUM
NOR,10.0,115.201,MEDIUM
NOR,12.0,93.204,SOFT
NOR,13.0,102.625,SOFT
NOR,14.0,97.468,SOFT
NOR,15.0,98.327,SOFT
NOR,16.0,97.527,SOFT
NOR,17.0,98.54,SOFT
NOR,18.0,97.534,SOFT
NOR,19.0,98.398,SOFT
NOR,20.0,98.179,SOFT
NOR,21.0,98.484,SOFT
NOR,22.0,116.316,SOFT
NOR,23.0,143.472,SOFT
BOR,2.0,99.406,HARD
BOR,3.0,142.139,HARD
BOR,4.0,97.816,HARD
BOR,6.0,97.308,HARD
BOR,8.0,100.274,HARD
BOR,10.0,94.628,SOFT
BOR,13.0,95.365,SOFT
BOR,14.0,130.59,SOFT
BOR,16.0,100.351,SOFT
BOR,17.0,100.399,SOFT
BOR,18.0,101.369,SOFT
BOR,19.0,101.71,SOFT
BOR,20.0,102.4,SOFT
BOR,21.0,102.975,SOFT
BOR,22.0,132.308,SOFT
BOR,23.0,149.092,SOFT
HAD,2.0,97.771,HARD
HAD,3.0,126.643,HARD
HAD,5.0,97.379,HARD
HAD,6.0,145.527,HARD
HAD,8.0,98.077,HARD
HAD,9.0,120.998,HARD
HAD,11.0,94.667,SOFT
HAD,12.0,142.651,SOFT
HAD,14.0,94.87,SOFT
HAD,15.0,101.677,SOFT
HAD,17.0,128.425,HARD
HAD,18.0,100.771,HARD
HAD,19.0,100.964,HARD
HAD,20.0,100.925,HARD
HAD,21.0,134.318,HARD
HAD,22.0,147.34,HARD
DOO,2.0,99.696,HARD
DOO,4.0,97.587,HARD
DOO,7.0,96.417,HARD
DOO,10.0,125.244,HARD
DOO,12.0,94.396,SOFT
DOO,15.0,94.669,SOFT
DOO,16.0,109.174,SOFT
DOO,18.0,101.33,HARD
DOO,19.0,100.973,HARD
DOO,20.0,101.808,HARD
DOO,21.0,101.68,HARD
DOO,22.0,139.922,HARD
GAS,2.0,118.809,MEDIUM
GAS,3.0,96.601,MEDIUM
GAS,5.0,131.908,MEDIUM
GAS,6.0,96.178,MEDIUM
GAS,9.0,95.624,MEDIUM
GAS,10.0,121.265,MEDIUM
GAS,12.0,93.442,SOFT
GAS,15.0,93.864,SOFT
GAS,16.0,120.577,SOFT
GAS,18.0,99.922,SOFT
GAS,19.0,100.059,SOFT
GAS,20.0,100.579,SOFT
GAS,21.0,100.619,SOFT
GAS,22.0,149.556,SOFT
ANT,2.0,98.051,HARD
STR,2.0,98.728,HARD
STR,4.0,97.198,HARD
STR,6.0,97.262,HARD
STR,7.0,147.668,HARD
STR,9.0,96.894,HARD
STR,11.0,97.325,HARD
STR,12.0,119.726,HARD
STR,14.0,95.148,SOFT
STR,17.0,95.116,SOFT
STR,18.0,134.717,SOFT
STR,20.0,100.578,SOFT
STR,21.0,101.177,SOFT
STR,22.0,130.303,SOFT
STR,23.0,145.433,SOFT
TSU,2.0,97.927,MEDIUM
