Driver,LapNumber,LapTime,Compound
VER,2.0,91.764,MEDIUM
VER,4.0,90.602,MEDIUM
VER,6.0,128.774,MEDIUM
VER,7.0,90.064,MEDIUM
VER,8.0,112.07,MEDIUM
VER,10.0,89.818,SOFT
VER,12.0,139.687,SOFT
VER,13.0,102.079,SOFT
VER,15.0,95.307,MEDIUM
VER,16.0,95.416,MEDIUM
VER,17.0,94.96,MEDIUM
VER,18.0,97.577,MEDIUM
VER,19.0,126.15,MEDIUM
VER,20.0,95.423,MEDIUM
VER,21.0,95.29,MEDIUM
VER,22.0,95.108,MEDIUM
VER,23.0,95.068,MEDIUM
VER,24.0,94.574,MEDIUM
VER,26.0,139.138,MEDIUM
NOR,2.0,91.887,MEDIUM
NOR,3.0,148.873,MEDIUM
NOR,4.0,90.454,MEDIUM
NOR,5.0,148.811,MEDIUM
NOR,6.0,89.98,MEDIUM
NOR,7.0,108.861,MEDIUM
NOR,9.0,89.246,SOFT
NOR,10.0,148.398,SOFT
NOR,12.0,92.845,SOFT
NOR,13.0,107.632,SOFT
NOR,15.0,93.799,MEDIUM
NOR,16.0,93.761,MEDIUM
NOR,17.0,93.408,MEDIUM
NOR,18.0,93.418,MEDIUM
NOR,19.0,93.923,MEDIUM
NOR,20.0,93.708,MEDIUM
NOR,21.0,93.517,MEDIUM
NOR,22.0,96.088,MEDIUM
NOR,23.0,109.331,SOFT
NOR,24.0,131.01,SOFT
NOR,25.0,144.152,SOFT
BOR,2.0,95.596,MEDIUM
BOR,3.0,144.259,MEDIUM
BOR,4.0,93.624,MEDIUM
BOR,6.0,95.086,MEDIUM
BOR,8.0,95.771,MEDIUM
BOR,10.0,91.177,SOFT
BOR,13.0,91.038,SOFT
BOR,14.0,102.137,SOFT
BOR,16.0,94.977,MEDIUM
BOR,17.0,96.236,MEDIUM
BOR,18.0,96.193,MEDIUM
BOR,19.0,95.986,MEDIUM
BOR,20.0,96.112,MEDIUM
BOR,21.0,96.397,MEDIUM
BOR,23.0,143.588,MEDIUM
HAD,2.0,93.57,MEDIUM
HAD,4.0,91.507,MEDIUM
HAD,5.0,149.982,MEDIUM
HAD,7.0,91.524,MEDIUM
HAD,10.0,137.824,SOFT
HAD,11.0,133.42,SOFT
HAD,12.0,90.011,SOFT
HAD,13.0,109.12,SOFT
HAD,14.0,142.395,SOFT
DOO,2.0,123.132,MEDIUM
DOO,3.0,92.832,MEDIUM
DOO,4.0,143.983,MEDIUM
DOO,5.0,91.645,MEDIUM
DOO,8.0,91.139,MEDIUM
DOO,10.0,140.558,MEDIUM
DOO,11.0,90.525,MEDIUM
DOO,12.0,116.315,MEDIUM
DOO,14.0,90.183,SOFT
DOO,17.0,90.262,SOFT
DOO,18.0,146.637,SOFT
DOO,20.0,95.427,MEDIUM
DOO,21.0,94.78,MEDIUM
DOO,22.0,95.72,MEDIUM
DOO,23.0,95.45,MEDIUM
DOO,25.0,134.112,MEDIUM
GAS,2.0,92.344,MEDIUM
GAS,4.0,91.19,MEDIUM
GAS,5.0,148.389,MEDIUM
GAS,7.0,90.629,MEDIUM
GAS,9.0,137.053,MEDIUM
GAS,10.0,90.318,MEDIUM
GAS,11.0,117.137,MEDIUM
GAS,13.0,89.239,SOFT
GAS,16.0,93.594,SOFT
GAS,18.0,94.686,MEDIUM
GAS,19.0,94.351,MEDIUM
GAS,20.0,94.943,MEDIUM
GAS,21.0,95.566,MEDIUM
GAS,22.0,95.348,MEDIUM
GAS,23.0,95.407,MEDIUM
GAS,25.0,145.555,MEDIUM
ANT,2.0,93.147,MEDIUM
ANT,4.0,134.911,MEDIUM
ANT,5.0,91.277,MEDIUM
ANT,7.0,140.268,MEDIUM
ANT,8.0,90.567,MEDIUM
ANT,9.0,119.604,MEDIUM
ANT,11.0,89.934,SOFT
ANT,14.0,90.091,SOFT
ANT,15.0,122.651,SOFT
ANT,17.0,94.653,MEDIUM
ANT,18.0,94.476,MEDIUM
ANT,19.0,94.513,MEDIUM
ANT,20.0,96.542,MEDIUM
ANT,21.0,94.835,MEDIUM
ANT,22.0,94.899,MEDIUM
ALO,2.0,93.438,MEDIUM
ALO,3.0,137.979,MEDIUM
ALO,4.0,91.49,MEDIUM
ALO,6.0,91.13,MEDIUM
ALO,8.0,145.004,MEDIUM
ALO,9.0,90.65,MEDIUM
ALO,10.0,121.274,MEDIUM
ALO,12.0,90.369,SOFT
ALO,15.0,89.976,SOFT
ALO,16.0,116.033,SOFT
ALO,18.0,94.713,MEDIUM
ALO,19.0,94.978,MEDIUM
ALO,20.0,94.858,MEDIUM
ALO,21.0,95.249,MEDIUM
ALO,22.0,95.682,MEDIUM
ALO,23.0,135.291,MEDIUM
ALO,24.0,143.245,MEDIUM
LEC,2.0,95.055,MEDIUM
LEC,3.0,94.247,MEDIUM
LEC,5.0,90.81,MEDIUM
LEC,7.0,113.62,MEDIUM
LEC,9.0,90.592,MEDIUM
LEC,10.0,119.415,MEDIUM
LEC,12.0,89.78,SOFT
LEC,15.0,89.309,SOFT
LEC,16.0,124.985,SOFT
LEC,18.0,93.911,MEDIUM
LEC,19.0,94.796,MEDIUM
LEC,20.0,94.32,MEDIUM
LEC,21.0,94.789,MEDIUM
LEC,22.0,94.675,MEDIUM
LEC,23.0,94.747,MEDIUM
LEC,24.0,95.271,MEDIUM
LEC,25.0,94.415,MEDIUM
LEC,26.0,94.491,MEDIUM
LEC,28.0,136.87,MEDIUM
STR,2.0,92.816,MEDIUM
STR,4.0,92.04,MEDIUM
STR,5.0,143.625,MEDIUM
STR,6.0,91.822,MEDIUM
STR,8.0,91.821,MEDIUM
STR,9.0,122.98,MEDIUM
STR,11.0,90.583,SOFT
STR,13.0,148.169,SOFT
STR,14.0,90.77,SOFT
STR,16.0,90.624,SOFT
STR,17.0,111.756,SOFT
STR,19.0,93.5,SOFT
STR,20.0,100.471,SOFT
STR,21.0,94.727,SOFT
TSU,2.0,120.753,MEDIUM
TSU,3.0,92.118,MEDIUM
TSU,5.0,140.574,MEDIUM
TSU,6.0,90.51,MEDIUM
TSU,9.0,90.239,MEDIUM
TSU,10.0,113.003,MEDIUM
TSU,12.0,89.887,SOFT
TSU,15.0,89.821,SOFT
TSU,16.0,122.585,SOFT
TSU,18.0,95.128,MEDIUM
TSU,19.0,95.067,MEDIUM
TSU,20.0,94.961,MEDIUM
TSU,21.0,95.616,MEDIUM
TSU,22.0,95.267,MEDIUM
TSU,23.0,95.748,MEDIUM
TSU,24.0,95.865,MEDIUM
ALB,3.0,91.804,MEDIUM
ALB,5.0,90.628,MEDIUM
ALB,7.0,90.364,MEDIUM
ALB,9.0,94.645,MEDIUM
ALB,11.0,138.205,SOFT
ALB,13.0,126.321,SOFT
ALB,14.0,89.606,SOFT
ALB,15.0,116.876,SOFT
ALB,17.0,95.288,MEDIUM
ALB,18.0,95.483,MEDIUM
ALB,19.0,95.641,MEDIUM
ALB,20.0,95.554,MEDIUM
ALB,21.0,95.779,MEDIUM
ALB,23.0,133.359,MEDIUM
HUL,2.0,93.74,MEDIUM
HUL,3.0,145.203,MEDIUM
HUL,4.0,92.062,MEDIUM
HUL,5.0,143.454,MEDIUM
HUL,6.0,144.007,MEDIUM
HUL,7.0,91.282,MEDIUM
HUL,8.0,104.522,MEDIUM
HUL,10.0,89.916,SOFT
HUL,13.0,90.211,SOFT
HUL,14.0,101.806,SOFT
HUL,16.0,94.791,SOFT
HUL,17.0,95.258,SOFT
HUL,18.0,95.591,SOFT
HUL,19.0,96.17,SOFT
HUL,20.0,98.748,SOFT
HUL,21.0,129.992,MEDIUM
HUL,22.0,94.52,MEDIUM
HUL,23.0,95.508,MEDIUM
LAW,2.0,94.432,MEDIUM
LAW,4.0,131.235,MEDIUM
LAW,5.0,92.479,MEDIUM
LAW,7.0,91.491,MEDIUM
LAW,9.0,133.506,MEDIUM
LAW,10.0,91.166,MEDIUM
LAW,11.0,117.177,MEDIUM
LAW,13.0,89.907,SOFT
LAW,15.0,137.533,SOFT
LAW,16.0,91.387,SOFT
LAW,17.0,103.632,SOFT
OCO,2.0,107.271,HARD
OCO,4.0,93.605,HARD
OCO,5.0,128.299,HARD
OCO,6.0,92.324,HARD
OCO,7.0,143.46,HARD
OCO,8.0,91.852,HARD
OCO,9.0,109.522,HARD
OCO,11.0,91.258,SOFT
OCO,12.0,147.244,SOFT
OCO,14.0,91.029,SOFT
OCO,15.0,145.828,SOFT
OCO,16.0,96.998,SOFT
OCO,18.0,95.111,HARD
OCO,19.0,98.859,HARD
HAM,2.0,93.536,MEDIUM
HAM,3.0,94.913,MEDIUM
HAM,5.0,91.521,MEDIUM
HAM,7.0,90.917,MEDIUM
HAM,9.0,90.674,MEDIUM
HAM,10.0,129.926,MEDIUM
HAM,12.0,90.184,SOFT
HAM,14.0,149.714,SOFT
HAM,15.0,89.914,SOFT
HAM,17.0,145.379,SOFT
HAM,18.0,89.815,SOFT
HAM,19.0,98.347,SOFT
HAM,21.0,94.921,MEDIUM
HAM,22.0,95.017,MEDIUM
HAM,23.0,95.951,MEDIUM
HAM,24.0,95.37,MEDIUM
HAM,25.0,94.186,MEDIUM
HAM,27.0,135.111,MEDIUM
SAI,2.0,103.046,HARD
SAI,3.0,91.959,HARD
SAI,4.0,144.066,HARD
SAI,5.0,90.778,HARD
SAI,6.0,147.75,HARD
SAI,7.0,90.336,HARD
SAI,9.0,97.315,HARD
SAI,11.0,89.919,SOFT
SAI,12.0,121.518,SOFT
SAI,14.0,89.779,SOFT
SAI,17.0,121.7,SOFT
SAI,18.0,93.125,SOFT
SAI,20.0,94.417,HARD
SAI,21.0,94.395,HARD
SAI,22.0,94.449,HARD
SAI,23.0,95.046,HARD
SAI,24.0,94.6,HARD
RUS,2.0,91.86,MEDIUM
RUS,4.0,90.425,MEDIUM
RUS,6.0,89.674,MEDIUM
RUS,7.0,126.088,MEDIUM
RUS,9.0,89.618,SOFT
RUS,12.0,97.223,SOFT
RUS,14.0,94.284,MEDIUM
RUS,15.0,94.474,MEDIUM
RUS,16.0,97.194,MEDIUM
RUS,17.0,113.088,MEDIUM
RUS,18.0,94.256,MEDIUM
RUS,19.0,137.189,MEDIUM
RUS,21.0,147.832,MEDIUM
PIA,2.0,91.548,MEDIUM
PIA,4.0,90.567,MEDIUM
PIA,6.0,90.334,MEDIUM
PIA,7.0,120.431,MEDIUM
PIA,9.0,89.708,SOFT
PIA,10.0,139.403,SOFT
PIA,11.0,125.694,SOFT
PIA,12.0,89.433,SOFT
PIA,13.0,146.344,SOFT
PIA,14.0,89.341,SOFT
PIA,15.0,107.034,SOFT
PIA,17.0,94.22,MEDIUM
PIA,18.0,94.016,MEDIUM
PIA,19.0,98.846,MEDIUM
PIA,20.0,94.232,MEDIUM
PIA,21.0,94.929,MEDIUM
PIA,22.0,97.614,MEDIUM
PIA,23.0,110.866,SOFT
PIA,24.0,149.074,SOFT
BEA,2.0,92.946,HARD
BEA,3.0,148.937,HARD
BEA,4.0,92.023,HARD
BEA,6.0,148.744,HARD
BEA,8.0,90.711,SOFT
BEA,11.0,125.693,SOFT
BEA,13.0,90.595,SOFT
BEA,14.0,116.424,SOFT
BEA,16.0,94.977,SOFT
BEA,17.0,95.571,SOFT
BEA,18.0,96.037,SOFT
BEA,19.0,96.27,SOFT
BEA,21.0,137.49,SOFT
