Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-04-18 13:30:02,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-18 13:48:13,Other,INCIDENT INVOLVING CAR 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2025-04-18 13:50:59,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2025-04-18 13:53:28,Other,INCIDENT INVOLVING CAR 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2025-04-18 13:55:43,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,
2025-04-18 14:30:02,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-04-18 14:30:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 7 (DOO),,,,,,
2025-04-18 14:38:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2025-04-18 14:39:08,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2025-04-18 14:45:08,Other,RISK OF RAIN FOR F2 QUALIFYING SESSION IS 0 %,,,,,,
