Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-04-19 16:47:46,Other,CORRECTION - BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-04-19 17:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-19 17:06:00,Other,CAR 7 (DOO) TIME 1:58.947 DELETED - TRACK LIMITS AT TURN 2 LAP 4 20:03:57,,,,,,
2025-04-19 17:07:23,Other,CAR 7 (DOO) TIME 1:58.947 DELETED - TRACK LIMITS AT TURN 7 LAP 4 20:04:19,,,,,,
2025-04-19 17:09:48,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 6 20:08:11 (PIT),,,,,,
2025-04-19 17:09:53,Other,CAR 5 (BOR) TIME 1:29.636 DELETED - TRACK LIMITS AT TURN 2 LAP 6 20:08:19,,,,,,
2025-04-19 17:11:14,Other,CAR 7 (DOO) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 7 20:09:40 (PIT),,,,,,
2025-04-19 17:13:06,Other,CAR 7 (DOO) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 7 20:09:45,,,,,,
2025-04-19 17:17:17,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2025-04-19 17:17:20,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-04-19 17:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-04-19 17:18:22,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,,
2025-04-19 17:18:58,Other,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 9 20:17:07 (PIT),,,,,,
2025-04-19 17:19:30,Other,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 9 20:17:14 (PIT),,,,,,
2025-04-19 17:19:31,Other,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 9 20:17:44 (PIT),,,,,,
2025-04-19 17:21:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-04-19 17:21:15,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-04-19 17:21:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2025-04-19 17:21:20,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-04-19 17:21:23,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-04-19 17:21:35,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-04-19 17:23:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
