Driver,LapNumber,LapTime,Compound
PIA,1.0,124.986,MEDIUM
PIA,4.0,94.247,MEDIUM
PIA,5.0,93.418,MEDIUM
PIA,6.0,93.917,MEDIUM
PIA,7.0,93.523,MEDIUM
PIA,8.0,93.893,MEDIUM
PIA,9.0,93.5,MEDIUM
PIA,10.0,94.045,MEDIUM
PIA,11.0,93.808,MEDIUM
PIA,12.0,93.77,MEDIUM
PIA,13.0,94.28,MEDIUM
PIA,14.0,94.072,MEDIUM
PIA,15.0,94.149,MEDIUM
PIA,16.0,94.124,MEDIUM
PIA,17.0,94.279,MEDIUM
PIA,18.0,94.16,MEDIUM
PIA,19.0,96.45,MEDIUM
PIA,20.0,110.606,HARD
PIA,21.0,93.795,HARD
PIA,22.0,94.024,HARD
PIA,23.0,93.119,HARD
PIA,24.0,92.76,HARD
PIA,25.0,93.092,HARD
PIA,26.0,92.922,HARD
PIA,27.0,92.875,HARD
PIA,28.0,92.831,HARD
PIA,29.0,92.808,HARD
PIA,30.0,92.938,HARD
PIA,31.0,92.774,HARD
PIA,32.0,92.787,HARD
PIA,33.0,92.657,HARD
PIA,34.0,93.201,HARD
PIA,35.0,92.555,HARD
PIA,36.0,92.624,HARD
PIA,37.0,92.7,HARD
PIA,38.0,92.663,HARD
PIA,39.0,92.701,HARD
PIA,40.0,92.778,HARD
PIA,41.0,92.987,HARD
PIA,42.0,92.686,HARD
PIA,43.0,92.871,HARD
PIA,44.0,92.815,HARD
PIA,45.0,92.393,HARD
PIA,46.0,93.352,HARD
PIA,47.0,92.669,HARD
PIA,48.0,92.728,HARD
PIA,49.0,92.927,HARD
PIA,50.0,92.228,HARD
VER,1.0,123.217,MEDIUM
VER,4.0,93.831,MEDIUM
VER,5.0,93.716,MEDIUM
VER,6.0,93.564,MEDIUM
VER,7.0,93.511,MEDIUM
VER,8.0,93.891,MEDIUM
VER,9.0,93.798,MEDIUM
VER,10.0,93.813,MEDIUM
VER,11.0,94.001,MEDIUM
VER,12.0,93.96,MEDIUM
VER,13.0,93.856,MEDIUM
VER,14.0,93.901,MEDIUM
VER,15.0,93.9,MEDIUM
VER,16.0,93.758,MEDIUM
VER,17.0,93.797,MEDIUM
VER,18.0,93.81,MEDIUM
VER,19.0,93.914,MEDIUM
VER,20.0,94.038,MEDIUM
VER,21.0,96.5,MEDIUM
VER,22.0,115.832,HARD
VER,23.0,94.112,HARD
VER,24.0,93.419,HARD
VER,25.0,93.067,HARD
VER,26.0,93.02,HARD
VER,27.0,92.936,HARD
VER,28.0,92.958,HARD
VER,29.0,93.079,HARD
VER,30.0,92.811,HARD
VER,31.0,92.782,HARD
VER,32.0,92.773,HARD
VER,33.0,92.736,HARD
VER,34.0,92.696,HARD
VER,35.0,92.743,HARD
VER,36.0,92.691,HARD
VER,37.0,92.91,HARD
VER,38.0,92.71,HARD
VER,39.0,92.681,HARD
VER,40.0,92.56,HARD
VER,41.0,92.568,HARD
VER,42.0,92.5,HARD
VER,43.0,93.182,HARD
VER,44.0,92.512,HARD
VER,45.0,92.466,HARD
VER,46.0,92.324,HARD
VER,47.0,92.873,HARD
VER,48.0,92.697,HARD
VER,49.0,92.28,HARD
VER,50.0,92.453,HARD
LEC,1.0,127.865,MEDIUM
LEC,4.0,95.845,MEDIUM
LEC,5.0,94.428,MEDIUM
LEC,6.0,94.52,MEDIUM
LEC,7.0,94.275,MEDIUM
LEC,8.0,94.085,MEDIUM
LEC,9.0,94.099,MEDIUM
LEC,10.0,94.419,MEDIUM
LEC,11.0,94.293,MEDIUM
LEC,12.0,94.425,MEDIUM
LEC,13.0,94.217,MEDIUM
LEC,14.0,94.641,MEDIUM
LEC,15.0,94.276,MEDIUM
LEC,16.0,94.293,MEDIUM
