Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-02 16:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-02 16:36:04,Other,INCIDENT INVOLVING CAR 4 (NOR) NOTED - UNSAFE CONDITION,,,,,,
2025-05-02 16:37:25,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 4 (NOR) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE CONDITION,,,,,,
2025-05-02 17:06:35,Other,TURN 17 INCIDENT INVOLVING CARS 31 (OCO) AND 4 (NOR) NOTED - IMPEDING,,,,,,
2025-05-02 17:07:36,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 31 (OCO) AND 4 (NOR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2025-05-02 17:21:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2025-05-02 17:21:14,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-05-02 17:25:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2025-05-02 17:25:28,Flag,RED FLAG,,RED,Track,,,
2025-05-02 17:25:28,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2025-05-02 17:35:47,Flag,TRACK CLEAR,,CLEAR,Track,,,
