Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-03 20:15:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-03 20:16:53,Other,INCIDENT INVOLVING CAR 23 (ALB) NOTED - PIT LANE INFRINGEMENT,,,,,,
2025-05-03 20:23:34,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - PIT LANE INFRINGEMENT,,,,,,
2025-05-03 20:33:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-03 20:33:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2025-05-03 20:36:36,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 81 (PIA) AND 4 (NOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-03 20:37:14,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 81 (PIA) AND 4 (NOR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-03 20:40:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-03 20:55:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-03 20:55:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),,,,,,
2025-05-03 21:03:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-03 21:07:16,Other,CAR 16 (LEC) LAP DELETED - TRACK LIMITS AT TURN 17 LAP 18 17:06:33,,,,,,
2025-05-03 21:15:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-03 21:15:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 4 (NOR),,,,,,
2025-05-03 21:18:23,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 81 (PIA) AND 4 (NOR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-03 21:20:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2025-05-03 21:20:47,Other,DRS DISABLED IN ZONE 3,,,,,,
2025-05-03 21:26:31,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
