Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,9.748
ANT,0.6666666666666666,1.351
ALO,0.6666666666666666,9.161
LEC,0.6666666666666666,4.886
STR,0.6666666666666666,8.169
TSU,0.6666666666666666,5.626
ALB,0.6666666666666666,3.14
HUL,0.6666666666666666,7.786
LAW,0.6666666666666666,20.717
OCO,0.6666666666666666,6.057
NOR,0.6666666666666666,3.904
HAM,0.6666666666666666,6.911
BOR,0.6666666666666666,7.41
SAI,0.6666666666666666,4.31
HAD,0.6666666666666666,6.485
RUS,0.6666666666666666,2.5869999999999997
DOO,0.6666666666666666,
PIA,0.6666666666666666,1.911
BEA,0.6666666666666666,8.732
VER,1.0,0.0
GAS,1.0,9.788
ANT,1.0,1.161
ALO,1.0,9.241
LEC,1.0,4.876
STR,1.0,8.053
TSU,1.0,5.578
ALB,1.0,3.112
HUL,1.0,7.725
LAW,1.0,20.279
OCO,1.0,5.905
NOR,1.0,3.6870000000000003
HAM,1.0,6.73
BOR,1.0,7.491
SAI,1.0,4.144
HAD,1.0,6.5120000000000005
RUS,1.0,2.52
DOO,1.0,
PIA,1.0,1.537
BEA,1.0,9.069
VER,1.3333333333333333,0.0
GAS,1.3333333333333333,10.937
ANT,1.3333333333333333,1.605
ALO,1.3333333333333333,10.261
LEC,1.3333333333333333,5.578
STR,1.3333333333333333,9.474
TSU,1.3333333333333333,6.208
ALB,1.3333333333333333,3.874
HUL,1.3333333333333333,8.983
LAW,1.3333333333333333,28.716
OCO,1.3333333333333333,6.801
NOR,1.3333333333333333,4.293
HAM,1.3333333333333333,7.859
BOR,1.3333333333333333,8.68
SAI,1.3333333333333333,5.123
HAD,1.3333333333333333,7.308
RUS,1.3333333333333333,3.025
PIA,1.3333333333333333,2.184
BEA,1.3333333333333333,10.026
VER,1.6666666666666665,0.0
GAS,1.6666666666666665,27.407
ANT,1.6666666666666665,1.655
ALO,1.6666666666666665,25.844
LEC,1.6666666666666665,10.697
STR,1.6666666666666665,23.614
TSU,1.6666666666666665,12.14
ALB,1.6666666666666665,4.927
HUL,1.6666666666666665,21.667
LAW,1.6666666666666665,31.925
OCO,1.6666666666666665,13.65
NOR,1.6666666666666665,7.75
HAM,1.6666666666666665,17.691
BOR,1.6666666666666665,19.467
SAI,1.6666666666666665,8.888
HAD,1.6666666666666665,16.949
RUS,1.6666666666666665,3.223
PIA,1.6666666666666665,2.815
BEA,1.6666666666666665,24.621
VER,2.0,0.0
GAS,2.0,24.369
ANT,2.0,2.342
ALO,2.0,23.145
LEC,2.0,10.16
STR,2.0,21.426
TSU,2.0,10.911
ALB,2.0,5.596
HUL,2.0,19.178
LAW,2.0,30.942
OCO,2.0,12.428
NOR,2.0,7.599
HAM,2.0,15.037
BOR,2.0,17.407
SAI,2.0,8.348
HAD,2.0,14.745
RUS,2.0,4.214
PIA,2.0,3.03
BEA,2.0,22.481
VER,2.3333333333333335,0.0
GAS,2.3333333333333335,15.841
ANT,2.3333333333333335,1.888
ALO,2.3333333333333335,15.035
LEC,2.3333333333333335,9.018
STR,2.3333333333333335,14.095
TSU,2.3333333333333335,9.649000000000001
ALB,2.3333333333333335,5.102
HUL,2.3333333333333335,13.143
LAW,2.3333333333333335,30.83
OCO,2.3333333333333335,10.418
NOR,2.3333333333333335,6.434
HAM,2.3333333333333335,11.329
BOR,2.3333333333333335,12.014
SAI,2.3333333333333335,7.812
HAD,2.3333333333333335,10.757
RUS,2.3333333333333335,3.984
PIA,2.3333333333333335,2.662
BEA,2.3333333333333335,14.494
VER,2.6666666666666665,0.0
GAS,2.6666666666666665,20.983
ANT,2.6666666666666665,2.172
ALO,2.6666666666666665,20.212
LEC,2.6666666666666665,11.866
STR,2.6666666666666665,18.983
TSU,2.6666666666666665,13.132
ALB,2.6666666666666665,6.254
HUL,2.6666666666666665,17.648
LAW,2.6666666666666665,30.097
OCO,2.6666666666666665,14.374
NOR,2.6666666666666665,8.848
HAM,2.6666666666666665,16.62
BOR,2.6666666666666665,17.025
SAI,2.6666666666666665,10.131
HAD,2.6666666666666665,15.959
RUS,2.6666666666666665,4.294
PIA,2.6666666666666665,3.916
BEA,2.6666666666666665,19.531
VER,3.0,0.0
GAS,3.0,14.156
ANT,3.0,1.301
ALO,3.0,12.957
LEC,3.0,5.599
STR,3.0,11.777
TSU,3.0,6.941
ALB,3.0,3.19
HUL,3.0,11.016
LAW,3.0,22.909
OCO,3.0,8.068
NOR,3.0,3.654
HAM,3.0,10.022
BOR,3.0,10.431
SAI,3.0,4.338
HAD,3.0,9.894
RUS,3.0,2.358
PIA,3.0,1.704
BEA,3.0,12.54
VER,3.3333333333333335,0.0
GAS,3.3333333333333335,15.05
ANT,3.3333333333333335,1.501
ALO,3.3333333333333335,13.994
LEC,3.3333333333333335,5.9350000000000005
STR,3.3333333333333335,12.954
TSU,3.3333333333333335,7.267
ALB,3.3333333333333335,3.548
HUL,3.3333333333333335,12.326
LAW,3.3333333333333335,23.696
OCO,3.3333333333333335,8.353
NOR,3.3333333333333335,3.936
HAM,3.3333333333333335,10.133
BOR,3.3333333333333335,11.939
SAI,3.3333333333333335,4.962
HAD,3.3333333333333335,11.423
RUS,3.3333333333333335,2.653
PIA,3.3333333333333335,1.858
BEA,3.3333333333333335,13.48
VER,3.6666666666666665,0.0
GAS,3.6666666666666665,15.731
ANT,3.6666666666666665,2.105
ALO,3.6666666666666665,14.411
LEC,3.6666666666666665,6.03
STR,3.6666666666666665,13.438
TSU,3.6666666666666665,7.513
ALB,3.6666666666666665,3.965
HUL,3.6666666666666665,12.848
LAW,3.6666666666666665,23.889
OCO,3.6666666666666665,8.559
NOR,3.6666666666666665,3.484
HAM,3.6666666666666665,10.142
BOR,3.6666666666666665,12.393
SAI,3.6666666666666665,4.761
HAD,3.6666666666666665,11.849
RUS,3.6666666666666665,2.751
PIA,3.6666666666666665,1.252
BEA,3.6666666666666665,14.044
VER,4.0,0.0
GAS,4.0,15.641
ANT,4.0,1.748
ALO,4.0,14.081
LEC,4.0,5.793
STR,4.0,13.1
TSU,4.0,7.327
ALB,4.0,3.7
HUL,4.0,12.628
LAW,4.0,23.655
OCO,4.0,8.169
NOR,4.0,3.213
HAM,4.0,9.865
BOR,4.0,12.384
SAI,4.0,4.29
HAD,4.0,11.871
RUS,4.0,2.435
PIA,4.0,1.055
BEA,4.0,13.815
VER,4.333333333333333,0.0
GAS,4.333333333333333,16.671
ANT,4.333333333333333,2.153
ALO,4.333333333333333,15.308
LEC,4.333333333333333,6.007
STR,4.333333333333333,14.426
TSU,4.333333333333333,7.553
ALB,4.333333333333333,4.638
HUL,4.333333333333333,13.681000000000001
LAW,4.333333333333333,25.119
OCO,4.333333333333333,8.537
NOR,4.333333333333333,3.333
HAM,4.333333333333333,10.262
BOR,4.333333333333333,13.051
SAI,4.333333333333333,5.023
HAD,4.333333333333333,12.162
RUS,4.333333333333333,2.833
PIA,4.333333333333333,1.067
BEA,4.333333333333333,14.995
VER,4.666666666666667,0.0
GAS,4.666666666666667,17.603
ANT,4.666666666666667,2.57
ALO,4.666666666666667,16.088
LEC,4.666666666666667,6.458
STR,4.666666666666667,15.019
TSU,4.666666666666667,8.126
ALB,4.666666666666667,5.7219999999999995
HUL,4.666666666666667,14.259
LAW,4.666666666666667,25.987
OCO,4.666666666666667,8.974
NOR,4.666666666666667,3.975
HAM,4.666666666666667,10.739
BOR,4.666666666666667,13.598
SAI,4.666666666666667,4.824
HAD,4.666666666666667,12.615
RUS,4.666666666666667,3.224
PIA,4.666666666666667,1.407
BEA,4.666666666666667,15.738
